,Unnamed: 0,Unnamed: 0.1,target1,doc1,origin,Unnamed: 0,Unnamed: 0.1,target2,doc2,origin
1,1.0,1.0,1.0,请问能提供一个上传pdf文件的例子吗？,yhirose_cpp-httplib_issues_686,1.0,1.0,0.0,请问能提供一个上传pdf文件的例子吗？,yhirose_cpp-httplib_issues_686
7,7.0,5.0,0.0,Env:,yhirose_cpp-httplib_issues_643,7.0,5.0,1.0,Env:,yhirose_cpp-httplib_issues_643
99,99.0,4.0,1.0,Operating System: WIndows 10,hoffstadt_DearPyGui_issues_765,99.0,4.0,0.0,Operating System: WIndows 10,hoffstadt_DearPyGui_issues_765
103,103.0,8.0,0.0,"`configure_item(""A collapsing header name"", default_open=True or False)` works until the user opens or closes the header. ",hoffstadt_DearPyGui_issues_765,103.0,8.0,1.0,"`configure_item(""A collapsing header name"", default_open=True or False)` works until the user opens or closes the header. ",hoffstadt_DearPyGui_issues_765
145,145.0,5.0,1.0,"- **OS Platform and Distribution (e.g., Linux Ubuntu 16.04)**: Archlinux",tensorflow_serving_issues_1178,145.0,5.0,0.0,"- **OS Platform and Distribution (e.g., Linux Ubuntu 16.04)**: Archlinux",tensorflow_serving_issues_1178
146,146.0,6.0,1.0,- **TensorFlow Serving installed from (source or binary)**: source,tensorflow_serving_issues_1178,146.0,6.0,0.0,- **TensorFlow Serving installed from (source or binary)**: source,tensorflow_serving_issues_1178
147,147.0,7.0,1.0,- **TensorFlow Serving version**: 1.11.0,tensorflow_serving_issues_1178,147.0,7.0,0.0,- **TensorFlow Serving version**: 1.11.0,tensorflow_serving_issues_1178
189,189.0,1.0,1.0,**OS:** Any,OpenRCT2_OpenRCT2_issues_7544,189.0,1.0,0.0,**OS:** Any,OpenRCT2_OpenRCT2_issues_7544
705,705.0,6.0,1.0,**Platform:** Linux,olive-editor_olive_issues_1673,705.0,6.0,0.0,**Platform:** Linux,olive-editor_olive_issues_1673
802,802.0,0.0,0.0,BACKTRACE d91050 FootpathSceneryRemoveAction::Query,OpenRCT2_OpenRCT2_issues_9324,802.0,0.0,1.0,BACKTRACE d91050 FootpathSceneryRemoveAction::Query,OpenRCT2_OpenRCT2_issues_9324
827,827.0,8.0,1.0,"  3) Windows, tested 7,8,10",juce-framework_JUCE_issues_117,827.0,8.0,0.0,"  3) Windows, tested 7,8,10",juce-framework_JUCE_issues_117
828,828.0,9.0,1.0,  4) 64-bit,juce-framework_JUCE_issues_117,828.0,9.0,0.0,  4) 64-bit,juce-framework_JUCE_issues_117
829,829.0,0.0,0.0,BACKTRACE e4d053,OpenRCT2_OpenRCT2_issues_10919,829.0,0.0,1.0,BACKTRACE e4d053,OpenRCT2_OpenRCT2_issues_10919
854,854.0,8.0,1.0,"Defaults, GSdx HW",PCSX2_pcsx2_issues_2072,854.0,8.0,0.0,"Defaults, GSdx HW",PCSX2_pcsx2_issues_2072
1064,1064.0,20.0,1.0,_No response_,OpenRCT2_OpenRCT2_issues_15255,1064.0,20.0,0.0,_No response_,OpenRCT2_OpenRCT2_issues_15255
