,Unnamed: 0,Unnamed: 0.1,target1,doc1,origin,Unnamed: 0,Unnamed: 0.1,target2,doc2,origin
160,160,3,0.0,See: https://github.com/deeplearning4j/deeplearning4j/pull/6782#issuecomment-442302121,eclipse_deeplearning4j_issues_6796,160,3,1.0,See: https://github.com/deeplearning4j/deeplearning4j/pull/6782#issuecomment-442302121,eclipse_deeplearning4j_issues_6796
255,255,8,0.0,[OS that we support](https://www.elastic.co/support/matrix#show_os).,elastic_elasticsearch_issues_24192,255,8,1.0,[OS that we support](https://www.elastic.co/support/matrix#show_os).,elastic_elasticsearch_issues_24192
534,534,107,0.0,- Construct `AuthorizationEnabledServlet`,prestodb_presto_issues_14639,534,107,1.0,- Construct `AuthorizationEnabledServlet`,prestodb_presto_issues_14639
548,548,121,0.0,- `AuthorizationEnabledServlet` (Construct `allowedRoles` within constructor),prestodb_presto_issues_14639,548,121,1.0,- `AuthorizationEnabledServlet` (Construct `allowedRoles` within constructor),prestodb_presto_issues_14639
606,606,1,0.0,Build url: https://elasticsearch-ci.elastic.co/job/elastic+elasticsearch+6.x+multijob-unix-compatibility/os=amazon/1176/console,elastic_elasticsearch_issues_32000,606,1,1.0,Build url: https://elasticsearch-ci.elastic.co/job/elastic+elasticsearch+6.x+multijob-unix-compatibility/os=amazon/1176/console,elastic_elasticsearch_issues_32000
624,624,19,0.0,Build logs:,elastic_elasticsearch_issues_32000,624,19,1.0,Build logs:,elastic_elasticsearch_issues_32000
635,635,6,0.0,"For documentation on this error, please visit: https://www.seleniumhq.org/exceptions/no_such_element.html",SeleniumHQ_selenium_issues_8216,635,6,1.0,"For documentation on this error, please visit: https://www.seleniumhq.org/exceptions/no_such_element.html",SeleniumHQ_selenium_issues_8216
641,641,12,0.0,"*** Element info: {Using=xpath, value=//span[normalize-space()='Supply of alcoholic beverages']}`",SeleniumHQ_selenium_issues_8216,641,12,1.0,"*** Element info: {Using=xpath, value=//span[normalize-space()='Supply of alcoholic beverages']}`",SeleniumHQ_selenium_issues_8216
661,661,3,1.0,"""Advanced version of DBeaver. Supports NoSQL databases, special enterprise features and contains all main drivers and plugins out-of-the-box.""",dbeaver_dbeaver_issues_4127,661,3,0.0,"""Advanced version of DBeaver. Supports NoSQL databases, special enterprise features and contains all main drivers and plugins out-of-the-box.""",dbeaver_dbeaver_issues_4127
705,705,28,0.0,removeAll(Collection<?> c) as:,google_guava_issues_1069,705,28,1.0,removeAll(Collection<?> c) as:,google_guava_issues_1069
902,902,14,0.0,**Elasticsearch version** (`bin/elasticsearch --version`):,elastic_elasticsearch_issues_76860,902,14,1.0,**Elasticsearch version** (`bin/elasticsearch --version`):,elastic_elasticsearch_issues_76860
905,905,17,0.0,**Plugins installed**:,elastic_elasticsearch_issues_76860,905,17,1.0,**Plugins installed**:,elastic_elasticsearch_issues_76860
908,908,20,0.0,**JVM version** (`java -version`):,elastic_elasticsearch_issues_76860,908,20,1.0,**JVM version** (`java -version`):,elastic_elasticsearch_issues_76860
911,911,23,0.0,**OS version** (`uname -a` if on a Unix-like system):,elastic_elasticsearch_issues_76860,911,23,1.0,**OS version** (`uname -a` if on a Unix-like system):,elastic_elasticsearch_issues_76860
929,929,41,1.0,POST test/_doc/C86A73509CA91D71C447DCE426AAF703,elastic_elasticsearch_issues_76860,929,41,0.0,POST test/_doc/C86A73509CA91D71C447DCE426AAF703,elastic_elasticsearch_issues_76860
963,963,75,1.0,returns the following,elastic_elasticsearch_issues_76860,963,75,0.0,returns the following,elastic_elasticsearch_issues_76860
1061,1061,3,1.0,"<img width=""371"" alt=""screen shot 2016-07-16 at 4 17 02 am"" src=""https://cloud.githubusercontent.com/assets/13557123/16890513/04f42772-4b0d-11e6-859e-589c9971c4ce.png"">",PhilJay_MPAndroidChart_issues_2028,1061,3,0.0,"<img width=""371"" alt=""screen shot 2016-07-16 at 4 17 02 am"" src=""https://cloud.githubusercontent.com/assets/13557123/16890513/04f42772-4b0d-11e6-859e-589c9971c4ce.png"">",PhilJay_MPAndroidChart_issues_2028
1062,1062,4,1.0,"<img width=""382"" alt=""screen shot 2016-07-16 at 4 23 45 am"" src=""https://cloud.githubusercontent.com/assets/13557123/16890535/285905d4-4b0d-11e6-83f9-e50ee40e8233.png"">",PhilJay_MPAndroidChart_issues_2028,1062,4,0.0,"<img width=""382"" alt=""screen shot 2016-07-16 at 4 23 45 am"" src=""https://cloud.githubusercontent.com/assets/13557123/16890535/285905d4-4b0d-11e6-83f9-e50ee40e8233.png"">",PhilJay_MPAndroidChart_issues_2028
1111,1111,8,0.0,[OS that we support](https://www.elastic.co/support/matrix#show_os).,elastic_elasticsearch_issues_21931,1111,8,1.0,[OS that we support](https://www.elastic.co/support/matrix#show_os).,elastic_elasticsearch_issues_21931
