,Unnamed: 0,Unnamed: 0.1,target1,doc1,origin,Unnamed: 0,Unnamed: 0.1,target2,doc2,origin
41,41.0,10.0,1.0,Result: http://i.imgur.com/B9bVIgo.png,Intervention_image_issues_625,41.0,10.0,0.0,Result: http://i.imgur.com/B9bVIgo.png,Intervention_image_issues_625
86,86.0,3.0,0.0,imagecolorallocatealpha(): Alpha component is out of range,phalcon_cphalcon_issues_14609,86.0,3.0,1.0,imagecolorallocatealpha(): Alpha component is out of range,phalcon_cphalcon_issues_14609
90,90.0,7.0,0.0,**Details**,phalcon_cphalcon_issues_14609,90.0,7.0,1.0,**Details**,phalcon_cphalcon_issues_14609
166,166.0,15.0,1.0,"Keywords: i18n, l10n",matomo-org_matomo_issues_1187,166.0,15.0,0.0,"Keywords: i18n, l10n",matomo-org_matomo_issues_1187
255,255.0,4.0,1.0,My url: http://localhost:8000/api/review/1?page=2&api_token=Yss1RZ9GSaddAG43yDaboKLAN3Xj56lc,laravel_framework_issues_13226,255.0,4.0,0.0,My url: http://localhost:8000/api/review/1?page=2&api_token=Yss1RZ9GSaddAG43yDaboKLAN3Xj56lc,laravel_framework_issues_13226
320,320.0,28.0,1.0,Full log:,nextcloud_server_issues_17025,320.0,28.0,0.0,Full log:,nextcloud_server_issues_17025
596,596.0,304.0,1.0,15.0.3 (I think) upgrade to 15.0.11,nextcloud_server_issues_17025,596.0,304.0,0.0,15.0.3 (I think) upgrade to 15.0.11,nextcloud_server_issues_17025
607,607.0,315.0,0.0,Login as admin user into your Nextcloud and access,nextcloud_server_issues_17025,607.0,315.0,1.0,Login as admin user into your Nextcloud and access ,nextcloud_server_issues_17025
609,609.0,317.0,0.0,paste the results here.,nextcloud_server_issues_17025,609.0,317.0,1.0,paste the results here.,nextcloud_server_issues_17025
619,619.0,327.0,0.0,If you have access to your command line run e.g.:,nextcloud_server_issues_17025,619.0,327.0,1.0,If you have access to your command line run e.g.:,nextcloud_server_issues_17025
621,621.0,329.0,0.0,from within your Nextcloud installation folder,nextcloud_server_issues_17025,621.0,329.0,1.0,from within your Nextcloud installation folder,nextcloud_server_issues_17025
675,675.0,383.0,1.0,**Nextcloud configuration:**,nextcloud_server_issues_17025,675.0,383.0,0.0,**Nextcloud configuration:**,nextcloud_server_issues_17025
680,680.0,388.0,0.0,If you have access to your command line run e.g.:,nextcloud_server_issues_17025,680.0,388.0,1.0,If you have access to your command line run e.g.:,nextcloud_server_issues_17025
682,682.0,390.0,0.0,from within your Nextcloud installation folder,nextcloud_server_issues_17025,682.0,390.0,1.0,from within your Nextcloud installation folder,nextcloud_server_issues_17025
684,684.0,392.0,0.0,or,nextcloud_server_issues_17025,684.0,392.0,1.0,or ,nextcloud_server_issues_17025
686,686.0,394.0,0.0,Insert your config.php content here.,nextcloud_server_issues_17025,686.0,394.0,1.0,Insert your config.php content here. ,nextcloud_server_issues_17025
687,687.0,395.0,0.0,"Make sure to remove all sensitive content such as passwords. (e.g. database password, passwordsalt, secret, smtp password, …)",nextcloud_server_issues_17025,687.0,395.0,1.0,"Make sure to remove all sensitive content such as passwords. (e.g. database password, passwordsalt, secret, smtp password, …)",nextcloud_server_issues_17025
