,train_samples,params,perf_train_runtime,model_size,seed,train_frac,index,man_validation_samples_cpp_researcher_1,classification_report_cpp_researcher_1,macro_f1_cpp_researcher_1,roc-auc_cpp_researcher_1,perf_predict_runtime_cpp_researcher_1,timeit_runtime_cpp_researcher_1,man_validation_samples_cpp_researcher_2,classification_report_cpp_researcher_2,macro_f1_cpp_researcher_2,roc-auc_cpp_researcher_2,perf_predict_runtime_cpp_researcher_2,timeit_runtime_cpp_researcher_2
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.432109853005386,0.786130859375,449,6250,0,5416,"{""artifact"": {""precision"": 0.9739007092198582, ""recall"": 0.9258360302049622, ""f1-score"": 0.9492603345776303, ""support"": 3708}, ""text"": {""precision"": 0.854574299312533, ""recall"": 0.9461358313817331, ""f1-score"": 0.8980272297860517, ""support"": 1708}, ""accuracy"": 0.9322378138847858, ""macro avg"": {""precision"": 0.9142375042661957, ""recall"": 0.9359859307933476, ""f1-score"": 0.923643782181841, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9362697069817283, ""recall"": 0.9322378138847858, ""f1-score"": 0.9331033657844219, ""support"": 5416}}",0.923643782181841,0.9359859307933477,0.6119979570066789,0.5854743361996952,5418,"{""artifact"": {""precision"": 0.9702465287616888, ""recall"": 0.9206776015057812, ""f1-score"": 0.9448123620309051, ""support"": 3719}, ""text"": {""precision"": 0.8438327157226045, ""recall"": 0.9381989405532666, ""f1-score"": 0.8885172798216276, ""support"": 1699}, ""accuracy"": 0.926172019195275, ""macro avg"": {""precision"": 0.9070396222421466, ""recall"": 0.9294382710295239, ""f1-score"": 0.9166648209262664, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9306051355624633, ""recall"": 0.926172019195275, ""f1-score"": 0.9271591053543524, ""support"": 5418}}",0.9166648209262664,0.9294382710295239,0.7695910659967922,0.6293343523997464
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",2.531752127004438,0.772654296875,595,6250,1,5416,"{""artifact"": {""precision"": 0.9780467210807768, ""recall"": 0.9371628910463862, ""f1-score"": 0.9571684340999862, ""support"": 3708}, ""text"": {""precision"": 0.8749329039184112, ""recall"": 0.9543325526932084, ""f1-score"": 0.9129095491458974, ""support"": 1708}, ""accuracy"": 0.9425775480059084, ""macro avg"": {""precision"": 0.926489812499594, ""recall"": 0.9457477218697973, ""f1-score"": 0.9350389916229418, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9455285527437531, ""recall"": 0.9425775480059084, ""f1-score"": 0.943210868460846, ""support"": 5416}}",0.9350389916229418,0.9457477218697973,0.7547538170038024,0.714674689999083,5418,"{""artifact"": {""precision"": 0.9746764209341587, ""recall"": 0.9314331809626244, ""f1-score"": 0.9525642788395435, ""support"": 3719}, ""text"": {""precision"": 0.8631974248927039, ""recall"": 0.9470276633313714, ""f1-score"": 0.9031714847039012, ""support"": 1699}, ""accuracy"": 0.9363233665559247, ""macro avg"": {""precision"": 0.9189369229134313, ""recall"": 0.9392304221469979, ""f1-score"": 0.9278678817717223, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9397183525926246, ""recall"": 0.9363233665559247, ""f1-score"": 0.9370754716715006, ""support"": 5418}}",0.9278678817717223,0.9392304221469979,0.7525655000063125,0.6661692884008517
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.569384281989187,0.770646484375,787,6250,2,5416,"{""artifact"": {""precision"": 0.9792447391179014, ""recall"": 0.9161272923408845, ""f1-score"": 0.9466350842970601, ""support"": 3708}, ""text"": {""precision"": 0.8402670775552131, ""recall"": 0.9578454332552693, ""f1-score"": 0.8952120383036934, ""support"": 1708}, ""accuracy"": 0.9292836041358936, ""macro avg"": {""precision"": 0.9097559083365573, ""recall"": 0.9369863627980769, ""f1-score"": 0.9209235613003768, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9354164810032279, ""recall"": 0.9292836041358936, ""f1-score"": 0.9304182152873353, ""support"": 5416}}",0.9209235613003768,0.9369863627980768,0.6608430810010759,0.618014073400991,5418,"{""artifact"": {""precision"": 0.9761425697039379, ""recall"": 0.9131486958859909, ""f1-score"": 0.9435954431786607, ""support"": 3719}, ""text"": {""precision"": 0.8334192882929345, ""recall"": 0.9511477339611536, ""f1-score"": 0.8884002199010446, ""support"": 1699}, ""accuracy"": 0.9250645994832042, ""macro avg"": {""precision"": 0.9047809289984362, ""recall"": 0.9321482149235722, ""f1-score"": 0.9159978315398527, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9313867824914434, ""recall"": 0.9250645994832042, ""f1-score"": 0.9262870850485999, ""support"": 5418}}",0.9159978315398527,0.9321482149235722,0.6505694980005501,0.6837288416005322
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.7024267540109577,0.773091796875,341,6250,3,5416,"{""artifact"": {""precision"": 0.9762800115707261, ""recall"": 0.9101941747572816, ""f1-score"": 0.942079553384508, ""support"": 3708}, ""text"": {""precision"": 0.8300153139356815, ""recall"": 0.9519906323185011, ""f1-score"": 0.8868284701390783, ""support"": 1708}, ""accuracy"": 0.9233751846381093, ""macro avg"": {""precision"": 0.9031476627532038, ""recall"": 0.9310924035378914, ""f1-score"": 0.9144540117617932, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9301536999827171, ""recall"": 0.9233751846381093, ""f1-score"": 0.9246554673093245, ""support"": 5416}}",0.9144540117617932,0.9310924035378914,0.7357658359978814,0.7254016212013085,5418,"{""artifact"": {""precision"": 0.97261458633612, ""recall"": 0.907233127184727, ""f1-score"": 0.9387868670005565, ""support"": 3719}, ""text"": {""precision"": 0.822986146741919, ""recall"": 0.9440847557386698, ""f1-score"": 0.8793859649122807, ""support"": 1699}, ""accuracy"": 0.9187892211148025, ""macro avg"": {""precision"": 0.8978003665390195, ""recall"": 0.9256589414616985, ""f1-score"": 0.9090864159564186, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9256934495936786, ""recall"": 0.9187892211148025, ""f1-score"": 0.9201596738207889, ""support"": 5418}}",0.9090864159564186,0.9256589414616984,0.6236915800109273,0.6103484616993228
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",2.3099459420045605,0.782974609375,944,6250,4,5416,"{""artifact"": {""precision"": 0.9740666856654318, ""recall"": 0.9217907227615966, ""f1-score"": 0.9472079811556048, ""support"": 3708}, ""text"": {""precision"": 0.8479286837965391, ""recall"": 0.9467213114754098, ""f1-score"": 0.8946058091286307, ""support"": 1708}, ""accuracy"": 0.9296528803545052, ""macro avg"": {""precision"": 0.9109976847309854, ""recall"": 0.9342560171185033, ""f1-score"": 0.9209068951421178, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9342875669076642, ""recall"": 0.9296528803545052, ""f1-score"": 0.9306192607305546, ""support"": 5416}}",0.9209068951421178,0.9342560171185033,0.6591234369989252,0.6013901112004533,5418,"{""artifact"": {""precision"": 0.9732346241457859, ""recall"": 0.9190642645872547, ""f1-score"": 0.945374083805836, ""support"": 3719}, ""text"": {""precision"": 0.842077649527807, ""recall"": 0.9446733372572101, ""f1-score"": 0.8904299583911235, ""support"": 1699}, ""accuracy"": 0.9270948689553341, ""macro avg"": {""precision"": 0.9076561368367964, ""recall"": 0.9318688009222325, ""f1-score"": 0.9179020210984797, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9321058497131639, ""recall"": 0.9270948689553341, ""f1-score"": 0.9281444660355155, ""support"": 5418}}",0.9179020210984797,0.9318688009222323,0.5982753480056999,0.6154348823009059
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.6403796079976019,0.782021484375,994,6250,5,5416,"{""artifact"": {""precision"": 0.9784791965566715, ""recall"": 0.9196332254584682, ""f1-score"": 0.9481440289170028, ""support"": 3708}, ""text"": {""precision"": 0.845675815639565, ""recall"": 0.9560889929742389, ""f1-score"": 0.8974993129980764, ""support"": 1708}, ""accuracy"": 0.9311299852289513, ""macro avg"": {""precision"": 0.9120775060981182, ""recall"": 0.9378611092163536, ""f1-score"": 0.9228216709575396, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9365980712600654, ""recall"": 0.9311299852289513, ""f1-score"": 0.9321726155511375, ""support"": 5416}}",0.9228216709575396,0.9378611092163536,0.5911375349969603,0.5986776164005277,5418,"{""artifact"": {""precision"": 0.9759794109236488, ""recall"": 0.9177198171551493, ""f1-score"": 0.9459534368070953, ""support"": 3719}, ""text"": {""precision"": 0.8407079646017699, ""recall"": 0.9505591524426134, ""f1-score"": 0.8922651933701657, ""support"": 1699}, ""accuracy"": 0.9280177187153932, ""macro avg"": {""precision"": 0.9083436877627094, ""recall"": 0.9341394847988813, ""f1-score"": 0.9191093150886305, ""support"": 5418}, ""weighted avg"": {""precision"": 0.933560402562469, ""recall"": 0.9280177187153932, ""f1-score"": 0.9291176439685307, ""support"": 5418}}",0.9191093150886305,0.9341394847988813,0.5779722490115091,0.622693509500823
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.6349196310038678,0.761873046875,257,6250,6,5416,"{""artifact"": {""precision"": 0.9801868100764223, ""recall"": 0.9339266450916937, ""f1-score"": 0.9564977213092113, ""support"": 3708}, ""text"": {""precision"": 0.8698884758364313, ""recall"": 0.9590163934426229, ""f1-score"": 0.9122807017543859, ""support"": 1708}, ""accuracy"": 0.9418389955686853, ""macro avg"": {""precision"": 0.9250376429564268, ""recall"": 0.9464715192671582, ""f1-score"": 0.9343892115317987, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9454029188500735, ""recall"": 0.9418389955686853, ""f1-score"": 0.9425533584215374, ""support"": 5416}}",0.9343892115317987,0.9464715192671583,0.7189476439962164,0.6487565493996954,5418,"{""artifact"": {""precision"": 0.9768753525098702, ""recall"": 0.9314331809626244, ""f1-score"": 0.9536132140399174, ""support"": 3719}, ""text"": {""precision"": 0.8637820512820513, ""recall"": 0.951736315479694, ""f1-score"": 0.905628675441053, ""support"": 1699}, ""accuracy"": 0.9377999261720192, ""macro avg"": {""precision"": 0.9203287018959607, ""recall"": 0.9415847482211592, ""f1-score"": 0.9296209447404852, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9414110633282415, ""recall"": 0.9377999261720192, ""f1-score"": 0.9385660137668514, ""support"": 5418}}",0.9296209447404852,0.9415847482211591,0.5916045859921724,0.6221834746000241
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.323566300998209,0.754654296875,651,6250,7,5416,"{""artifact"": {""precision"": 0.9801699716713881, ""recall"": 0.9331175836030206, ""f1-score"": 0.9560652113843603, ""support"": 3708}, ""text"": {""precision"": 0.8685047720042418, ""recall"": 0.9590163934426229, ""f1-score"": 0.9115191986644408, ""support"": 1708}, ""accuracy"": 0.941285081240768, ""macro avg"": {""precision"": 0.924337371837815, ""recall"": 0.9460669885228217, ""f1-score"": 0.9337922050244005, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9449550231796071, ""recall"": 0.941285081240768, ""f1-score"": 0.9420170965901168, ""support"": 5416}}",0.9337922050244005,0.9460669885228218,0.5424919969955226,0.6044032990001142,5418,"{""artifact"": {""precision"": 0.9785067873303167, ""recall"": 0.93035762301694, ""f1-score"": 0.9538249483115092, ""support"": 3719}, ""text"": {""precision"": 0.8623804463336876, ""recall"": 0.9552678045909359, ""f1-score"": 0.9064507120915944, ""support"": 1699}, ""accuracy"": 0.9381690660760428, ""macro avg"": {""precision"": 0.9204436168320022, ""recall"": 0.9428127138039379, ""f1-score"": 0.9301378302015518, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9420913843489079, ""recall"": 0.9381690660760428, ""f1-score"": 0.9389691293123148, ""support"": 5418}}",0.9301378302015518,0.9428127138039379,0.6117996089888038,0.5993693225987954
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.449633685988374,0.775763671875,933,6250,8,5416,"{""artifact"": {""precision"": 0.9796149490373726, ""recall"": 0.9331175836030206, ""f1-score"": 0.9558011049723756, ""support"": 3708}, ""text"": {""precision"": 0.8683651804670913, ""recall"": 0.9578454332552693, ""f1-score"": 0.910913140311804, ""support"": 1708}, ""accuracy"": 0.9409158050221565, ""macro avg"": {""precision"": 0.9239900647522319, ""recall"": 0.9454815084291449, ""f1-score"": 0.9333571226420898, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9445310116817521, ""recall"": 0.9409158050221565, ""f1-score"": 0.9416451515676016, ""support"": 5416}}",0.9333571226420898,0.9454815084291449,0.6054978819884127,0.5952187636998133,5418,"{""artifact"": {""precision"": 0.9765271493212669, ""recall"": 0.9284753966119925, ""f1-score"": 0.9518952446588559, ""support"": 3719}, ""text"": {""precision"": 0.8586609989373007, ""recall"": 0.9511477339611536, ""f1-score"": 0.9025411896118404, ""support"": 1699}, ""accuracy"": 0.9355850867478774, ""macro avg"": {""precision"": 0.9175940741292838, ""recall"": 0.9398115652865731, ""f1-score"": 0.9272182171353481, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9395661693466715, ""recall"": 0.9355850867478774, ""f1-score"": 0.9364185854626803, ""support"": 5418}}",0.9272182171353481,0.9398115652865731,0.551728455000557,0.584583599898906
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.3063747809937922,0.750927734375,420,6250,9,5416,"{""artifact"": {""precision"": 0.9807419994335882, ""recall"": 0.9339266450916937, ""f1-score"": 0.956761983699406, ""support"": 3708}, ""text"": {""precision"": 0.870026525198939, ""recall"": 0.9601873536299765, ""f1-score"": 0.91288616754801, ""support"": 1708}, ""accuracy"": 0.9422082717872969, ""macro avg"": {""precision"": 0.9253842623162636, ""recall"": 0.9470569993608351, ""f1-score"": 0.9348240756237081, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9458265581498398, ""recall"": 0.9422082717872969, ""f1-score"": 0.9429252233621489, ""support"": 5416}}",0.9348240756237081,0.9470569993608352,0.5491266739991261,0.5521544707997237,5418,"{""artifact"": {""precision"": 0.9792436735854422, ""recall"": 0.9260553912342028, ""f1-score"": 0.9519071310116086, ""support"": 3719}, ""text"": {""precision"": 0.855339295107838, ""recall"": 0.9570335491465568, ""f1-score"": 0.9033333333333334, ""support"": 1699}, ""accuracy"": 0.9357696566998892, ""macro avg"": {""precision"": 0.9172914843466401, ""recall"": 0.9415444701903798, ""f1-score"": 0.927620232172471, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9403891997882016, ""recall"": 0.9357696566998892, ""f1-score"": 0.9366751483140469, ""support"": 5418}}",0.927620232172471,0.9415444701903797,0.5517025750014,0.5536871272997814
