,train_samples,params,perf_train_runtime,model_size,seed,train_frac,index,man_validation_samples_cpp_researcher_1,classification_report_cpp_researcher_1,macro_f1_cpp_researcher_1,roc-auc_cpp_researcher_1,perf_predict_runtime_cpp_researcher_1,timeit_runtime_cpp_researcher_1,man_validation_samples_cpp_researcher_2,classification_report_cpp_researcher_2,macro_f1_cpp_researcher_2,roc-auc_cpp_researcher_2,perf_predict_runtime_cpp_researcher_2,timeit_runtime_cpp_researcher_2
0,2756,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",0.5180200089962455,0.40344140625,396,0.0125,0,5416,"{""artifact"": {""precision"": 0.9773962804005722, ""recall"": 0.9212513484358145, ""f1-score"": 0.9484936831875608, ""support"": 3708}, ""text"": {""precision"": 0.8479958355023425, ""recall"": 0.9537470725995316, ""f1-score"": 0.8977679801598236, ""support"": 1708}, ""accuracy"": 0.9314992614475628, ""macro avg"": {""precision"": 0.9126960579514574, ""recall"": 0.937499210517673, ""f1-score"": 0.9231308316736921, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9365883114407908, ""recall"": 0.9314992614475628, ""f1-score"": 0.9324967295739391, ""support"": 5416}}",0.9231308316736921,0.937499210517673,0.5568274380057119,0.5517291365002166,5418,"{""artifact"": {""precision"": 0.9748930099857347, ""recall"": 0.9187953751008335, ""f1-score"": 0.9460132890365448, ""support"": 3719}, ""text"": {""precision"": 0.8421327757449033, ""recall"": 0.948204826368452, ""f1-score"": 0.8920265780730897, ""support"": 1699}, ""accuracy"": 0.9280177187153932, ""macro avg"": {""precision"": 0.908512892865319, ""recall"": 0.9335001007346428, ""f1-score"": 0.9190199335548173, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9332614784288553, ""recall"": 0.9280177187153932, ""f1-score"": 0.9290839014531358, ""support"": 5418}}",0.9190199335548173,0.9335001007346427,0.5570563559886068,0.5572902587009594
0,2756,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",0.507822418003343,0.40139453125,992,0.0125,1,5416,"{""artifact"": {""precision"": 0.9687959964674713, ""recall"": 0.8875404530744336, ""f1-score"": 0.9263898662913441, ""support"": 3708}, ""text"": {""precision"": 0.7934621099554234, ""recall"": 0.9379391100702577, ""f1-score"": 0.859672658975047, ""support"": 1708}, ""accuracy"": 0.9034342688330872, ""macro avg"": {""precision"": 0.8811290532114473, ""recall"": 0.9127397815723457, ""f1-score"": 0.8930312626331955, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9135023705142628, ""recall"": 0.9034342688330872, ""f1-score"": 0.905349801650237, ""support"": 5416}}",0.8930312626331955,0.9127397815723456,0.5525869090051856,0.5433815559998039,5418,"{""artifact"": {""precision"": 0.9668427230046949, ""recall"": 0.8859908577574617, ""f1-score"": 0.9246527290585099, ""support"": 3719}, ""text"": {""precision"": 0.7890547263681592, ""recall"": 0.9334902884049441, ""f1-score"": 0.8552170396333243, ""support"": 1699}, ""accuracy"": 0.9008859357696567, ""macro avg"": {""precision"": 0.877948724686427, ""recall"": 0.9097405730812029, ""f1-score"": 0.8899348843459172, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9110911899139835, ""recall"": 0.9008859357696567, ""f1-score"": 0.9028787836296819, ""support"": 5418}}",0.8899348843459172,0.9097405730812029,0.5465360200032592,0.5496489453013055
0,2756,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",0.5308028470026329,0.40923828125,283,0.0125,2,5416,"{""artifact"": {""precision"": 0.9745862884160756, ""recall"": 0.8894282632146709, ""f1-score"": 0.9300620417371687, ""support"": 3708}, ""text"": {""precision"": 0.7982283464566929, ""recall"": 0.949648711943794, ""f1-score"": 0.867379679144385, ""support"": 1708}, ""accuracy"": 0.9084194977843427, ""macro avg"": {""precision"": 0.8864073174363842, ""recall"": 0.9195384875792325, ""f1-score"": 0.8987208604407768, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9189697144008199, ""recall"": 0.9084194977843427, ""f1-score"": 0.9102944133567265, ""support"": 5416}}",0.8987208604407768,0.9195384875792325,0.5428365739935543,0.5461278799994034,5418,"{""artifact"": {""precision"": 0.9714117300324197, ""recall"": 0.8862597472438828, ""f1-score"": 0.9268841394825648, ""support"": 3719}, ""text"": {""precision"": 0.7911111111111111, ""recall"": 0.9429075927015892, ""f1-score"": 0.8603651987110633, ""support"": 1699}, ""accuracy"": 0.9040236249538575, ""macro avg"": {""precision"": 0.8812614205717654, ""recall"": 0.914583669972736, ""f1-score"": 0.893624669096814, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9148722779195914, ""recall"": 0.9040236249538575, ""f1-score"": 0.9060248407799473, ""support"": 5418}}",0.893624669096814,0.914583669972736,0.5445497009932296,0.5492996041008155
0,2756,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",0.5609830850007711,0.41547265625,301,0.0125,3,5416,"{""artifact"": {""precision"": 0.9738955823293173, ""recall"": 0.9155879180151025, ""f1-score"": 0.9438420906310815, ""support"": 3708}, ""text"": {""precision"": 0.8378238341968912, ""recall"": 0.9467213114754098, ""f1-score"": 0.8889499725123695, ""support"": 1708}, ""accuracy"": 0.9254062038404727, ""macro avg"": {""precision"": 0.9058597082631042, ""recall"": 0.9311546147452562, ""f1-score"": 0.9163960315717254, ""support"": 5416}, ""weighted avg"": {""precision"": 0.930983738568205, ""recall"": 0.9254062038404727, ""f1-score"": 0.9265312084769529, ""support"": 5416}}",0.9163960315717254,0.9311546147452563,0.5385419530066429,0.541986105099204,5418,"{""artifact"": {""precision"": 0.9716494845360825, ""recall"": 0.9123420274267277, ""f1-score"": 0.9410622659825267, ""support"": 3719}, ""text"": {""precision"": 0.8307372793354102, ""recall"": 0.9417304296645085, ""f1-score"": 0.8827586206896553, ""support"": 1699}, ""accuracy"": 0.9215577703949797, ""macro avg"": {""precision"": 0.9011933819357463, ""recall"": 0.9270362285456181, ""f1-score"": 0.911910443336091, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9274616224770309, ""recall"": 0.9215577703949797, ""f1-score"": 0.9227791553600482, ""support"": 5418}}",0.911910443336091,0.9270362285456182,0.5455964489956386,0.5429358987006708
0,2756,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",0.5571255219983868,0.39303515625,490,0.0125,4,5416,"{""artifact"": {""precision"": 0.9765189316113884, ""recall"": 0.8972491909385113, ""f1-score"": 0.9352073085031624, ""support"": 3708}, ""text"": {""precision"": 0.8103534096565456, ""recall"": 0.9531615925058547, ""f1-score"": 0.8759752488566047, ""support"": 1708}, ""accuracy"": 0.9148818316100443, ""macro avg"": {""precision"": 0.893436170633967, ""recall"": 0.925205391722183, ""f1-score"": 0.9055912786798835, ""support"": 5416}, ""weighted avg"": {""precision"": 0.924116658439514, ""recall"": 0.9148818316100443, ""f1-score"": 0.91652777418331, ""support"": 5416}}",0.9055912786798835,0.9252053917221831,0.5375530000019353,0.5393092628000886,5418,"{""artifact"": {""precision"": 0.9733294255568582, ""recall"": 0.8929819844044098, ""f1-score"": 0.931426167437947, ""support"": 3719}, ""text"": {""precision"": 0.8015952143569293, ""recall"": 0.9464390818128311, ""f1-score"": 0.8680161943319838, ""support"": 1699}, ""accuracy"": 0.9097452934662237, ""macro avg"": {""precision"": 0.8874623199568937, ""recall"": 0.9197105331086204, ""f1-score"": 0.8997211808849654, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9194762648280508, ""recall"": 0.9097452934662237, ""f1-score"": 0.9115417923351358, ""support"": 5418}}",0.8997211808849654,0.9197105331086204,0.5446032080071745,0.5454326545994264
0,2756,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",0.5849150239955634,0.38706640625,810,0.0125,5,5416,"{""artifact"": {""precision"": 0.97393297049556, ""recall"": 0.9169363538295577, ""f1-score"": 0.9445756355049312, ""support"": 3708}, ""text"": {""precision"": 0.84, ""recall"": 0.9467213114754098, ""f1-score"": 0.8901734104046243, ""support"": 1708}, ""accuracy"": 0.9263293943870015, ""macro avg"": {""precision"": 0.90696648524778, ""recall"": 0.9318288326524837, ""f1-score"": 0.9173745229547777, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9316956156937845, ""recall"": 0.9263293943870015, ""f1-score"": 0.9274192469393248, ""support"": 5416}}",0.9173745229547777,0.9318288326524837,0.5476851970015559,0.5435088646001531,5418,"{""artifact"": {""precision"": 0.9705546026300743, ""recall"": 0.9128798063995698, ""f1-score"": 0.9408341416100873, ""support"": 3719}, ""text"": {""precision"": 0.83125, ""recall"": 0.9393761035903473, ""f1-score"": 0.8820116054158608, ""support"": 1699}, ""accuracy"": 0.9211886304909561, ""macro avg"": {""precision"": 0.9009023013150372, ""recall"": 0.9261279549949586, ""f1-score"": 0.911422873512974, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9268708595757191, ""recall"": 0.9211886304909561, ""f1-score"": 0.9223883149223813, ""support"": 5418}}",0.911422873512974,0.9261279549949585,0.5485199499962619,0.5501609040002222
0,2756,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",0.5276391200022772,0.41210546875,969,0.0125,6,5416,"{""artifact"": {""precision"": 0.976163124641011, ""recall"": 0.9166666666666666, ""f1-score"": 0.9454798331015299, ""support"": 3708}, ""text"": {""precision"": 0.8402275077559462, ""recall"": 0.9514051522248244, ""f1-score"": 0.8923668314113125, ""support"": 1708}, ""accuracy"": 0.9276218611521418, ""macro avg"": {""precision"": 0.9081953161984786, ""recall"": 0.9340359094457455, ""f1-score"": 0.9189233322564212, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9332942114874493, ""recall"": 0.9276218611521418, ""f1-score"": 0.9287300164680565, ""support"": 5416}}",0.9189233322564212,0.9340359094457454,0.5437626040074974,0.5425367264993838,5418,"{""artifact"": {""precision"": 0.9714367323621822, ""recall"": 0.9144931433180963, ""f1-score"": 0.9421052631578948, ""support"": 3719}, ""text"": {""precision"": 0.8341158059467919, ""recall"": 0.9411418481459682, ""f1-score"": 0.8844026548672566, ""support"": 1699}, ""accuracy"": 0.9228497600590624, ""macro avg"": {""precision"": 0.902776269154487, ""recall"": 0.9278174957320322, ""f1-score"": 0.9132539590125757, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9283750391211802, ""recall"": 0.9228497600590624, ""f1-score"": 0.9240106283321667, ""support"": 5418}}",0.9132539590125757,0.9278174957320322,0.5510258299909765,0.5472664593995432
0,2756,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",0.5131008220050717,0.40715234375,219,0.0125,7,5416,"{""artifact"": {""precision"": 0.9754860524091293, ""recall"": 0.9336569579288025, ""f1-score"": 0.9541132699462588, ""support"": 3708}, ""text"": {""precision"": 0.8682378146759507, ""recall"": 0.9490632318501171, ""f1-score"": 0.9068531468531468, ""support"": 1708}, ""accuracy"": 0.9385155096011817, ""macro avg"": {""precision"": 0.92186193354254, ""recall"": 0.9413600948894598, ""f1-score"": 0.9304832083997028, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9416640453839689, ""recall"": 0.9385155096011817, ""f1-score"": 0.9392092281731725, ""support"": 5416}}",0.9304832083997028,0.9413600948894598,0.5390378669981146,0.5419632699005887,5418,"{""artifact"": {""precision"": 0.9741209563994374, ""recall"": 0.9311642914762033, ""f1-score"": 0.9521583722848502, ""support"": 3719}, ""text"": {""precision"": 0.8625872249060654, ""recall"": 0.9458505002942907, ""f1-score"": 0.9023020774845592, ""support"": 1699}, ""accuracy"": 0.9357696566998892, ""macro avg"": {""precision"": 0.9183540906527514, ""recall"": 0.938507395885247, ""f1-score"": 0.9272302248847046, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9391457238768758, ""recall"": 0.9357696566998892, ""f1-score"": 0.9365242185628688, ""support"": 5418}}",0.9272302248847046,0.938507395885247,0.5437664580094861,0.5477172861996223
0,2756,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",0.5515100649936358,0.40011328125,315,0.0125,8,5416,"{""artifact"": {""precision"": 0.9720338983050848, ""recall"": 0.9279935275080906, ""f1-score"": 0.9495033112582781, ""support"": 3708}, ""text"": {""precision"": 0.8576759061833689, ""recall"": 0.9420374707259953, ""f1-score"": 0.8978794642857142, ""support"": 1708}, ""accuracy"": 0.9324224519940916, ""macro avg"": {""precision"": 0.9148549022442268, ""recall"": 0.935015499117043, ""f1-score"": 0.9236913877719961, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9359697456935835, ""recall"": 0.9324224519940916, ""f1-score"": 0.9332231172721003, ""support"": 5416}}",0.9236913877719961,0.935015499117043,0.5534474309970392,0.5438942217006115,5418,"{""artifact"": {""precision"": 0.9684684684684685, ""recall"": 0.9249798332885184, ""f1-score"": 0.9462247283729885, ""support"": 3719}, ""text"": {""precision"": 0.8504823151125402, ""recall"": 0.9340788699234844, ""f1-score"": 0.8903225806451613, ""support"": 1699}, ""accuracy"": 0.9278331487633813, ""macro avg"": {""precision"": 0.9094753917905043, ""recall"": 0.9295293516060015, ""f1-score"": 0.9182736545090749, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9314698574400959, ""recall"": 0.9278331487633813, ""f1-score"": 0.9286946897997921, ""support"": 5418}}",0.9182736545090749,0.9295293516060014,0.5532021219987655,0.5506392162002157
0,2756,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",0.5149188530049287,0.38269140625,538,0.0125,9,5416,"{""artifact"": {""precision"": 0.9667418263810598, ""recall"": 0.9250269687162891, ""f1-score"": 0.9454244762954797, ""support"": 3708}, ""text"": {""precision"": 0.8511777301927195, ""recall"": 0.9309133489461359, ""f1-score"": 0.8892617449664431, ""support"": 1708}, ""accuracy"": 0.9268833087149188, ""macro avg"": {""precision"": 0.9089597782868897, ""recall"": 0.9279701588312125, ""f1-score"": 0.9173431106309613, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9302973145107337, ""recall"": 0.9268833087149188, ""f1-score"": 0.9277128911570021, ""support"": 5416}}",0.9173431106309613,0.9279701588312124,0.5356117609917419,0.5413426610000898,5418,"{""artifact"": {""precision"": 0.9657687991021324, ""recall"": 0.9255176122613605, ""f1-score"": 0.9452148839763833, ""support"": 3719}, ""text"": {""precision"": 0.8505933117583603, ""recall"": 0.9281930547380812, ""f1-score"": 0.8877005347593583, ""support"": 1699}, ""accuracy"": 0.9263565891472868, ""macro avg"": {""precision"": 0.9081810554302463, ""recall"": 0.9268553334997209, ""f1-score"": 0.9164577093678707, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9296515689439433, ""recall"": 0.9263565891472868, ""f1-score"": 0.9271792842495976, ""support"": 5418}}",0.9164577093678707,0.9268553334997208,0.5473673279921059,0.5472777121991385
