,train_samples,params,perf_train_runtime,model_size,seed,train_frac,index,man_validation_samples_java_researcher_1,classification_report_java_researcher_1,macro_f1_java_researcher_1,roc-auc_java_researcher_1,perf_predict_runtime_java_researcher_1,timeit_runtime_java_researcher_1,man_validation_samples_java_researcher_2,classification_report_java_researcher_2,macro_f1_java_researcher_2,roc-auc_java_researcher_2,perf_predict_runtime_java_researcher_2,timeit_runtime_java_researcher_2
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.122959490006906,0.708029296875,484,6250,0,6575,"{""artifact"": {""precision"": 0.9842956120092379, ""recall"": 0.9091296928327645, ""f1-score"": 0.9452206697715679, ""support"": 4688}, ""text"": {""precision"": 0.8102449888641425, ""recall"": 0.963963963963964, ""f1-score"": 0.8804453049370766, ""support"": 1887}, ""accuracy"": 0.9248669201520913, ""macro avg"": {""precision"": 0.8972703004366902, ""recall"": 0.9365468283983642, ""f1-score"": 0.9128329873543223, ""support"": 6575}, ""weighted avg"": {""precision"": 0.9343437449560371, ""recall"": 0.9248669201520913, ""f1-score"": 0.9266303863582318, ""support"": 6575}}",0.9128329873543223,0.9365468283983641,0.5208612040005391,0.5238657870999305,6578,"{""artifact"": {""precision"": 0.9836179049377018, ""recall"": 0.912457191780822, ""f1-score"": 0.9467021985343104, ""support"": 4672}, ""text"": {""precision"": 0.8177361853832442, ""recall"": 0.9627492130115425, ""f1-score"": 0.8843373493975905, ""support"": 1906}, ""accuracy"": 0.9270294922468836, ""macro avg"": {""precision"": 0.9006770451604731, ""recall"": 0.9376032023961822, ""f1-score"": 0.9155197739659504, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9355530588643063, ""recall"": 0.9270294922468836, ""f1-score"": 0.9286317512167993, ""support"": 6578}}",0.9155197739659504,0.9376032023961823,0.5273997140029678,0.5285759564008913
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.1031786110106623,0.710935546875,460,6250,1,6575,"{""artifact"": {""precision"": 0.9849397590361446, ""recall"": 0.9067832764505119, ""f1-score"": 0.9442470013327411, ""support"": 4688}, ""text"": {""precision"": 0.8065515714918106, ""recall"": 0.9655537890832009, ""f1-score"": 0.8789194404245055, ""support"": 1887}, ""accuracy"": 0.9236501901140685, ""macro avg"": {""precision"": 0.8957456652639776, ""recall"": 0.9361685327668564, ""f1-score"": 0.9115832208786233, ""support"": 6575}, ""weighted avg"": {""precision"": 0.9337430274930026, ""recall"": 0.9236501901140685, ""f1-score"": 0.9254982397458452, ""support"": 6575}}",0.9115832208786233,0.9361685327668564,0.5292088400019566,0.5269003185996552,6578,"{""artifact"": {""precision"": 0.9835533935603429, ""recall"": 0.908818493150685, ""f1-score"": 0.9447102013572144, ""support"": 4672}, ""text"": {""precision"": 0.8115877930119416, ""recall"": 0.9627492130115425, ""f1-score"": 0.8807295416366692, ""support"": 1906}, ""accuracy"": 0.924445120097294, ""macro avg"": {""precision"": 0.8975705932861422, ""recall"": 0.9357838530811138, ""f1-score"": 0.9127198714969418, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9337257203093163, ""recall"": 0.924445120097294, ""f1-score"": 0.9261715669048945, ""support"": 6578}}",0.9127198714969418,0.9357838530811138,0.5312151060061296,0.5321330050996039
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.1731571690033888,0.721224609375,413,6250,2,6575,"{""artifact"": {""precision"": 0.9885057471264368, ""recall"": 0.8988907849829352, ""f1-score"": 0.9415707742151715, ""support"": 4688}, ""text"": {""precision"": 0.7949826989619377, ""recall"": 0.9740328563857975, ""f1-score"": 0.8754465348892593, ""support"": 1887}, ""accuracy"": 0.9204562737642585, ""macro avg"": {""precision"": 0.8917442230441872, ""recall"": 0.9364618206843663, ""f1-score"": 0.9085086545522154, ""support"": 6575}, ""weighted avg"": {""precision"": 0.932965368132306, ""recall"": 0.9204562737642585, ""f1-score"": 0.9225933689515979, ""support"": 6575}}",0.9085086545522154,0.9364618206843663,0.521152428991627,0.5236909016995923,6578,"{""artifact"": {""precision"": 0.9878105954055321, ""recall"": 0.9019691780821918, ""f1-score"": 0.9429402550906243, ""support"": 4672}, ""text"": {""precision"": 0.8019031141868512, ""recall"": 0.9727177334732424, ""f1-score"": 0.8790896159317212, ""support"": 1906}, ""accuracy"": 0.9224688355123137, ""macro avg"": {""precision"": 0.8948568547961917, ""recall"": 0.9373434557777172, ""f1-score"": 0.9110149355111727, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9339432103032509, ""recall"": 0.9224688355123137, ""f1-score"": 0.9244392945803067, ""support"": 6578}}",0.9110149355111727,0.9373434557777172,0.5500333830132149,0.5283275314010097
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.1183365769975353,0.720544921875,537,6250,3,6575,"{""artifact"": {""precision"": 0.9860756556045486, ""recall"": 0.9063566552901023, ""f1-score"": 0.9445370679115261, ""support"": 4688}, ""text"": {""precision"": 0.8062665489849956, ""recall"": 0.9682034976152624, ""f1-score"": 0.8798458945340718, ""support"": 1887}, ""accuracy"": 0.924106463878327, ""macro avg"": {""precision"": 0.896171102294772, ""recall"": 0.9372800764526823, ""f1-score"": 0.9121914812227989, ""support"": 6575}, ""weighted avg"": {""precision"": 0.9344711256895528, ""recall"": 0.924106463878327, ""f1-score"": 0.92597094712624, ""support"": 6575}}",0.9121914812227989,0.9372800764526823,0.5228511290042661,0.5272762152992072,6578,"{""artifact"": {""precision"": 0.9853828306264502, ""recall"": 0.9090325342465754, ""f1-score"": 0.9456691160097974, ""support"": 4672}, ""text"": {""precision"": 0.812610229276896, ""recall"": 0.9669464847848899, ""f1-score"": 0.8830857690464782, ""support"": 1906}, ""accuracy"": 0.9258133171176649, ""macro avg"": {""precision"": 0.8989965299516731, ""recall"": 0.9379895095157327, ""f1-score"": 0.9143774425281378, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9353213258875857, ""recall"": 0.9258133171176649, ""f1-score"": 0.9275353581332261, ""support"": 6578}}",0.9143774425281378,0.9379895095157326,0.5245551289990544,0.5290303600995685
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.1473424940049881,0.702857421875,378,6250,4,6575,"{""artifact"": {""precision"": 0.9874826147426982, ""recall"": 0.908703071672355, ""f1-score"": 0.946456343034881, ""support"": 4688}, ""text"": {""precision"": 0.810703228659885, ""recall"": 0.9713831478537361, ""f1-score"": 0.8837994214079075, ""support"": 1887}, ""accuracy"": 0.9266920152091255, ""macro avg"": {""precision"": 0.8990929217012915, ""recall"": 0.9400431097630455, ""f1-score"": 0.9151278822213942, ""support"": 6575}, ""weighted avg"": {""precision"": 0.9367476031018969, ""recall"": 0.9266920152091255, ""f1-score"": 0.9284740447671853, ""support"": 6575}}",0.9151278822213942,0.9400431097630457,0.5256140300043626,0.5235367992994725,6578,"{""artifact"": {""precision"": 0.9865616311399444, ""recall"": 0.9113869863013698, ""f1-score"": 0.947485536270583, ""support"": 4672}, ""text"": {""precision"": 0.8169761273209549, ""recall"": 0.9695697796432319, ""f1-score"": 0.8867562380038387, ""support"": 1906}, ""accuracy"": 0.9282456673761021, ""macro avg"": {""precision"": 0.9017688792304497, ""recall"": 0.9404783829723009, ""f1-score"": 0.9171208871372108, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9374235997810216, ""recall"": 0.9282456673761021, ""f1-score"": 0.929888995909316, ""support"": 6578}}",0.9171208871372108,0.9404783829723008,0.5373997529968619,0.5288058117002947
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.1757998260000022,0.731419921875,106,6250,5,6575,"{""artifact"": {""precision"": 0.9865554010199351, ""recall"": 0.9078498293515358, ""f1-score"": 0.9455676516329705, ""support"": 4688}, ""text"": {""precision"": 0.8089340999557718, ""recall"": 0.969263381028087, ""f1-score"": 0.881870781099325, ""support"": 1887}, ""accuracy"": 0.9254752851711027, ""macro avg"": {""precision"": 0.8977447504878535, ""recall"": 0.9385566051898113, ""f1-score"": 0.9137192163661478, ""support"": 6575}, ""weighted avg"": {""precision"": 0.935578762980684, ""recall"": 0.9254752851711027, ""f1-score"": 0.9272868919832384, ""support"": 6575}}",0.9137192163661478,0.9385566051898114,0.5250228439981584,0.5352438205009094,6578,"{""artifact"": {""precision"": 0.9854031510658017, ""recall"": 0.9103167808219178, ""f1-score"": 0.9463729417000445, ""support"": 4672}, ""text"": {""precision"": 0.8147656940760389, ""recall"": 0.9669464847848899, ""f1-score"": 0.8843570057581573, ""support"": 1906}, ""accuracy"": 0.9267254484645789, ""macro avg"": {""precision"": 0.9000844225709204, ""recall"": 0.9386316328034039, ""f1-score"": 0.915364973729101, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9359603123576097, ""recall"": 0.9267254484645789, ""f1-score"": 0.9284035932802761, ""support"": 6578}}",0.915364973729101,0.9386316328034039,0.5364993469993351,0.5299743020994356
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.1280740250076633,0.699529296875,107,6250,6,6575,"{""artifact"": {""precision"": 0.9866297833102813, ""recall"": 0.9129692832764505, ""f1-score"": 0.9483713715931753, ""support"": 4688}, ""text"": {""precision"": 0.8176128743853375, ""recall"": 0.969263381028087, ""f1-score"": 0.8870029097963142, ""support"": 1887}, ""accuracy"": 0.9291254752851711, ""macro avg"": {""precision"": 0.9021213288478094, ""recall"": 0.9411163321522688, ""f1-score"": 0.9176871406947448, ""support"": 6575}, ""weighted avg"": {""precision"": 0.9381225730986663, ""recall"": 0.9291254752851711, ""f1-score"": 0.9307588563976351, ""support"": 6575}}",0.9176871406947448,0.9411163321522689,0.530256540994742,0.5316014942000038,6578,"{""artifact"": {""precision"": 0.986396126354623, ""recall"": 0.915667808219178, ""f1-score"": 0.9497169497169498, ""support"": 4672}, ""text"": {""precision"": 0.824185631414547, ""recall"": 0.9690451206715635, ""f1-score"": 0.8907644080057872, ""support"": 1906}, ""accuracy"": 0.9311340833079963, ""macro avg"": {""precision"": 0.905290878884585, ""recall"": 0.9423564644453708, ""f1-score"": 0.9202406788613684, ""support"": 6578}, ""weighted avg"": {""precision"": 0.939395031286854, ""recall"": 0.9311340833079963, ""f1-score"": 0.9326352311852569, ""support"": 6578}}",0.9202406788613684,0.9423564644453707,0.5310567600099603,0.5268301725009223
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.109037469010218,0.711044921875,343,6250,7,6575,"{""artifact"": {""precision"": 0.9895905621096461, ""recall"": 0.912542662116041, ""f1-score"": 0.9495061591388304, ""support"": 4688}, ""text"": {""precision"": 0.8179396092362344, ""recall"": 0.9761526232114467, ""f1-score"": 0.8900700652331481, ""support"": 1887}, ""accuracy"": 0.9307984790874525, ""macro avg"": {""precision"": 0.9037650856729402, ""recall"": 0.9443476426637438, ""f1-score"": 0.9197881121859892, ""support"": 6575}, ""weighted avg"": {""precision"": 0.940327391300197, ""recall"": 0.9307984790874525, ""f1-score"": 0.9324482261806522, ""support"": 6575}}",0.9197881121859892,0.9443476426637438,0.5387798269948689,0.5283999129998846,6578,"{""artifact"": {""precision"": 0.9884366327474561, ""recall"": 0.9148116438356164, ""f1-score"": 0.9502000889284127, ""support"": 4672}, ""text"": {""precision"": 0.8234250221827861, ""recall"": 0.9737670514165793, ""f1-score"": 0.8923076923076924, ""support"": 1906}, ""accuracy"": 0.931894192763758, ""macro avg"": {""precision"": 0.9059308274651211, ""recall"": 0.9442893476260978, ""f1-score"": 0.9212538906180525, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9406239039946039, ""recall"": 0.931894192763758, ""f1-score"": 0.9334255513852243, ""support"": 6578}}",0.9212538906180525,0.9442893476260978,0.5328984969964949,0.5290403067992884
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.1686840150068747,0.721724609375,345,6250,8,6575,"{""artifact"": {""precision"": 0.985119739595443, ""recall"": 0.903796928327645, ""f1-score"": 0.9427077539214596, ""support"": 4688}, ""text"": {""precision"": 0.8016710642040458, ""recall"": 0.9660837307896132, ""f1-score"": 0.8762316750781063, ""support"": 1887}, ""accuracy"": 0.9216730038022813, ""macro avg"": {""precision"": 0.8933954018997443, ""recall"": 0.9349403295586292, ""f1-score"": 0.909469714499783, ""support"": 6575}, ""weighted avg"": {""precision"": 0.9324706672815924, ""recall"": 0.9216730038022813, ""f1-score"": 0.9236293720541732, ""support"": 6575}}",0.909469714499783,0.934940329558629,0.5301362369937124,0.5270013478992042,6578,"{""artifact"": {""precision"": 0.9855947955390335, ""recall"": 0.9079623287671232, ""f1-score"": 0.9451871657754011, ""support"": 4672}, ""text"": {""precision"": 0.810905892700088, ""recall"": 0.9674711437565582, ""f1-score"": 0.8822966507177034, ""support"": 1906}, ""accuracy"": 0.9252052295530556, ""macro avg"": {""precision"": 0.8982503441195607, ""recall"": 0.9377167362618407, ""f1-score"": 0.9137419082465522, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9349780353062834, ""recall"": 0.9252052295530556, ""f1-score"": 0.9269644047994248, ""support"": 6578}}",0.9137419082465522,0.9377167362618407,0.53790278499946,0.533138832100667
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.138405885998509,0.718615234375,473,6250,9,6575,"{""artifact"": {""precision"": 0.9875086745315753, ""recall"": 0.9106228668941979, ""f1-score"": 0.9475086005992676, ""support"": 4688}, ""text"": {""precision"": 0.8139431616341031, ""recall"": 0.9713831478537361, ""f1-score"": 0.885721188692921, ""support"": 1887}, ""accuracy"": 0.9280608365019012, ""macro avg"": {""precision"": 0.9007259180828392, ""recall"": 0.941003007373967, ""f1-score"": 0.9166148946460944, ""support"": 6575}, ""weighted avg"": {""precision"": 0.9376960322749167, ""recall"": 0.9280608365019012, ""f1-score"": 0.9297758483152713, ""support"": 6575}}",0.9166148946460944,0.941003007373967,0.5294474870024715,0.5280798859996139,6578,"{""artifact"": {""precision"": 0.9863583815028901, ""recall"": 0.9130993150684932, ""f1-score"": 0.9483161053684561, ""support"": 4672}, ""text"": {""precision"": 0.8197958277851753, ""recall"": 0.9690451206715635, ""f1-score"": 0.8881942774705457, ""support"": 1906}, ""accuracy"": 0.9293098206141684, ""macro avg"": {""precision"": 0.9030771046440327, ""recall"": 0.9410722178700284, ""f1-score"": 0.918255191419501, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9380962611948992, ""recall"": 0.9293098206141684, ""f1-score"": 0.9308955818091041, ""support"": 6578}}",0.918255191419501,0.9410722178700284,0.5293782480002847,0.5282127084996319
