,train_samples,params,perf_train_runtime,model_size,seed,train_frac,index,man_validation_samples_javascript_researcher_1,classification_report_javascript_researcher_1,macro_f1_javascript_researcher_1,roc-auc_javascript_researcher_1,perf_predict_runtime_javascript_researcher_1,timeit_runtime_javascript_researcher_1,man_validation_samples_javascript_researcher_2,classification_report_javascript_researcher_2,macro_f1_javascript_researcher_2,roc-auc_javascript_researcher_2,perf_predict_runtime_javascript_researcher_2,timeit_runtime_javascript_researcher_2
0,19660,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",4.458812750992365,1.688638671875,136,0.0125,0,5170,"{""artifact"": {""precision"": 0.9741238126433017, ""recall"": 0.9179012345679012, ""f1-score"": 0.9451771809947561, ""support"": 3240}, ""text"": {""precision"": 0.8743504959848842, ""recall"": 0.9590673575129534, ""f1-score"": 0.9147516679021497, ""support"": 1930}, ""accuracy"": 0.9332688588007737, ""macro avg"": {""precision"": 0.924237154314093, ""recall"": 0.9384842960404273, ""f1-score"": 0.9299644244484528, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9368776808926741, ""recall"": 0.9332688588007737, ""f1-score"": 0.9338191074418103, ""support"": 5170}}",0.9299644244484528,0.9384842960404273,0.3635208439955022,0.3642838193976786,5167,"{""artifact"": {""precision"": 0.9731059363725811, ""recall"": 0.92, ""f1-score"": 0.9458080969078739, ""support"": 3225}, ""text"": {""precision"": 0.8781869688385269, ""recall"": 0.9577754891864058, ""f1-score"": 0.916256157635468, ""support"": 1942}, ""accuracy"": 0.9341977936907296, ""macro avg"": {""precision"": 0.925646452605554, ""recall"": 0.9388877445932029, ""f1-score"": 0.931032127271671, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9374309538002696, ""recall"": 0.9341977936907296, ""f1-score"": 0.9347010974755122, ""support"": 5167}}",0.931032127271671,0.9388877445932029,0.3645054770167917,0.36592341189971195
0,19660,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",4.716217294015223,1.676279296875,805,0.0125,1,5170,"{""artifact"": {""precision"": 0.9731254147312541, ""recall"": 0.9052469135802469, ""f1-score"": 0.9379597057882955, ""support"": 3240}, ""text"": {""precision"": 0.8576066790352505, ""recall"": 0.9580310880829016, ""f1-score"": 0.9050416054821341, ""support"": 1930}, ""accuracy"": 0.9249516441005803, ""macro avg"": {""precision"": 0.9153660468832523, ""recall"": 0.9316390008315742, ""f1-score"": 0.9215006556352148, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9300013992780072, ""recall"": 0.9249516441005803, ""f1-score"": 0.9256711306256472, ""support"": 5170}}",0.9215006556352148,0.9316390008315742,0.3594063149939757,0.3591571306984406,5167,"{""artifact"": {""precision"": 0.9724252491694352, ""recall"": 0.9075968992248062, ""f1-score"": 0.9388933440256615, ""support"": 3225}, ""text"": {""precision"": 0.8618451553082985, ""recall"": 0.9572605561277034, ""f1-score"": 0.9070505001219809, ""support"": 1942}, ""accuracy"": 0.9262628217534352, ""macro avg"": {""precision"": 0.9171352022388668, ""recall"": 0.9324287276762548, ""f1-score"": 0.9229719220738212, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9308640836423735, ""recall"": 0.9262628217534352, ""f1-score"": 0.9269253156027956, ""support"": 5167}}",0.9229719220738212,0.9324287276762548,0.360690027999226,0.358631439099554
0,19660,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",4.408740556013072,1.664623046875,121,0.0125,2,5170,"{""artifact"": {""precision"": 0.9720234222511386, ""recall"": 0.9222222222222223, ""f1-score"": 0.9464681659803611, ""support"": 3240}, ""text"": {""precision"": 0.8797709923664122, ""recall"": 0.9554404145077721, ""f1-score"": 0.9160457029309488, ""support"": 1930}, ""accuracy"": 0.9346228239845261, ""macro avg"": {""precision"": 0.9258972073087754, ""recall"": 0.9388313183649972, ""f1-score"": 0.9312569344556549, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9375848942670917, ""recall"": 0.9346228239845261, ""f1-score"": 0.9351112310315476, ""support"": 5170}}",0.9312569344556549,0.9388313183649972,0.3579970879945904,0.3638813241006574,5167,"{""artifact"": {""precision"": 0.9723127035830619, ""recall"": 0.9255813953488372, ""f1-score"": 0.948371723590151, ""support"": 3225}, ""text"": {""precision"": 0.8855507868383404, ""recall"": 0.9562306900102987, ""f1-score"": 0.9195345382520426, ""support"": 1942}, ""accuracy"": 0.9371008322043739, ""macro avg"": {""precision"": 0.9289317452107011, ""recall"": 0.9409060426795679, ""f1-score"": 0.9339531309210968, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9397035217912584, ""recall"": 0.9371008322043739, ""f1-score"": 0.9375333620792924, ""support"": 5167}}",0.9339531309210968,0.940906042679568,0.35886907001258805,0.3594058868999127
0,19660,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",4.404633596976055,1.696466796875,501,0.0125,3,5170,"{""artifact"": {""precision"": 0.9698234349919743, ""recall"": 0.9324074074074075, ""f1-score"": 0.9507474429583006, ""support"": 3240}, ""text"": {""precision"": 0.8934306569343066, ""recall"": 0.9512953367875647, ""f1-score"": 0.9214554579673775, ""support"": 1930}, ""accuracy"": 0.939458413926499, ""macro avg"": {""precision"": 0.9316270459631404, ""recall"": 0.9418513720974862, ""f1-score"": 0.9361014504628391, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9413054346725741, ""recall"": 0.939458413926499, ""f1-score"": 0.9398125239965054, ""support"": 5170}}",0.9361014504628391,0.9418513720974859,0.35452616299153306,0.35923234630026857,5167,"{""artifact"": {""precision"": 0.971401028277635, ""recall"": 0.9373643410852713, ""f1-score"": 0.9540792172952501, ""support"": 3225}, ""text"": {""precision"": 0.9017031630170317, ""recall"": 0.9541709577754892, ""f1-score"": 0.9271953965474107, ""support"": 1942}, ""accuracy"": 0.9436810528353009, ""macro avg"": {""precision"": 0.9365520956473333, ""recall"": 0.9457676494303803, ""f1-score"": 0.9406373069213304, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9452053142586508, ""recall"": 0.9436810528353009, ""f1-score"": 0.9439750214577615, ""support"": 5167}}",0.9406373069213304,0.9457676494303803,0.3584329040022567,0.35828319330175873
0,19660,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",22.04116672798409,1.672341796875,358,0.0125,4,5170,"{""artifact"": {""precision"": 0.9718446601941747, ""recall"": 0.9268518518518518, ""f1-score"": 0.9488151658767772, ""support"": 3240}, ""text"": {""precision"": 0.8860576923076923, ""recall"": 0.9549222797927461, ""f1-score"": 0.9192019950124689, ""support"": 1930}, ""accuracy"": 0.937330754352031, ""macro avg"": {""precision"": 0.9289511762509335, ""recall"": 0.940887065822299, ""f1-score"": 0.934008580444623, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9398197379464163, ""recall"": 0.937330754352031, ""f1-score"": 0.9377603458055751, ""support"": 5170}}",0.934008580444623,0.940887065822299,0.3604723830067087,0.3604244524001842,5167,"{""artifact"": {""precision"": 0.9708360337005832, ""recall"": 0.9289922480620155, ""f1-score"": 0.9494533354460465, ""support"": 3225}, ""text"": {""precision"": 0.8899567515617491, ""recall"": 0.9536560247167868, ""f1-score"": 0.920705940840169, ""support"": 1942}, ""accuracy"": 0.9382620476098317, ""macro avg"": {""precision"": 0.9303963926311662, ""recall"": 0.9413241363894012, ""f1-score"": 0.9350796381431077, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9404378208278106, ""recall"": 0.9382620476098317, ""f1-score"": 0.9386487214873444, ""support"": 5167}}",0.9350796381431077,0.9413241363894013,0.3602399470109958,0.35962339730176607
0,19660,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",4.5745979769853875,1.703412109375,350,0.0125,5,5170,"{""artifact"": {""precision"": 0.9740558292282431, ""recall"": 0.9154320987654321, ""f1-score"": 0.9438345266507558, ""support"": 3240}, ""text"": {""precision"": 0.8710588235294118, ""recall"": 0.9590673575129534, ""f1-score"": 0.9129469790382244, ""support"": 1930}, ""accuracy"": 0.9317214700193424, ""macro avg"": {""precision"": 0.9225573263788274, ""recall"": 0.9372497281391927, ""f1-score"": 0.9283907528444901, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9356062700408652, ""recall"": 0.9317214700193424, ""f1-score"": 0.9323039721261551, ""support"": 5170}}",0.9283907528444901,0.9372497281391927,0.3575903990131337,0.3597925141977612,5167,"{""artifact"": {""precision"": 0.9736928641894114, ""recall"": 0.9181395348837209, ""f1-score"": 0.945100542610916, ""support"": 3225}, ""text"": {""precision"": 0.8758231420507996, ""recall"": 0.9588053553038105, ""f1-score"": 0.9154375614552606, ""support"": 1942}, ""accuracy"": 0.9334236500870912, ""macro avg"": {""precision"": 0.9247580031201055, ""recall"": 0.9384724450937657, ""f1-score"": 0.9302690520330883, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9369088501787313, ""recall"": 0.9334236500870912, ""f1-score"": 0.9339518084510006, ""support"": 5167}}",0.9302690520330883,0.9384724450937657,0.35996415102272294,0.35975893040013035
0,19660,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",4.822886292007752,1.709818359375,982,0.0125,6,5170,"{""artifact"": {""precision"": 0.9732201175702155, ""recall"": 0.9197530864197531, ""f1-score"": 0.9457315138051412, ""support"": 3240}, ""text"": {""precision"": 0.8766603415559773, ""recall"": 0.9575129533678757, ""f1-score"": 0.9153046062407133, ""support"": 1930}, ""accuracy"": 0.9338491295938104, ""macro avg"": {""precision"": 0.9249402295630964, ""recall"": 0.9386330198938144, ""f1-score"": 0.9305180600229273, ""support"": 5170}, ""weighted avg"": {""precision"": 0.937173624783469, ""recall"": 0.9338491295938104, ""f1-score"": 0.9343729196853452, ""support"": 5170}}",0.9305180600229273,0.9386330198938143,0.3610430310072843,0.3581231725023827,5167,"{""artifact"": {""precision"": 0.97351209941138, ""recall"": 0.9231007751937984, ""f1-score"": 0.947636479388827, ""support"": 3225}, ""text"": {""precision"": 0.8824087245139877, ""recall"": 0.9582904222451082, ""f1-score"": 0.918785485065416, ""support"": 1942}, ""accuracy"": 0.9363266886007354, ""macro avg"": {""precision"": 0.9279604119626839, ""recall"": 0.9406955987194533, ""f1-score"": 0.9332109822271215, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9392711948147598, ""recall"": 0.9363266886007354, ""f1-score"": 0.9367929278161418, ""support"": 5167}}",0.9332109822271215,0.9406955987194533,0.3582346760085784,0.3593760282004951
0,19660,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",4.627187293983297,1.640037109375,907,0.0125,7,5170,"{""artifact"": {""precision"": 0.9750492449113591, ""recall"": 0.9166666666666666, ""f1-score"": 0.944957047406936, ""support"": 3240}, ""text"": {""precision"": 0.8728813559322034, ""recall"": 0.960621761658031, ""f1-score"": 0.9146521953626049, ""support"": 1930}, ""accuracy"": 0.9330754352030948, ""macro avg"": {""precision"": 0.9239653004217813, ""recall"": 0.9386442141623488, ""f1-score"": 0.9298046213847704, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9369092012498947, ""recall"": 0.9330754352030948, ""f1-score"": 0.9336440175335203, ""support"": 5170}}",0.9298046213847704,0.9386442141623488,0.3611592590168584,0.36032580790051727,5167,"{""artifact"": {""precision"": 0.9714003944773175, ""recall"": 0.9162790697674419, ""f1-score"": 0.9430349449497366, ""support"": 3225}, ""text"": {""precision"": 0.8729411764705882, ""recall"": 0.955200823892894, ""f1-score"": 0.9122203098106713, ""support"": 1942}, ""accuracy"": 0.9309076833752661, ""macro avg"": {""precision"": 0.9221707854739529, ""recall"": 0.9357399468301679, ""f1-score"": 0.927627627380204, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9343948203784075, ""recall"": 0.9309076833752661, ""f1-score"": 0.9314533654180809, ""support"": 5167}}",0.927627627380204,0.935739946830168,0.359704196016537,0.36327775539830326
0,19660,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",4.353547825012356,1.679208984375,454,0.0125,8,5170,"{""artifact"": {""precision"": 0.974451359318703, ""recall"": 0.9182098765432098, ""f1-score"": 0.9454949944382648, ""support"": 3240}, ""text"": {""precision"": 0.8748228625413321, ""recall"": 0.9595854922279793, ""f1-score"": 0.9152458611317025, ""support"": 1930}, ""accuracy"": 0.9336557059961316, ""macro avg"": {""precision"": 0.9246371109300175, ""recall"": 0.9388976843855945, ""f1-score"": 0.9303704277849836, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9372592899221215, ""recall"": 0.9336557059961316, ""f1-score"": 0.9342027647899735, ""support"": 5170}}",0.9303704277849836,0.9388976843855946,0.35924254200654104,0.36158661780063994,5167,"{""artifact"": {""precision"": 0.974417841915382, ""recall"": 0.9212403100775194, ""f1-score"": 0.9470832005100414, ""support"": 3225}, ""text"": {""precision"": 0.8800755429650614, ""recall"": 0.9598352214212152, ""f1-score"": 0.9182266009852217, ""support"": 1942}, ""accuracy"": 0.9357460808980066, ""macro avg"": {""precision"": 0.9272466924402217, ""recall"": 0.9405377657493673, ""f1-score"": 0.9326549007476315, ""support"": 5167}, ""weighted avg"": {""precision"": 0.938959598338544, ""recall"": 0.9357460808980066, ""f1-score"": 0.9362375422407943, ""support"": 5167}}",0.9326549007476315,0.9405377657493673,0.35424690297804773,0.3591356992023066
0,19660,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",4.482339712994872,1.665748046875,319,0.0125,9,5170,"{""artifact"": {""precision"": 0.9745513866231648, ""recall"": 0.9219135802469136, ""f1-score"": 0.9475019825535289, ""support"": 3240}, ""text"": {""precision"": 0.8798099762470308, ""recall"": 0.9595854922279793, ""f1-score"": 0.9179677819083023, ""support"": 1930}, ""accuracy"": 0.9359767891682785, ""macro avg"": {""precision"": 0.9271806814350978, ""recall"": 0.9407495362374465, ""f1-score"": 0.9327348822309156, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9391837034460007, ""recall"": 0.9359767891682785, ""f1-score"": 0.9364766426608234, ""support"": 5170}}",0.9327348822309156,0.9407495362374465,0.3581346189894248,0.3590479982987745,5167,"{""artifact"": {""precision"": 0.9748448219536099, ""recall"": 0.9252713178294574, ""f1-score"": 0.9494113903913458, ""support"": 3225}, ""text"": {""precision"": 0.8855650522317189, ""recall"": 0.9603501544799176, ""f1-score"": 0.9214426877470355, ""support"": 1942}, ""accuracy"": 0.9384555835107412, ""macro avg"": {""precision"": 0.9302049370926644, ""recall"": 0.9428107361546875, ""f1-score"": 0.9354270390691907, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9412893133799863, ""recall"": 0.9384555835107412, ""f1-score"": 0.9388994452519513, ""support"": 5167}}",0.9354270390691907,0.9428107361546875,0.35808222100604326,0.36094130160054194
