,train_samples,params,perf_train_runtime,model_size,seed,train_frac,index,man_validation_samples_cpp_researcher_1,classification_report_cpp_researcher_1,macro_f1_cpp_researcher_1,roc-auc_cpp_researcher_1,perf_predict_runtime_cpp_researcher_1,timeit_runtime_cpp_researcher_1,man_validation_samples_cpp_researcher_2,classification_report_cpp_researcher_2,macro_f1_cpp_researcher_2,roc-auc_cpp_researcher_2,perf_predict_runtime_cpp_researcher_2,timeit_runtime_cpp_researcher_2
0,2756,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",0.9102033239323646,1.5217724609375,124,0.0125,0,5416,"{""artifact"": {""precision"": 0.9622202848009299, ""recall"": 0.8929341963322546, ""f1-score"": 0.9262833962791999, ""support"": 3708}, ""text"": {""precision"": 0.7989873417721519, ""recall"": 0.9238875878220141, ""f1-score"": 0.8569101276133586, ""support"": 1708}, ""accuracy"": 0.9026957163958641, ""macro avg"": {""precision"": 0.8806038132865409, ""recall"": 0.9084108920771343, ""f1-score"": 0.8915967619462792, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9107428352637895, ""recall"": 0.9026957163958641, ""f1-score"": 0.9044057111091008, ""support"": 5416}}",0.8915967619462792,0.9084108920771343,0.8125554218422621,0.8063701760955155,5418,"{""artifact"": {""precision"": 0.9618166039919005, ""recall"": 0.8940575423500942, ""f1-score"": 0.9267001114827202, ""support"": 3719}, ""text"": {""precision"": 0.7990821009688934, ""recall"": 0.922307239552678, ""f1-score"": 0.8562841530054645, ""support"": 1699}, ""accuracy"": 0.9029162052417866, ""macro avg"": {""precision"": 0.8804493524803969, ""recall"": 0.9081823909513861, ""f1-score"": 0.8914921322440923, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9107856108881558, ""recall"": 0.9029162052417866, ""f1-score"": 0.9046187690218753, ""support"": 5418}}",0.8914921322440923,0.9081823909513862,0.8143638698384166,0.8171989951981231
0,2756,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",0.7745182919315994,1.5412861328125,859,0.0125,1,5416,"{""artifact"": {""precision"": 0.9677328049816021, ""recall"": 0.9220604099244876, ""f1-score"": 0.9443447037701975, ""support"": 3708}, ""text"": {""precision"": 0.8465215082315454, ""recall"": 0.9332552693208431, ""f1-score"": 0.887774993038151, ""support"": 1708}, ""accuracy"": 0.9255908419497785, ""macro avg"": {""precision"": 0.9071271566065737, ""recall"": 0.9276578396226653, ""f1-score"": 0.9160598484041742, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9295073812650038, ""recall"": 0.9255908419497785, ""f1-score"": 0.9265047728377132, ""support"": 5416}}",0.9160598484041742,0.9276578396226653,0.8054505179170519,0.8191826794994995,5418,"{""artifact"": {""precision"": 0.9641546711826136, ""recall"": 0.9185264856144125, ""f1-score"": 0.9407876618011567, ""support"": 3719}, ""text"": {""precision"": 0.8384, ""recall"": 0.9252501471453797, ""f1-score"": 0.8796866256295468, ""support"": 1699}, ""accuracy"": 0.9206349206349206, ""macro avg"": {""precision"": 0.9012773355913068, ""recall"": 0.9218883163798961, ""f1-score"": 0.9102371437153518, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9247199745529975, ""recall"": 0.9206349206349206, ""f1-score"": 0.9216273331825585, ""support"": 5418}}",0.9102371437153518,0.9218883163798961,0.8090607370249927,0.8151670115999877
0,2756,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",0.7908562440425158,1.52701953125,363,0.0125,2,5416,"{""artifact"": {""precision"": 0.9666572478101159, ""recall"": 0.9225997842502697, ""f1-score"": 0.944114806126673, ""support"": 3708}, ""text"": {""precision"": 0.8470964304741609, ""recall"": 0.9309133489461359, ""f1-score"": 0.887029288702929, ""support"": 1708}, ""accuracy"": 0.9252215657311669, ""macro avg"": {""precision"": 0.9068768391421385, ""recall"": 0.9267565665982027, ""f1-score"": 0.915572047414801, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9289523224021005, ""recall"": 0.9252215657311669, ""f1-score"": 0.9261122094206622, ""support"": 5416}}",0.915572047414801,0.9267565665982028,0.8083334481343627,0.8062488803872838,5418,"{""artifact"": {""precision"": 0.9656531531531531, ""recall"": 0.9222909384243076, ""f1-score"": 0.9434740750928347, ""support"": 3719}, ""text"": {""precision"": 0.845123258306538, ""recall"": 0.9281930547380812, ""f1-score"": 0.8847124824684433, ""support"": 1699}, ""accuracy"": 0.9241417497231451, ""macro avg"": {""precision"": 0.9053882057298456, ""recall"": 0.9252419965811944, ""f1-score"": 0.914093278780639, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9278568646067523, ""recall"": 0.9241417497231451, ""f1-score"": 0.9250473593547688, ""support"": 5418}}",0.914093278780639,0.9252419965811945,0.8146432959474623,0.8107676887884736
0,2756,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",0.7770456590224057,1.5868740234375,546,0.0125,3,5416,"{""artifact"": {""precision"": 0.9636673289809821, ""recall"": 0.9155879180151025, ""f1-score"": 0.9390125847047435, ""support"": 3708}, ""text"": {""precision"": 0.8346539883782356, ""recall"": 0.9250585480093677, ""f1-score"": 0.8775340183282422, ""support"": 1708}, ""accuracy"": 0.9185745937961596, ""macro avg"": {""precision"": 0.8991606586796088, ""recall"": 0.9203232330122351, ""f1-score"": 0.9082733015164928, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9229814379637201, ""recall"": 0.9185745937961596, ""f1-score"": 0.9196245877750786, ""support"": 5416}}",0.9082733015164928,0.9203232330122352,0.8072720509953797,0.8105449796887114,5418,"{""artifact"": {""precision"": 0.9590279740039559, ""recall"": 0.9126109169131487, ""f1-score"": 0.9352438688343897, ""support"": 3719}, ""text"": {""precision"": 0.8270356572645023, ""recall"": 0.914655679811654, ""f1-score"": 0.8686416992733371, ""support"": 1699}, ""accuracy"": 0.9132521225544481, ""macro avg"": {""precision"": 0.8930318156342292, ""recall"": 0.9136332983624014, ""f1-score"": 0.9019427840538634, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9176372493564233, ""recall"": 0.9132521225544481, ""f1-score"": 0.9143584708860272, ""support"": 5418}}",0.9019427840538634,0.9136332983624013,0.8210757919587195,0.8158430560026317
0,2756,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",0.7558668130077422,1.5890517578125,965,0.0125,4,5416,"{""artifact"": {""precision"": 0.9667716986536808, ""recall"": 0.9101941747572816, ""f1-score"": 0.9376302264203361, ""support"": 3708}, ""text"": {""precision"": 0.827012987012987, ""recall"": 0.9320843091334895, ""f1-score"": 0.8764106798788881, ""support"": 1708}, ""accuracy"": 0.9170974889217134, ""macro avg"": {""precision"": 0.896892342833334, ""recall"": 0.9211392419453855, ""f1-score"": 0.9070204531496121, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9226971271096807, ""recall"": 0.9170974889217134, ""f1-score"": 0.918323914475581, ""support"": 5416}}",0.9070204531496121,0.9211392419453857,0.8150596569757909,0.8205416647018865,5418,"{""artifact"": {""precision"": 0.9632896983494593, ""recall"": 0.9101909115353589, ""f1-score"": 0.9359878335407161, ""support"": 3719}, ""text"": {""precision"": 0.8245798319327731, ""recall"": 0.924072984108299, ""f1-score"": 0.871495975575909, ""support"": 1699}, ""accuracy"": 0.9145441122185308, ""macro avg"": {""precision"": 0.8939347651411162, ""recall"": 0.9171319478218289, ""f1-score"": 0.9037419045583126, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9197924552630897, ""recall"": 0.9145441122185308, ""f1-score"": 0.9157641962793268, ""support"": 5418}}",0.9037419045583126,0.9171319478218292,0.8179917589295655,0.8211746835848317
0,2756,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",0.7606125790625811,1.571470703125,190,0.0125,5,5416,"{""artifact"": {""precision"": 0.9611080022383883, ""recall"": 0.9263754045307443, ""f1-score"": 0.943422136775611, ""support"": 3708}, ""text"": {""precision"": 0.8517915309446255, ""recall"": 0.9186182669789227, ""f1-score"": 0.8839436619718309, ""support"": 1708}, ""accuracy"": 0.9239290989660266, ""macro avg"": {""precision"": 0.9064497665915069, ""recall"": 0.9224968357548335, ""f1-score"": 0.9136828993737209, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9266337531671647, ""recall"": 0.9239290989660266, ""f1-score"": 0.9246648925058812, ""support"": 5416}}",0.9136828993737209,0.9224968357548334,0.8196769908536226,0.8221966392127797,5418,"{""artifact"": {""precision"": 0.9589958158995816, ""recall"": 0.9244420543156763, ""f1-score"": 0.9414019715224534, ""support"": 3719}, ""text"": {""precision"": 0.8466993998908893, ""recall"": 0.9134785167745733, ""f1-score"": 0.8788221970554926, ""support"": 1699}, ""accuracy"": 0.9210040605389442, ""macro avg"": {""precision"": 0.9028476078952354, ""recall"": 0.9189602855451248, ""f1-score"": 0.910112084288973, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9237814174501965, ""recall"": 0.9210040605389442, ""f1-score"": 0.9217779337189528, ""support"": 5418}}",0.910112084288973,0.9189602855451248,0.8199982750229537,0.8230520974146203
0,2756,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",0.7639187870081514,1.4982216796875,531,0.0125,6,5416,"{""artifact"": {""precision"": 0.9715680643308443, ""recall"": 0.9123516720604099, ""f1-score"": 0.9410292072322669, ""support"": 3708}, ""text"": {""precision"": 0.8319544984488108, ""recall"": 0.9420374707259953, ""f1-score"": 0.8835804503020318, ""support"": 1708}, ""accuracy"": 0.9217134416543574, ""macro avg"": {""precision"": 0.9017612813898275, ""recall"": 0.9271945713932026, ""f1-score"": 0.9123048287671494, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9275392662277215, ""recall"": 0.9217134416543574, ""f1-score"": 0.9229120586287142, ""support"": 5416}}",0.9123048287671494,0.9271945713932026,0.8060695780441165,0.8112404898973182,5418,"{""artifact"": {""precision"": 0.9687679083094556, ""recall"": 0.9091153535896747, ""f1-score"": 0.9379941739492302, ""support"": 3719}, ""text"": {""precision"": 0.8246887966804979, ""recall"": 0.9358446144791054, ""f1-score"": 0.8767576509511992, ""support"": 1699}, ""accuracy"": 0.9174972314507198, ""macro avg"": {""precision"": 0.8967283524949767, ""recall"": 0.92247998403439, ""f1-score"": 0.9073759124502148, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9235869539614308, ""recall"": 0.9174972314507198, ""f1-score"": 0.9187913587824427, ""support"": 5418}}",0.9073759124502148,0.9224799840343899,0.8099090810865164,0.8172224483918399
0,2756,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",0.759093371918425,1.5714814453125,937,0.0125,7,5416,"{""artifact"": {""precision"": 0.9710430137756536, ""recall"": 0.9314994606256742, ""f1-score"": 0.950860289057123, ""support"": 3708}, ""text"": {""precision"": 0.8633674018289403, ""recall"": 0.939695550351288, ""f1-score"": 0.8999158957106812, ""support"": 1708}, ""accuracy"": 0.9340841949778435, ""macro avg"": {""precision"": 0.917205207802297, ""recall"": 0.9355975054884811, ""f1-score"": 0.9253880923839022, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9370862292104788, ""recall"": 0.9340841949778435, ""f1-score"": 0.9347943688511181, ""support"": 5416}}",0.9253880923839022,0.9355975054884812,0.8236794120166451,0.8166649262188003,5418,"{""artifact"": {""precision"": 0.9669467787114846, ""recall"": 0.9282065071255714, ""f1-score"": 0.9471806832212925, ""support"": 3719}, ""text"": {""precision"": 0.8555194805194806, ""recall"": 0.9305473808122425, ""f1-score"": 0.8914575697772765, ""support"": 1699}, ""accuracy"": 0.9289405684754521, ""macro avg"": {""precision"": 0.9112331296154825, ""recall"": 0.929376943968907, ""f1-score"": 0.9193191264992845, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9320049220063877, ""recall"": 0.9289405684754521, ""f1-score"": 0.9297067869973384, ""support"": 5418}}",0.9193191264992845,0.9293769439689069,0.8171301321126521,0.8157364873914048
0,2756,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",0.7394909560680389,1.496529296875,284,0.0125,8,5416,"{""artifact"": {""precision"": 0.9693409742120344, ""recall"": 0.9123516720604099, ""f1-score"": 0.9399833287024174, ""support"": 3708}, ""text"": {""precision"": 0.8312564901349948, ""recall"": 0.9373536299765808, ""f1-score"": 0.8811227297743534, ""support"": 1708}, ""accuracy"": 0.9202363367799113, ""macro avg"": {""precision"": 0.9002987321735145, ""recall"": 0.9248526510184953, ""f1-score"": 0.9105530292383854, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9257943902379606, ""recall"": 0.9202363367799113, ""f1-score"": 0.9214209389370678, ""support"": 5416}}",0.9105530292383854,0.9248526510184953,0.8201117990538478,0.8199808923993259,5418,"{""artifact"": {""precision"": 0.9671428571428572, ""recall"": 0.9101909115353589, ""f1-score"": 0.9378030198088378, ""support"": 3719}, ""text"": {""precision"": 0.8258602711157456, ""recall"": 0.9323131253678635, ""f1-score"": 0.8758639756704452, ""support"": 1699}, ""accuracy"": 0.9171280915466962, ""macro avg"": {""precision"": 0.8965015641293014, ""recall"": 0.9212520184516112, ""f1-score"": 0.9068334977396415, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9228388494536615, ""recall"": 0.9171280915466962, ""f1-score"": 0.918379905007965, ""support"": 5418}}",0.9068334977396415,0.9212520184516112,0.8154796459712088,0.8188821692951024
0,2756,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",0.8029464858118445,1.57507421875,145,0.0125,9,5416,"{""artifact"": {""precision"": 0.9684361549497847, ""recall"": 0.9101941747572816, ""f1-score"": 0.938412345335743, ""support"": 3708}, ""text"": {""precision"": 0.827550491973071, ""recall"": 0.9355971896955504, ""f1-score"": 0.8782632591371257, ""support"": 1708}, ""accuracy"": 0.918205317577548, ""macro avg"": {""precision"": 0.8979933234614279, ""recall"": 0.922895682226416, ""f1-score"": 0.9083378022364343, ""support"": 5416}, ""weighted avg"": {""precision"": 0.924006185901737, ""recall"": 0.918205317577548, ""f1-score"": 0.9194436157886162, ""support"": 5416}}",0.9083378022364343,0.922895682226416,0.8137101391330361,0.8083666825899855,5418,"{""artifact"": {""precision"": 0.9684904038957319, ""recall"": 0.9091153535896747, ""f1-score"": 0.937864077669903, ""support"": 3719}, ""text"": {""precision"": 0.8245978204462896, ""recall"": 0.935256032960565, ""f1-score"": 0.8764478764478764, ""support"": 1699}, ""accuracy"": 0.917312661498708, ""macro avg"": {""precision"": 0.8965441121710107, ""recall"": 0.9221856932751198, ""f1-score"": 0.9071559770588897, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9233679418653512, ""recall"": 0.917312661498708, ""f1-score"": 0.9186049182243099, ""support"": 5418}}",0.9071559770588897,0.9221856932751199,0.8191301389597356,0.8120985109126195
