,train_samples,params,perf_train_runtime,model_size,seed,train_frac,index,man_validation_samples_java_researcher_1,classification_report_java_researcher_1,macro_f1_java_researcher_1,roc-auc_java_researcher_1,perf_predict_runtime_java_researcher_1,timeit_runtime_java_researcher_1,man_validation_samples_java_researcher_2,classification_report_java_researcher_2,macro_f1_java_researcher_2,roc-auc_java_researcher_2,perf_predict_runtime_java_researcher_2,timeit_runtime_java_researcher_2
0,11490,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",4.100681018084288,4.573099609375,611,0.0125,0,6575,"{""artifact"": {""precision"": 0.9873563218390805, ""recall"": 0.9161689419795221, ""f1-score"": 0.9504315113963266, ""support"": 4688}, ""text"": {""precision"": 0.8233707865168539, ""recall"": 0.9708532061473238, ""f1-score"": 0.8910505836575876, ""support"": 1887}, ""accuracy"": 0.9318631178707224, ""macro avg"": {""precision"": 0.9053635541779672, ""recall"": 0.9435110740634229, ""f1-score"": 0.9207410475269571, ""support"": 6575}, ""weighted avg"": {""precision"": 0.9402930967207472, ""recall"": 0.9318631178707224, ""f1-score"": 0.9333894109183039, ""support"": 6575}}",0.9207410475269571,0.9435110740634229,0.8339452720247209,0.8239878722000867,6578,"{""artifact"": {""precision"": 0.9857569492304158, ""recall"": 0.9184503424657534, ""f1-score"": 0.9509141274238226, ""support"": 4672}, ""text"": {""precision"": 0.8287640449438203, ""recall"": 0.9674711437565582, ""f1-score"": 0.8927620430888404, ""support"": 1906}, ""accuracy"": 0.9326543022195196, ""macro avg"": {""precision"": 0.9072604970871181, ""recall"": 0.9429607431111557, ""f1-score"": 0.9218380852563315, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9402676704875986, ""recall"": 0.9326543022195196, ""f1-score"": 0.9340643443982105, ""support"": 6578}}",0.9218380852563315,0.9429607431111559,0.8251109339762479,0.841476870700717
0,11490,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",3.013402637792751,4.5773115234375,848,0.0125,1,6575,"{""artifact"": {""precision"": 0.9851428571428571, ""recall"": 0.9193686006825939, ""f1-score"": 0.9511199382103056, ""support"": 4688}, ""text"": {""precision"": 0.8281818181818181, ""recall"": 0.9655537890832009, ""f1-score"": 0.8916075360900416, ""support"": 1887}, ""accuracy"": 0.9326235741444867, ""macro avg"": {""precision"": 0.9066623376623376, ""recall"": 0.9424611948828974, ""f1-score"": 0.9213637371501736, ""support"": 6575}, ""weighted avg"": {""precision"": 0.940095635771073, ""recall"": 0.9326235741444867, ""f1-score"": 0.9340401050846877, ""support"": 6575}}",0.9213637371501736,0.9424611948828974,0.8743723630905151,0.822468844987452,6578,"{""artifact"": {""precision"": 0.9835503769705277, ""recall"": 0.9214469178082192, ""f1-score"": 0.9514863520831031, ""support"": 4672}, ""text"": {""precision"": 0.8332576101771921, ""recall"": 0.9622245540398741, ""f1-score"": 0.8931093255417579, ""support"": 1906}, ""accuracy"": 0.9332623897841289, ""macro avg"": {""precision"": 0.9084039935738599, ""recall"": 0.9418357359240466, ""f1-score"": 0.9222978388124305, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9400024880212882, ""recall"": 0.9332623897841289, ""f1-score"": 0.9345713912153919, ""support"": 6578}}",0.9222978388124305,0.9418357359240466,0.8108117289375514,0.8245207536034286
0,11490,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",2.7859445670619607,4.53701953125,870,0.0125,2,6575,"{""artifact"": {""precision"": 0.9878635218685596, ""recall"": 0.9202218430034129, ""f1-score"": 0.9528437327443402, ""support"": 4688}, ""text"": {""precision"": 0.8306159420289855, ""recall"": 0.9719130895601484, ""f1-score"": 0.8957264957264958, ""support"": 1887}, ""accuracy"": 0.9350570342205323, ""macro avg"": {""precision"": 0.9092397319487726, ""recall"": 0.9460674662817807, ""f1-score"": 0.924285114235418, ""support"": 6575}, ""weighted avg"": {""precision"": 0.942734064354145, ""recall"": 0.9350570342205323, ""f1-score"": 0.9364513028960251, ""support"": 6575}}",0.924285114235418,0.9460674662817807,0.8075864119455218,0.8068931479007005,6578,"{""artifact"": {""precision"": 0.9867246509498742, ""recall"": 0.9227311643835616, ""f1-score"": 0.9536555690742174, ""support"": 4672}, ""text"": {""precision"": 0.8365776369397918, ""recall"": 0.9695697796432319, ""f1-score"": 0.8981773997569866, ""support"": 1906}, ""accuracy"": 0.9363028276071754, ""macro avg"": {""precision"": 0.9116511439448329, ""recall"": 0.9461504720133967, ""f1-score"": 0.925916484415602, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9432189944124437, ""recall"": 0.9363028276071754, ""f1-score"": 0.9375805628840926, ""support"": 6578}}",0.925916484415602,0.9461504720133967,0.8034288408234715,0.8214258267078549
0,11490,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",2.958653633017093,4.5985810546875,833,0.0125,3,6575,"{""artifact"": {""precision"": 0.9828296703296703, ""recall"": 0.9157423208191127, ""f1-score"": 0.9481007067137809, ""support"": 4688}, ""text"": {""precision"": 0.8210240144993204, ""recall"": 0.9602543720190779, ""f1-score"": 0.8851978505129459, ""support"": 1887}, ""accuracy"": 0.9285171102661597, ""macro avg"": {""precision"": 0.9019268424144953, ""recall"": 0.9379983464190953, ""f1-score"": 0.9166492786133633, ""support"": 6575}, ""weighted avg"": {""precision"": 0.9363920623369903, ""recall"": 0.9285171102661597, ""f1-score"": 0.9300478261584993, ""support"": 6575}}",0.9166492786133633,0.9379983464190954,0.8048619939945638,0.8282583141000941,6578,"{""artifact"": {""precision"": 0.9823798627002288, ""recall"": 0.9188784246575342, ""f1-score"": 0.9495686794956868, ""support"": 4672}, ""text"": {""precision"": 0.8283514492753623, ""recall"": 0.959601259181532, ""f1-score"": 0.8891589693728732, ""support"": 1906}, ""accuracy"": 0.9306780176345394, ""macro avg"": {""precision"": 0.9053656559877956, ""recall"": 0.9392398419195331, ""f1-score"": 0.91936382443428, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9377495562259516, ""recall"": 0.9306780176345394, ""f1-score"": 0.9320647409894414, ""support"": 6578}}",0.91936382443428,0.9392398419195331,0.8020572811365128,0.815952607197687
0,11490,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",3.0832828402053565,4.6111318359375,294,0.0125,4,6575,"{""artifact"": {""precision"": 0.9871086556169429, ""recall"": 0.9146757679180887, ""f1-score"": 0.9495128432240921, ""support"": 4688}, ""text"": {""precision"": 0.8207082025997311, ""recall"": 0.9703232644409115, ""f1-score"": 0.8892666342884896, ""support"": 1887}, ""accuracy"": 0.9306463878326996, ""macro avg"": {""precision"": 0.903908429108337, ""recall"": 0.9424995161795001, ""f1-score"": 0.9193897387562908, ""support"": 6575}, ""weighted avg"": {""precision"": 0.9393523583023455, ""recall"": 0.9306463878326996, ""f1-score"": 0.9322224103326119, ""support"": 6575}}",0.9193897387562908,0.9424995161795001,0.8359218880068511,0.820063287904486,6578,"{""artifact"": {""precision"": 0.9850402761795167, ""recall"": 0.916095890410959, ""f1-score"": 0.9493179549739381, ""support"": 4672}, ""text"": {""precision"": 0.8244514106583072, ""recall"": 0.965897166841553, ""f1-score"": 0.8895868567286784, ""support"": 1906}, ""accuracy"": 0.930525995743387, ""macro avg"": {""precision"": 0.904745843418912, ""recall"": 0.940996528626256, ""f1-score"": 0.9194524058513083, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9385090542756819, ""recall"": 0.930525995743387, ""f1-score"": 0.9320106467867285, ""support"": 6578}}",0.9194524058513083,0.9409965286262559,0.8371722919400781,0.8122142001986503
0,11490,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",3.084865574957803,4.6111318359375,294,0.0125,5,6575,"{""artifact"": {""precision"": 0.9871086556169429, ""recall"": 0.9146757679180887, ""f1-score"": 0.9495128432240921, ""support"": 4688}, ""text"": {""precision"": 0.8207082025997311, ""recall"": 0.9703232644409115, ""f1-score"": 0.8892666342884896, ""support"": 1887}, ""accuracy"": 0.9306463878326996, ""macro avg"": {""precision"": 0.903908429108337, ""recall"": 0.9424995161795001, ""f1-score"": 0.9193897387562908, ""support"": 6575}, ""weighted avg"": {""precision"": 0.9393523583023455, ""recall"": 0.9306463878326996, ""f1-score"": 0.9322224103326119, ""support"": 6575}}",0.9193897387562908,0.9424995161795001,0.8360925212036818,0.8127316439058632,6578,"{""artifact"": {""precision"": 0.9850402761795167, ""recall"": 0.916095890410959, ""f1-score"": 0.9493179549739381, ""support"": 4672}, ""text"": {""precision"": 0.8244514106583072, ""recall"": 0.965897166841553, ""f1-score"": 0.8895868567286784, ""support"": 1906}, ""accuracy"": 0.930525995743387, ""macro avg"": {""precision"": 0.904745843418912, ""recall"": 0.940996528626256, ""f1-score"": 0.9194524058513083, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9385090542756819, ""recall"": 0.930525995743387, ""f1-score"": 0.9320106467867285, ""support"": 6578}}",0.9194524058513083,0.9409965286262559,0.812574494862929,0.8121325126150623
0,11490,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",2.9357852400280535,4.5941923828125,445,0.0125,6,6575,"{""artifact"": {""precision"": 0.984284723827132, ""recall"": 0.9084897610921502, ""f1-score"": 0.9448696616749861, ""support"": 4688}, ""text"": {""precision"": 0.8091637010676157, ""recall"": 0.963963963963964, ""f1-score"": 0.8798065296251512, ""support"": 1887}, ""accuracy"": 0.9244106463878327, ""macro avg"": {""precision"": 0.8967242124473738, ""recall"": 0.9362268625280571, ""f1-score"": 0.9123380956500686, ""support"": 6575}, ""weighted avg"": {""precision"": 0.934025656154553, ""recall"": 0.9244106463878327, ""f1-score"": 0.9261967901650182, ""support"": 6575}}",0.9123380956500686,0.936226862528057,0.8189348080195487,0.8222631511045619,6578,"{""artifact"": {""precision"": 0.9824399260628466, ""recall"": 0.9101027397260274, ""f1-score"": 0.9448888888888889, ""support"": 4672}, ""text"": {""precision"": 0.8133333333333334, ""recall"": 0.9601259181532005, ""f1-score"": 0.8806544754571705, ""support"": 1906}, ""accuracy"": 0.9245971419884463, ""macro avg"": {""precision"": 0.89788662969809, ""recall"": 0.935114328939614, ""f1-score"": 0.9127716821730296, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9334406609758213, ""recall"": 0.9245971419884463, ""f1-score"": 0.9262767283536418, ""support"": 6578}}",0.9127716821730296,0.935114328939614,0.8134174630977213,0.81769989579916
0,11490,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",2.956177714979276,4.463328125,838,0.0125,7,6575,"{""artifact"": {""precision"": 0.9853109938030755, ""recall"": 0.9157423208191127, ""f1-score"": 0.9492537313432836, ""support"": 4688}, ""text"": {""precision"": 0.8219116321009918, ""recall"": 0.9660837307896132, ""f1-score"": 0.8881851400730816, ""support"": 1887}, ""accuracy"": 0.9301901140684411, ""macro avg"": {""precision"": 0.9036113129520337, ""recall"": 0.940913025804363, ""f1-score"": 0.9187194357081826, ""support"": 6575}, ""weighted avg"": {""precision"": 0.9384159982849263, ""recall"": 0.9301901140684411, ""f1-score"": 0.9317272778487025, ""support"": 6575}}",0.9187194357081826,0.9409130258043629,0.9117961621377617,0.8136907604988665,6578,"{""artifact"": {""precision"": 0.9825568051411522, ""recall"": 0.9163099315068494, ""f1-score"": 0.9482777716247646, ""support"": 4672}, ""text"": {""precision"": 0.8239531742458353, ""recall"": 0.9601259181532005, ""f1-score"": 0.8868427429125273, ""support"": 1906}, ""accuracy"": 0.9290057768318638, ""macro avg"": {""precision"": 0.9032549896934937, ""recall"": 0.9382179248300249, ""f1-score"": 0.9175602572686459, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9366008123642482, ""recall"": 0.9290057768318638, ""f1-score"": 0.9304767432383972, ""support"": 6578}}",0.9175602572686459,0.938217924830025,0.8163752269465476,0.8150321172084659
0,11490,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",2.8568516389932483,4.621451171875,398,0.0125,8,6575,"{""artifact"": {""precision"": 0.9852907377614342, ""recall"": 0.914462457337884, ""f1-score"": 0.9485562562230336, ""support"": 4688}, ""text"": {""precision"": 0.8196942446043165, ""recall"": 0.9660837307896132, ""f1-score"": 0.8868888348333739, ""support"": 1887}, ""accuracy"": 0.929277566539924, ""macro avg"": {""precision"": 0.9024924911828753, ""recall"": 0.9402730940637486, ""f1-score"": 0.9177225455282038, ""support"": 6575}, ""weighted avg"": {""precision"": 0.9377651738698022, ""recall"": 0.929277566539924, ""f1-score"": 0.9308579407610889, ""support"": 6575}}",0.9177225455282038,0.9402730940637485,0.815167480148375,0.8214799897978082,6578,"{""artifact"": {""precision"": 0.9846083161038365, ""recall"": 0.9173801369863014, ""f1-score"": 0.9498060941828256, ""support"": 4672}, ""text"": {""precision"": 0.8265168539325842, ""recall"": 0.9648478488982162, ""f1-score"": 0.8903413217138707, ""support"": 1906}, ""accuracy"": 0.9311340833079963, ""macro avg"": {""precision"": 0.9055625850182103, ""recall"": 0.9411139929422587, ""f1-score"": 0.9200737079483481, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9388007261223212, ""recall"": 0.9311340833079963, ""f1-score"": 0.9325759548812402, ""support"": 6578}}",0.9200737079483481,0.9411139929422588,0.8317694880533963,0.8408087903866545
0,11490,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",2.9047052210662514,4.5603603515625,763,0.0125,9,6575,"{""artifact"": {""precision"": 0.9861175381767701, ""recall"": 0.9091296928327645, ""f1-score"": 0.9460599334073252, ""support"": 4688}, ""text"": {""precision"": 0.810918774966711, ""recall"": 0.9682034976152624, ""f1-score"": 0.8826086956521738, ""support"": 1887}, ""accuracy"": 0.9260836501901141, ""macro avg"": {""precision"": 0.8985181565717406, ""recall"": 0.9386665952240134, ""f1-score"": 0.9143343145297496, ""support"": 6575}, ""weighted avg"": {""precision"": 0.9358361592904764, ""recall"": 0.9260836501901141, ""f1-score"": 0.927849669431056, ""support"": 6575}}",0.9143343145297496,0.9386665952240134,0.8161077229306102,0.825713171204552,6578,"{""artifact"": {""precision"": 0.9849745723532132, ""recall"": 0.912029109589041, ""f1-score"": 0.9470993554123138, ""support"": 4672}, ""text"": {""precision"": 0.8174955595026643, ""recall"": 0.965897166841553, ""f1-score"": 0.8855218855218856, ""support"": 1906}, ""accuracy"": 0.9276375798114929, ""macro avg"": {""precision"": 0.9012350659279387, ""recall"": 0.938963138215297, ""f1-score"": 0.9163106204670997, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9364469045980982, ""recall"": 0.9276375798114929, ""f1-score"": 0.9292570541640384, ""support"": 6578}}",0.9163106204670997,0.9389631382152971,0.8310933248139918,0.8230959885986522
