,train_samples,params,perf_train_runtime,model_size,seed,train_frac,index,man_validation_samples_javascript_researcher_1,classification_report_javascript_researcher_1,macro_f1_javascript_researcher_1,roc-auc_javascript_researcher_1,perf_predict_runtime_javascript_researcher_1,timeit_runtime_javascript_researcher_1,man_validation_samples_javascript_researcher_2,classification_report_javascript_researcher_2,macro_f1_javascript_researcher_2,roc-auc_javascript_researcher_2,perf_predict_runtime_javascript_researcher_2,timeit_runtime_javascript_researcher_2
0,6250,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",2.9035034680273384,2.7119990234375,703,6250,0,5170,"{""artifact"": {""precision"": 0.9661406969099277, ""recall"": 0.9070987654320988, ""f1-score"": 0.9356892709328241, ""support"": 3240}, ""text"": {""precision"": 0.8585526315789473, ""recall"": 0.9466321243523316, ""f1-score"": 0.9004435682602266, ""support"": 1930}, ""accuracy"": 0.9218568665377176, ""macro avg"": {""precision"": 0.9123466642444376, ""recall"": 0.9268654448922151, ""f1-score"": 0.9180664195965254, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9259772605291168, ""recall"": 0.9218568665377176, ""f1-score"": 0.9225317842484695, ""support"": 5170}}",0.9180664195965254,0.9268654448922152,0.47717111092060804,0.48631398130673914,5167,"{""artifact"": {""precision"": 0.9634628044766294, ""recall"": 0.9075968992248062, ""f1-score"": 0.9346958326680505, ""support"": 3225}, ""text"": {""precision"": 0.8600281822451855, ""recall"": 0.942842430484037, ""f1-score"": 0.8995332842053549, ""support"": 1942}, ""accuracy"": 0.920843816527966, ""macro avg"": {""precision"": 0.9117454933609075, ""recall"": 0.9252196648544216, ""f1-score"": 0.9171145584367026, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9245872410213432, ""recall"": 0.920843816527966, ""f1-score"": 0.9214801041767491, ""support"": 5167}}",0.9171145584367026,0.9252196648544216,0.4855104638263583,0.4903155427193269
0,6250,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",1.4913135450333357,2.6851640625,342,6250,1,5170,"{""artifact"": {""precision"": 0.9648950131233596, ""recall"": 0.907716049382716, ""f1-score"": 0.9354325699745547, ""support"": 3240}, ""text"": {""precision"": 0.8590951932139491, ""recall"": 0.944559585492228, ""f1-score"": 0.899802566633761, ""support"": 1930}, ""accuracy"": 0.9214700193423597, ""macro avg"": {""precision"": 0.9119951031686544, ""recall"": 0.9261378174374719, ""f1-score"": 0.9176175683041579, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9253991422480865, ""recall"": 0.9214700193423597, ""f1-score"": 0.9221316209517826, ""support"": 5170}}",0.9176175683041579,0.9261378174374721,0.49408494983799756,0.4932542197871953,5167,"{""artifact"": {""precision"": 0.9645320197044335, ""recall"": 0.9106976744186046, ""f1-score"": 0.9368421052631578, ""support"": 3225}, ""text"": {""precision"": 0.8642789820923656, ""recall"": 0.9443872296601442, ""f1-score"": 0.9025590551181102, ""support"": 1942}, ""accuracy"": 0.923359783239791, ""macro avg"": {""precision"": 0.9144055008983996, ""recall"": 0.9275424520393745, ""f1-score"": 0.9197005801906339, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9268522443913629, ""recall"": 0.923359783239791, ""f1-score"": 0.9239569333294086, ""support"": 5167}}",0.9197005801906339,0.9275424520393744,0.490542063023895,0.49382879079785197
0,6250,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",1.4836772941052914,2.6922119140625,250,6250,2,5170,"{""artifact"": {""precision"": 0.9728476821192052, ""recall"": 0.9067901234567901, ""f1-score"": 0.9386581469648562, ""support"": 3240}, ""text"": {""precision"": 0.8595348837209302, ""recall"": 0.9575129533678757, ""f1-score"": 0.9058823529411765, ""support"": 1930}, ""accuracy"": 0.9257253384912959, ""macro avg"": {""precision"": 0.9161912829200678, ""recall"": 0.9321515384123329, ""f1-score"": 0.9222702499530163, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9305471596997331, ""recall"": 0.9257253384912959, ""f1-score"": 0.9264226958109487, ""support"": 5170}}",0.9222702499530163,0.9321515384123329,0.4814788610674441,0.49982517110183833,5167,"{""artifact"": {""precision"": 0.9731432360742706, ""recall"": 0.9100775193798449, ""f1-score"": 0.9405543983336004, ""support"": 3225}, ""text"": {""precision"": 0.8651789865178987, ""recall"": 0.9582904222451082, ""f1-score"": 0.9093574395309065, ""support"": 1942}, ""accuracy"": 0.9281981807625315, ""macro avg"": {""precision"": 0.9191611112960847, ""recall"": 0.9341839708124766, ""f1-score"": 0.9249559189322535, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9325652270480513, ""recall"": 0.9281981807625315, ""f1-score"": 0.9288291237071573, ""support"": 5167}}",0.9249559189322535,0.9341839708124765,0.5003320390824229,0.5033088671043515
0,6250,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",1.6160111969802529,2.77789453125,569,6250,3,5170,"{""artifact"": {""precision"": 0.967487684729064, ""recall"": 0.9092592592592592, ""f1-score"": 0.9374701670644391, ""support"": 3240}, ""text"": {""precision"": 0.8616470588235294, ""recall"": 0.9487046632124352, ""f1-score"": 0.9030826140567201, ""support"": 1930}, ""accuracy"": 0.9239845261121857, ""macro avg"": {""precision"": 0.9145673717762968, ""recall"": 0.9289819612358472, ""f1-score"": 0.9202763905605795, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9279765806676169, ""recall"": 0.9239845261121857, ""f1-score"": 0.9246330341234531, ""support"": 5170}}",0.9202763905605795,0.9289819612358472,0.5078213149681687,0.5012551860883832,5167,"{""artifact"": {""precision"": 0.9667872410391318, ""recall"": 0.9116279069767442, ""f1-score"": 0.9383977018831792, ""support"": 3225}, ""text"": {""precision"": 0.8659454374412041, ""recall"": 0.9479917610710608, ""f1-score"": 0.9051130776794494, ""support"": 1942}, ""accuracy"": 0.9252951422488872, ""macro avg"": {""precision"": 0.916366339240168, ""recall"": 0.9298098340239025, ""f1-score"": 0.9217553897813142, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9288861799616835, ""recall"": 0.9252951422488872, ""f1-score"": 0.9258877850642043, ""support"": 5167}}",0.9217553897813142,0.9298098340239026,0.48872566199861467,0.4985693123890087
0,6250,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",1.47879080590792,2.6793388671875,922,6250,4,5170,"{""artifact"": {""precision"": 0.9711001642036124, ""recall"": 0.9126543209876543, ""f1-score"": 0.9409705648369132, ""support"": 3240}, ""text"": {""precision"": 0.8668235294117647, ""recall"": 0.9544041450777202, ""f1-score"": 0.9085080147965474, ""support"": 1930}, ""accuracy"": 0.9282398452611219, ""macro avg"": {""precision"": 0.9189618468076886, ""recall"": 0.9335292330326872, ""f1-score"": 0.9247392898167304, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9321729098229032, ""recall"": 0.9282398452611219, ""f1-score"": 0.9288520500249391, ""support"": 5170}}",0.9247392898167304,0.9335292330326873,0.5426117421593517,0.4856496283086017,5167,"{""artifact"": {""precision"": 0.9713909898059849, ""recall"": 0.915968992248062, ""f1-score"": 0.9428662623683371, ""support"": 3225}, ""text"": {""precision"": 0.8725305738476011, ""recall"": 0.955200823892894, ""f1-score"": 0.9119960668633235, ""support"": 1942}, ""accuracy"": 0.9307141474743565, ""macro avg"": {""precision"": 0.921960781826793, ""recall"": 0.935584908070478, ""f1-score"": 0.9274311646158303, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9342346267730487, ""recall"": 0.9307141474743565, ""f1-score"": 0.9312638006554018, ""support"": 5167}}",0.9274311646158303,0.935584908070478,0.4962656411807984,0.4898093268973753
0,6250,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",1.5374573641456664,2.7692158203125,905,6250,5,5170,"{""artifact"": {""precision"": 0.9706764411862713, ""recall"": 0.899074074074074, ""f1-score"": 0.9335042461144047, ""support"": 3240}, ""text"": {""precision"": 0.8492392807745505, ""recall"": 0.9544041450777202, ""f1-score"": 0.8987557940961209, ""support"": 1930}, ""accuracy"": 0.9197292069632496, ""macro avg"": {""precision"": 0.9099578609804109, ""recall"": 0.9267391095758971, ""f1-score"": 0.9161300201052629, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9253430331408901, ""recall"": 0.9197292069632496, ""f1-score"": 0.920532386850326, ""support"": 5170}}",0.9161300201052629,0.9267391095758971,0.4914931000676006,0.4932212594896555,5167,"{""artifact"": {""precision"": 0.9693026359693027, ""recall"": 0.9007751937984496, ""f1-score"": 0.933783349405336, ""support"": 3225}, ""text"": {""precision"": 0.8525345622119815, ""recall"": 0.952626158599382, ""f1-score"": 0.899805447470817, ""support"": 1942}, ""accuracy"": 0.920263208825237, ""macro avg"": {""precision"": 0.9109185990906421, ""recall"": 0.9267006761989158, ""f1-score"": 0.9167943984380765, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9254157384975168, ""recall"": 0.920263208825237, ""f1-score"": 0.9210128664254955, ""support"": 5167}}",0.9167943984380765,0.9267006761989158,0.4942083558999002,0.4873969360021874
0,6250,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",1.5431625070050359,2.699607421875,568,6250,6,5170,"{""artifact"": {""precision"": 0.9712532299741602, ""recall"": 0.9280864197530864, ""f1-score"": 0.9491792929292929, ""support"": 3240}, ""text"": {""precision"": 0.8876567020250723, ""recall"": 0.9538860103626943, ""f1-score"": 0.9195804195804196, ""support"": 1930}, ""accuracy"": 0.9377176015473888, ""macro avg"": {""precision"": 0.9294549659996163, ""recall"": 0.9409862150578903, ""f1-score"": 0.9343798562548562, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9400460154786593, ""recall"": 0.9377176015473888, ""f1-score"": 0.9381298102284562, ""support"": 5170}}",0.9343798562548562,0.9409862150578904,0.49345935694873333,0.4945456617046148,5167,"{""artifact"": {""precision"": 0.9708926261319534, ""recall"": 0.9308527131782945, ""f1-score"": 0.9504511635269906, ""support"": 3225}, ""text"": {""precision"": 0.8925301204819277, ""recall"": 0.9536560247167868, ""f1-score"": 0.9220811550908637, ""support"": 1942}, ""accuracy"": 0.9394232630152893, ""macro avg"": {""precision"": 0.9317113733069405, ""recall"": 0.9422543689475407, ""f1-score"": 0.9362661593089272, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9414403354463815, ""recall"": 0.9394232630152893, ""f1-score"": 0.9397883889221988, ""support"": 5167}}",0.9362661593089272,0.9422543689475407,0.48959037801250815,0.4874349804827943
0,6250,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",1.4609177228994668,2.677361328125,445,6250,7,5170,"{""artifact"": {""precision"": 0.9634822301923704, ""recall"": 0.9120370370370371, ""f1-score"": 0.9370540669097829, ""support"": 3240}, ""text"": {""precision"": 0.8644793152639088, ""recall"": 0.9419689119170984, ""f1-score"": 0.9015621125712868, ""support"": 1930}, ""accuracy"": 0.92321083172147, ""macro avg"": {""precision"": 0.9139807727281396, ""recall"": 0.9270029744770678, ""f1-score"": 0.9193080897405348, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9265236952190762, ""recall"": 0.92321083172147, ""f1-score"": 0.9238046526209439, ""support"": 5170}}",0.9193080897405348,0.9270029744770677,0.4907539151608944,0.49075068668462335,5167,"{""artifact"": {""precision"": 0.962467362924282, ""recall"": 0.9144186046511628, ""f1-score"": 0.9378279535697249, ""support"": 3225}, ""text"": {""precision"": 0.8687589158345221, ""recall"": 0.9407826982492276, ""f1-score"": 0.9033374536464771, ""support"": 1942}, ""accuracy"": 0.9243274627443391, ""macro avg"": {""precision"": 0.915613139379402, ""recall"": 0.9276006514501951, ""f1-score"": 0.920582703608101, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9272473504899268, ""recall"": 0.9243274627443391, ""f1-score"": 0.9248648123173643, ""support"": 5167}}",0.920582703608101,0.9276006514501952,0.49650961183942854,0.4945743605028838
0,6250,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",1.4807875689584762,2.656455078125,308,6250,8,5170,"{""artifact"": {""precision"": 0.9689564068692206, ""recall"": 0.9055555555555556, ""f1-score"": 0.9361837906828334, ""support"": 3240}, ""text"": {""precision"": 0.8571428571428571, ""recall"": 0.9512953367875647, ""f1-score"": 0.9017681728880158, ""support"": 1930}, ""accuracy"": 0.9226305609284333, ""macro avg"": {""precision"": 0.9130496320060388, ""recall"": 0.9284254461715602, ""f1-score"": 0.9189759817854246, ""support"": 5170}, ""weighted avg"": {""precision"": 0.927215565288586, ""recall"": 0.9226305609284333, ""f1-score"": 0.9233361809451163, ""support"": 5170}}",0.9189759817854246,0.9284254461715601,0.48675133497454226,0.488348872307688,5167,"{""artifact"": {""precision"": 0.9679444811632518, ""recall"": 0.9082170542635659, ""f1-score"": 0.9371300591905296, ""support"": 3225}, ""text"": {""precision"": 0.861746847267632, ""recall"": 0.9500514933058702, ""f1-score"": 0.9037472446730345, ""support"": 1942}, ""accuracy"": 0.9239403909425198, ""macro avg"": {""precision"": 0.9148456642154419, ""recall"": 0.9291342737847181, ""f1-score"": 0.920438651931782, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9280304488378611, ""recall"": 0.9239403909425198, ""f1-score"": 0.9245832378642328, ""support"": 5167}}",0.920438651931782,0.929134273784718,0.48405926604755223,0.4886515980120748
0,6250,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",1.4858118020929396,2.6979990234375,499,6250,9,5170,"{""artifact"": {""precision"": 0.9681507962300943, ""recall"": 0.9194444444444444, ""f1-score"": 0.9431692258983695, ""support"": 3240}, ""text"": {""precision"": 0.8752986144290492, ""recall"": 0.9492227979274611, ""f1-score"": 0.910763112105394, ""support"": 1930}, ""accuracy"": 0.9305609284332689, ""macro avg"": {""precision"": 0.9217247053295717, ""recall"": 0.9343336211859528, ""f1-score"": 0.9269661690018818, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9334883763314449, ""recall"": 0.9305609284332689, ""f1-score"": 0.9310717791632741, ""support"": 5170}}",0.9269661690018818,0.9343336211859528,0.4925488280132413,0.4935535053955391,5167,"{""artifact"": {""precision"": 0.9655060201757241, ""recall"": 0.92, ""f1-score"": 0.9422038742457924, ""support"": 3225}, ""text"": {""precision"": 0.8767908309455588, ""recall"": 0.945417095777549, ""f1-score"": 0.9098116947472746, ""support"": 1942}, ""accuracy"": 0.9295529320688988, ""macro avg"": {""precision"": 0.9211484255606415, ""recall"": 0.9327085478887744, ""f1-score"": 0.9260077844965335, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9321627073278469, ""recall"": 0.9295529320688988, ""f1-score"": 0.9300293798416659, ""support"": 5167}}",0.9260077844965335,0.9327085478887744,0.4919459279626608,0.49667933690361676
