,train_samples,params,perf_train_runtime,model_size,seed,train_frac,index,man_validation_samples_javascript_researcher_1,classification_report_javascript_researcher_1,macro_f1_javascript_researcher_1,roc-auc_javascript_researcher_1,perf_predict_runtime_javascript_researcher_1,timeit_runtime_javascript_researcher_1,man_validation_samples_javascript_researcher_2,classification_report_javascript_researcher_2,macro_f1_javascript_researcher_2,roc-auc_javascript_researcher_2,perf_predict_runtime_javascript_researcher_2,timeit_runtime_javascript_researcher_2
0,19660,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",9.665273615857586,6.738431640625,327,0.0125,0,5170,"{""artifact"": {""precision"": 0.9733506662333442, ""recall"": 0.9243827160493827, ""f1-score"": 0.948234921640019, ""support"": 3240}, ""text"": {""precision"": 0.882943143812709, ""recall"": 0.9575129533678757, ""f1-score"": 0.918717375093214, ""support"": 1930}, ""accuracy"": 0.9367504835589942, ""macro avg"": {""precision"": 0.9281469050230267, ""recall"": 0.9409478347086292, ""f1-score"": 0.9334761483666165, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9396008561227396, ""recall"": 0.9367504835589942, ""f1-score"": 0.9372157988478849, ""support"": 5170}}",0.9334761483666165,0.9409478347086292,0.49799212999641895,0.5008467343868688,5167,"{""artifact"": {""precision"": 0.9710474951203644, ""recall"": 0.9255813953488372, ""f1-score"": 0.9477694872201936, ""support"": 3225}, ""text"": {""precision"": 0.8853320592451027, ""recall"": 0.9541709577754892, ""f1-score"": 0.9184634448574969, ""support"": 1942}, ""accuracy"": 0.9363266886007354, ""macro avg"": {""precision"": 0.9281897771827335, ""recall"": 0.9398761765621633, ""f1-score"": 0.9331164660388452, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9388316297304364, ""recall"": 0.9363266886007354, ""f1-score"": 0.9367549073346978, ""support"": 5167}}",0.9331164660388452,0.9398761765621632,0.5258581640664488,0.5126438697101549
0,19660,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",5.210288604022935,6.6802958984375,225,0.0125,1,5170,"{""artifact"": {""precision"": 0.9717624148003895, ""recall"": 0.924074074074074, ""f1-score"": 0.9473184622686284, ""support"": 3240}, ""text"": {""precision"": 0.8822403063666826, ""recall"": 0.9549222797927461, ""f1-score"": 0.9171435680517542, ""support"": 1930}, ""accuracy"": 0.9355899419729207, ""macro avg"": {""precision"": 0.9270013605835361, ""recall"": 0.9394981769334101, ""f1-score"": 0.9322310151601914, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9383431364102437, ""recall"": 0.9355899419729207, ""f1-score"": 0.9360539466325419, ""support"": 5170}}",0.9322310151601914,0.9394981769334101,0.5808784030377865,0.505179124395363,5167,"{""artifact"": {""precision"": 0.9684757881052973, ""recall"": 0.924031007751938, ""f1-score"": 0.9457315138051413, ""support"": 3225}, ""text"": {""precision"": 0.8827751196172249, ""recall"": 0.9500514933058702, ""f1-score"": 0.9151785714285714, ""support"": 1942}, ""accuracy"": 0.9338107218889103, ""macro avg"": {""precision"": 0.9256254538612612, ""recall"": 0.9370412505289041, ""f1-score"": 0.9304550426168563, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9362654729894009, ""recall"": 0.9338107218889103, ""f1-score"": 0.9342482906398039, ""support"": 5167}}",0.9304550426168563,0.9370412505289041,0.49736059294082224,0.5021292469929903
0,19660,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",5.208953676046804,6.8280908203125,325,0.0125,2,5170,"{""artifact"": {""precision"": 0.9739187850775833, ""recall"": 0.9104938271604939, ""f1-score"": 0.941138937629606, ""support"": 3240}, ""text"": {""precision"": 0.864549276039234, ""recall"": 0.9590673575129534, ""f1-score"": 0.9093588798820929, ""support"": 1930}, ""accuracy"": 0.9286266924564797, ""macro avg"": {""precision"": 0.9192340305584087, ""recall"": 0.9347805923367236, ""f1-score"": 0.9252489087558494, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9330903223224549, ""recall"": 0.9286266924564797, ""f1-score"": 0.9292752023389482, ""support"": 5170}}",0.9252489087558494,0.9347805923367236,0.50059451488778,0.4971588111016899,5167,"{""artifact"": {""precision"": 0.9732319894249835, ""recall"": 0.9131782945736434, ""f1-score"": 0.9422492401215805, ""support"": 3225}, ""text"": {""precision"": 0.8692199906585708, ""recall"": 0.9582904222451082, ""f1-score"": 0.9115846191525839, ""support"": 1942}, ""accuracy"": 0.9301335397716276, ""macro avg"": {""precision"": 0.9212259900417772, ""recall"": 0.9357343584093758, ""f1-score"": 0.9269169296370823, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9341394208930746, ""recall"": 0.9301335397716276, ""f1-score"": 0.9307240429236336, ""support"": 5167}}",0.9269169296370823,0.9357343584093757,0.4986640349961817,0.49914102770853785
0,19660,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",5.2437084200792015,6.8431298828125,730,0.0125,3,5170,"{""artifact"": {""precision"": 0.9712418300653595, ""recall"": 0.917283950617284, ""f1-score"": 0.9434920634920635, ""support"": 3240}, ""text"": {""precision"": 0.8729857819905213, ""recall"": 0.9544041450777202, ""f1-score"": 0.911881188118812, ""support"": 1930}, ""accuracy"": 0.9311411992263056, ""macro avg"": {""precision"": 0.9221138060279404, ""recall"": 0.9358440478475021, ""f1-score"": 0.9276866258054377, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9345621061225281, ""recall"": 0.9311411992263056, ""f1-score"": 0.9316914852579483, ""support"": 5170}}",0.9276866258054377,0.9358440478475021,0.4965637109708041,0.49655632940121,5167,"{""artifact"": {""precision"": 0.9695780176643768, ""recall"": 0.9190697674418604, ""f1-score"": 0.9436485195797517, ""support"": 3225}, ""text"": {""precision"": 0.876303317535545, ""recall"": 0.9521112255406797, ""f1-score"": 0.9126357354392892, ""support"": 1942}, ""accuracy"": 0.931488291077995, ""macro avg"": {""precision"": 0.922940667599961, ""recall"": 0.93559049649127, ""f1-score"": 0.9281421275095205, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9345210276024083, ""recall"": 0.931488291077995, ""f1-score"": 0.9319924663959355, ""support"": 5167}}",0.9281421275095205,0.9355904964912701,0.49848614702932537,0.49764083640184253
0,19660,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",5.171691389055923,6.853580078125,419,0.0125,4,5170,"{""artifact"": {""precision"": 0.9743926460932371, ""recall"": 0.9160493827160494, ""f1-score"": 0.9443207126948775, ""support"": 3240}, ""text"": {""precision"": 0.871939736346516, ""recall"": 0.9595854922279793, ""f1-score"": 0.9136655155402071, ""support"": 1930}, ""accuracy"": 0.9323017408123792, ""macro avg"": {""precision"": 0.9231661912198765, ""recall"": 0.9378174374720143, ""f1-score"": 0.9289931141175423, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9361462020291806, ""recall"": 0.9323017408123792, ""f1-score"": 0.9328768963489367, ""support"": 5170}}",0.9289931141175423,0.9378174374720144,0.49970211600884795,0.5010686638997868,5167,"{""artifact"": {""precision"": 0.9733727810650887, ""recall"": 0.9181395348837209, ""f1-score"": 0.9449497367161321, ""support"": 3225}, ""text"": {""precision"": 0.8757647058823529, ""recall"": 0.9582904222451082, ""f1-score"": 0.9151708876321614, ""support"": 1942}, ""accuracy"": 0.9332301141861815, ""macro avg"": {""precision"": 0.9245687434737209, ""recall"": 0.9382149785644145, ""f1-score"": 0.9300603121741468, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9366871062044592, ""recall"": 0.9332301141861815, ""f1-score"": 0.9337574539754565, ""support"": 5167}}",0.9300603121741468,0.9382149785644145,0.49812136706896126,0.49978049939963964
0,19660,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",4.823501100065187,6.8113271484375,791,0.0125,5,5170,"{""artifact"": {""precision"": 0.9741068502130449, ""recall"": 0.917283950617284, ""f1-score"": 0.9448418375457002, ""support"": 3240}, ""text"": {""precision"": 0.8735252477583766, ""recall"": 0.9590673575129534, ""f1-score"": 0.9142998271178068, ""support"": 1930}, ""accuracy"": 0.9328820116054158, ""macro avg"": {""precision"": 0.9238160489857108, ""recall"": 0.9381756540651187, ""f1-score"": 0.9295708323317535, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9365589792773563, ""recall"": 0.9328820116054158, ""f1-score"": 0.9334402746586916, ""support"": 5170}}",0.9295708323317535,0.9381756540651187,0.5120816749986261,0.5137092352844774,5167,"{""artifact"": {""precision"": 0.9721037085658024, ""recall"": 0.9184496124031007, ""f1-score"": 0.9445153061224489, ""support"": 3225}, ""text"": {""precision"": 0.8759433962264151, ""recall"": 0.9562306900102987, ""f1-score"": 0.9143279172821269, ""support"": 1942}, ""accuracy"": 0.9326495064834527, ""macro avg"": {""precision"": 0.9240235523961088, ""recall"": 0.9373401512066997, ""f1-score"": 0.929421611702288, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9359621706205556, ""recall"": 0.9326495064834527, ""f1-score"": 0.9331694750545362, ""support"": 5167}}",0.929421611702288,0.9373401512066998,0.5109118779655546,0.5144074802985414
0,19660,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",5.0400667458307,6.9235205078125,484,0.0125,6,5170,"{""artifact"": {""precision"": 0.9729993493819128, ""recall"": 0.9231481481481482, ""f1-score"": 0.9474184352233133, ""support"": 3240}, ""text"": {""precision"": 0.8812022900763359, ""recall"": 0.9569948186528497, ""f1-score"": 0.9175360158966717, ""support"": 1930}, ""accuracy"": 0.9357833655705996, ""macro avg"": {""precision"": 0.9271008197291244, ""recall"": 0.940071483400499, ""f1-score"": 0.9324772255599925, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9387308146701596, ""recall"": 0.9357833655705996, ""f1-score"": 0.9362631026700409, ""support"": 5170}}",0.9324772255599925,0.940071483400499,0.507731128949672,0.5104531884891912,5167,"{""artifact"": {""precision"": 0.9719960924780202, ""recall"": 0.9255813953488372, ""f1-score"": 0.9482210927573061, ""support"": 3225}, ""text"": {""precision"": 0.8854961832061069, ""recall"": 0.9557157569515963, ""f1-score"": 0.9192669638434869, ""support"": 1942}, ""accuracy"": 0.9369072963034643, ""macro avg"": {""precision"": 0.9287461378420636, ""recall"": 0.9406485761502168, ""f1-score"": 0.9337440283003966, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9394853853353735, ""recall"": 0.9369072963034643, ""f1-score"": 0.9373387783871421, ""support"": 5167}}",0.9337440283003966,0.9406485761502168,0.5031570929568261,0.5124535988783464
0,19660,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",4.960799979045987,6.9192548828125,967,0.0125,7,5170,"{""artifact"": {""precision"": 0.9714841218405703, ""recall"": 0.9253086419753086, ""f1-score"": 0.9478343344925703, ""support"": 3240}, ""text"": {""precision"": 0.8838771593090211, ""recall"": 0.9544041450777202, ""f1-score"": 0.9177877428998505, ""support"": 1930}, ""accuracy"": 0.9361702127659575, ""macro avg"": {""precision"": 0.9276806405747957, ""recall"": 0.9398563935265144, ""f1-score"": 0.9328110386962104, ""support"": 5170}, ""weighted avg"": {""precision"": 0.938779781862642, ""recall"": 0.9361702127659575, ""f1-score"": 0.936617715193934, ""support"": 5170}}",0.9328110386962104,0.9398563935265144,0.5093036449979991,0.5091473181033507,5167,"{""artifact"": {""precision"": 0.9704737183646982, ""recall"": 0.9274418604651162, ""f1-score"": 0.9484699540193435, ""support"": 3225}, ""text"": {""precision"": 0.8877697841726618, ""recall"": 0.9531410916580845, ""f1-score"": 0.9192947603675192, ""support"": 1942}, ""accuracy"": 0.9371008322043739, ""macro avg"": {""precision"": 0.92912175126868, ""recall"": 0.9402914760616004, ""f1-score"": 0.9338823571934314, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9393897160033794, ""recall"": 0.9371008322043739, ""f1-score"": 0.9375045531925886, ""support"": 5167}}",0.9338823571934314,0.9402914760616004,0.5144944710191339,0.5164736635051668
0,19660,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",5.309514342108741,6.88327734375,467,0.0125,8,5170,"{""artifact"": {""precision"": 0.974408811143505, ""recall"": 0.928395061728395, ""f1-score"": 0.9508455824245297, ""support"": 3240}, ""text"": {""precision"": 0.8886221795487278, ""recall"": 0.9590673575129534, ""f1-score"": 0.9225018689259905, ""support"": 1930}, ""accuracy"": 0.9398452611218568, ""macro avg"": {""precision"": 0.9315154953461164, ""recall"": 0.9437312096206742, ""f1-score"": 0.9366737256752601, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9423840144359769, ""recall"": 0.9398452611218568, ""f1-score"": 0.9402646603641466, ""support"": 5170}}",0.9366737256752601,0.9437312096206741,0.5057724141515791,0.505297906883061,5167,"{""artifact"": {""precision"": 0.9734111543450065, ""recall"": 0.9308527131782945, ""f1-score"": 0.9516563639245521, ""support"": 3225}, ""text"": {""precision"": 0.8929428708593375, ""recall"": 0.9577754891864058, ""f1-score"": 0.924223602484472, ""support"": 1942}, ""accuracy"": 0.9409715502225663, ""macro avg"": {""precision"": 0.933177012602172, ""recall"": 0.9443141011823502, ""f1-score"": 0.9379399832045121, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9431674139677723, ""recall"": 0.9409715502225663, ""f1-score"": 0.9413458505286482, ""support"": 5167}}",0.9379399832045121,0.9443141011823502,0.5038186151068658,0.5045682719908655
0,19660,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",52.0424676630646,6.8693330078125,688,0.0125,9,5170,"{""artifact"": {""precision"": 0.9716335180958592, ""recall"": 0.9197530864197531, ""f1-score"": 0.9449817662914223, ""support"": 3240}, ""text"": {""precision"": 0.8763670946267237, ""recall"": 0.9549222797927461, ""f1-score"": 0.913959831391024, ""support"": 1930}, ""accuracy"": 0.9328820116054158, ""macro avg"": {""precision"": 0.9240003063612914, ""recall"": 0.9373376831062497, ""f1-score"": 0.9294707988412232, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9360698435706307, ""recall"": 0.9328820116054158, ""f1-score"": 0.9334010439785076, ""support"": 5170}}",0.9294707988412232,0.9373376831062495,0.5039265670347959,0.5022827044129372,5167,"{""artifact"": {""precision"": 0.9689846555664381, ""recall"": 0.9203100775193799, ""f1-score"": 0.9440203562340967, ""support"": 3225}, ""text"": {""precision"": 0.877851711026616, ""recall"": 0.951081359423275, ""f1-score"": 0.9130004943153732, ""support"": 1942}, ""accuracy"": 0.9318753628798142, ""macro avg"": {""precision"": 0.923418183296527, ""recall"": 0.9356957184713275, ""f1-score"": 0.9285104252747349, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9347326373167121, ""recall"": 0.9318753628798142, ""f1-score"": 0.9323616428905395, ""support"": 5167}}",0.9285104252747349,0.9356957184713275,0.5024931910447776,0.500731527688913
