,train_samples,params,perf_train_runtime,model_size,seed,train_frac,index,man_validation_samples_php_researcher_1,classification_report_php_researcher_1,macro_f1_php_researcher_1,roc-auc_php_researcher_1,perf_predict_runtime_php_researcher_1,timeit_runtime_php_researcher_1,man_validation_samples_php_researcher_2,classification_report_php_researcher_2,macro_f1_php_researcher_2,roc-auc_php_researcher_2,perf_predict_runtime_php_researcher_2,timeit_runtime_php_researcher_2
0,6250,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",3.3614596670959145,2.52862109375,181,6250,0,6190,"{""artifact"": {""precision"": 0.9708390646492435, ""recall"": 0.835068622811169, ""f1-score"": 0.8978501462918205, ""support"": 4226}, ""text"": {""precision"": 0.72720156555773, ""recall"": 0.9460285132382892, ""f1-score"": 0.8223058198716531, ""support"": 1964}, ""accuracy"": 0.8702746365105009, ""macro avg"": {""precision"": 0.8490203151034867, ""recall"": 0.8905485680247291, ""f1-score"": 0.8600779830817368, ""support"": 6190}, ""weighted avg"": {""precision"": 0.893536310494844, ""recall"": 0.8702746365105009, ""f1-score"": 0.8738809932887173, ""support"": 6190}}",0.8600779830817368,0.8905485680247291,0.6066160381305963,0.6034971988992766,6189,"{""artifact"": {""precision"": 0.9617501375894332, ""recall"": 0.8325393044306812, ""f1-score"": 0.8924923391215526, ""support"": 4198}, ""text"": {""precision"": 0.724853228962818, ""recall"": 0.9301858362631843, ""f1-score"": 0.8147822261328641, ""support"": 1991}, ""accuracy"": 0.8639521732105349, ""macro avg"": {""precision"": 0.8433016832761255, ""recall"": 0.8813625703469328, ""f1-score"": 0.8536372826272083, ""support"": 6189}, ""weighted avg"": {""precision"": 0.8855404518444678, ""recall"": 0.8639521732105349, ""f1-score"": 0.8674930120961077, ""support"": 6189}}",0.8536372826272083,0.8813625703469328,0.6014871771913022,0.6053113474976272
0,6250,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",1.6673119489569217,2.446400390625,878,6250,1,6190,"{""artifact"": {""precision"": 0.9720537832849987, ""recall"": 0.8724562233790819, ""f1-score"": 0.9195660306771418, ""support"": 4226}, ""text"": {""precision"": 0.7751355861493534, ""recall"": 0.9460285132382892, ""f1-score"": 0.8520981426278378, ""support"": 1964}, ""accuracy"": 0.8957996768982229, ""macro avg"": {""precision"": 0.873594684717176, ""recall"": 0.9092423683086855, ""f1-score"": 0.8858320866524898, ""support"": 6190}, ""weighted avg"": {""precision"": 0.9095744070048037, ""recall"": 0.8957996768982229, ""f1-score"": 0.8981594180553594, ""support"": 6190}}",0.8858320866524898,0.9092423683086855,0.6087906821630895,0.6114779436029494,6189,"{""artifact"": {""precision"": 0.9694148936170213, ""recall"": 0.8682706050500238, ""f1-score"": 0.9160593113847701, ""support"": 4198}, ""text"": {""precision"": 0.7723342939481268, ""recall"": 0.9422400803616273, ""f1-score"": 0.848868778280543, ""support"": 1991}, ""accuracy"": 0.8920665697204718, ""macro avg"": {""precision"": 0.870874593782574, ""recall"": 0.9052553427058256, ""f1-score"": 0.8824640448326566, ""support"": 6189}, ""weighted avg"": {""precision"": 0.9060141061003354, ""recall"": 0.8920665697204718, ""f1-score"": 0.8944441309985176, ""support"": 6189}}",0.8824640448326566,0.9052553427058256,0.6148150449153036,0.6094847966916859
0,6250,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",1.6379171460866928,2.491509765625,222,6250,2,6190,"{""artifact"": {""precision"": 0.9754299754299754, ""recall"": 0.8454803596781827, ""f1-score"": 0.905818227912283, ""support"": 4226}, ""text"": {""precision"": 0.7415908191531461, ""recall"": 0.9541751527494908, ""f1-score"": 0.8345580048986863, ""support"": 1964}, ""accuracy"": 0.879967689822294, ""macro avg"": {""precision"": 0.8585103972915608, ""recall"": 0.8998277562138368, ""f1-score"": 0.8701881164054845, ""support"": 6190}, ""weighted avg"": {""precision"": 0.9012360977356795, ""recall"": 0.879967689822294, ""f1-score"": 0.8832083607073227, ""support"": 6190}}",0.8701881164054845,0.8998277562138367,0.5972145551349968,0.6022989602992311,6189,"{""artifact"": {""precision"": 0.9682452778538188, ""recall"": 0.8425440686040971, ""f1-score"": 0.9010317157050057, ""support"": 4198}, ""text"": {""precision"": 0.7393533123028391, ""recall"": 0.9417378201908588, ""f1-score"": 0.8283631544068919, ""support"": 1991}, ""accuracy"": 0.8744546776539021, ""macro avg"": {""precision"": 0.8537992950783289, ""recall"": 0.8921409443974779, ""f1-score"": 0.8646974350559489, ""support"": 6189}, ""weighted avg"": {""precision"": 0.8946107806148463, ""recall"": 0.8744546776539021, ""f1-score"": 0.8776542547994403, ""support"": 6189}}",0.8646974350559489,0.8921409443974782,0.59739312203601,0.605457149608992
0,6250,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",1.689872750081122,2.44508984375,811,6250,3,6190,"{""artifact"": {""precision"": 0.9661112680033889, ""recall"": 0.809512541410317, ""f1-score"": 0.8809063988670015, ""support"": 4226}, ""text"": {""precision"": 0.6961117402793507, ""recall"": 0.9389002036659878, ""f1-score"": 0.7994797311944505, ""support"": 1964}, ""accuracy"": 0.8505654281098546, ""macro avg"": {""precision"": 0.8311115041413698, ""recall"": 0.8742063725381524, ""f1-score"": 0.840193065030726, ""support"": 6190}, ""weighted avg"": {""precision"": 0.8804442126802854, ""recall"": 0.8505654281098546, ""f1-score"": 0.8550708616603956, ""support"": 6190}}",0.840193065030726,0.8742063725381525,0.5948410800192505,0.5994853015057743,6189,"{""artifact"": {""precision"": 0.9581566299123551, ""recall"": 0.8072891853263459, ""f1-score"": 0.8762766645119585, ""support"": 4198}, ""text"": {""precision"": 0.694947209653092, ""recall"": 0.9256654947262682, ""f1-score"": 0.7938832651303037, ""support"": 1991}, ""accuracy"": 0.8453708191953466, ""macro avg"": {""precision"": 0.8265519197827236, ""recall"": 0.866477340026307, ""f1-score"": 0.8350799648211311, ""support"": 6189}, ""weighted avg"": {""precision"": 0.8734822147021122, ""recall"": 0.8453708191953466, ""f1-score"": 0.8497707252376211, ""support"": 6189}}",0.8350799648211311,0.866477340026307,0.599219128023833,0.6084427227033302
0,6250,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",1.6473904801532626,2.5071982421875,547,6250,4,6190,"{""artifact"": {""precision"": 0.97015326700726, ""recall"": 0.8537624230951254, ""f1-score"": 0.9082441787287602, ""support"": 4226}, ""text"": {""precision"": 0.7498988263860785, ""recall"": 0.9434826883910387, ""f1-score"": 0.8356257046223224, ""support"": 1964}, ""accuracy"": 0.8822294022617124, ""macro avg"": {""precision"": 0.8600260466966693, ""recall"": 0.898622555743082, ""f1-score"": 0.8719349416755413, ""support"": 6190}, ""weighted avg"": {""precision"": 0.9002696286583101, ""recall"": 0.8822294022617124, ""f1-score"": 0.8852033575421618, ""support"": 6190}}",0.8719349416755413,0.898622555743082,0.6174527939874679,0.6080030187964439,6189,"{""artifact"": {""precision"": 0.9621273166800967, ""recall"": 0.8532634587899, ""f1-score"": 0.9044312586794597, ""support"": 4198}, ""text"": {""precision"": 0.7502027575020276, ""recall"": 0.9291813159216474, ""f1-score"": 0.8301548126542517, ""support"": 1991}, ""accuracy"": 0.8776862174826304, ""macro avg"": {""precision"": 0.8561650370910621, ""recall"": 0.8912223873557736, ""f1-score"": 0.8672930356668558, ""support"": 6189}, ""weighted avg"": {""precision"": 0.8939512305072843, ""recall"": 0.8776862174826304, ""f1-score"": 0.8805365415949244, ""support"": 6189}}",0.8672930356668558,0.8912223873557736,0.5906568949576467,0.6062974490923807
0,6250,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",1.6174268489703536,2.4101123046875,935,6250,5,6190,"{""artifact"": {""precision"": 0.9754376796446302, ""recall"": 0.883341221012778, ""f1-score"": 0.9271079100956165, ""support"": 4226}, ""text"": {""precision"": 0.7913669064748201, ""recall"": 0.9521384928716904, ""f1-score"": 0.8643401895077422, ""support"": 1964}, ""accuracy"": 0.9051696284329563, ""macro avg"": {""precision"": 0.8834022930597252, ""recall"": 0.9177398569422341, ""f1-score"": 0.8957240498016794, ""support"": 6190}, ""weighted avg"": {""precision"": 0.9170346104191849, ""recall"": 0.9051696284329563, ""f1-score"": 0.9071925945488337, ""support"": 6190}}",0.8957240498016794,0.9177398569422341,0.597439767094329,0.601777492207475,6189,"{""artifact"": {""precision"": 0.9704575163398693, ""recall"": 0.8842305859933302, ""f1-score"": 0.9253396485105322, ""support"": 4198}, ""text"": {""precision"": 0.7944162436548223, ""recall"": 0.9432446007031643, ""f1-score"": 0.8624569460390356, ""support"": 1991}, ""accuracy"": 0.9032153821295847, ""macro avg"": {""precision"": 0.8824368799973459, ""recall"": 0.9137375933482472, ""f1-score"": 0.8938982972747839, ""support"": 6189}, ""weighted avg"": {""precision"": 0.9138250758945746, ""recall"": 0.9032153821295847, ""f1-score"": 0.905110296333969, ""support"": 6189}}",0.8938982972747839,0.9137375933482472,0.6103643209207803,0.6038423629011959
0,6250,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",1.6544071659445763,2.490857421875,949,6250,6,6190,"{""artifact"": {""precision"": 0.9729096118780932, ""recall"": 0.8838144817794605, ""f1-score"": 0.926224426534408, ""support"": 4226}, ""text"": {""precision"": 0.7911527009783071, ""recall"": 0.9470468431771895, ""f1-score"": 0.8621089223638472, ""support"": 1964}, ""accuracy"": 0.9038772213247173, ""macro avg"": {""precision"": 0.8820311564282002, ""recall"": 0.915430662478325, ""f1-score"": 0.8941666744491276, ""support"": 6190}, ""weighted avg"": {""precision"": 0.9152406986297604, ""recall"": 0.9038772213247173, ""f1-score"": 0.905881478199839, ""support"": 6190}}",0.8941666744491276,0.9154306624783249,0.5991922898683697,0.6043819228885695,6189,"{""artifact"": {""precision"": 0.965553235908142, ""recall"": 0.8813720819437828, ""f1-score"": 0.9215442092154421, ""support"": 4198}, ""text"": {""precision"": 0.7887144675434875, ""recall"": 0.9337016574585635, ""f1-score"": 0.8551057957681694, ""support"": 1991}, ""accuracy"": 0.8982064953950557, ""macro avg"": {""precision"": 0.8771338517258147, ""recall"": 0.9075368697011732, ""f1-score"": 0.8883250024918057, ""support"": 6189}, ""weighted avg"": {""precision"": 0.9086642412702316, ""recall"": 0.8982064953950557, ""f1-score"": 0.9001709855648491, ""support"": 6189}}",0.8883250024918057,0.9075368697011731,0.5968935040291399,0.6006944464985281
0,6250,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",1.6060744689311832,2.402958984375,225,6250,7,6190,"{""artifact"": {""precision"": 0.9712643678160919, ""recall"": 0.8398012304779934, ""f1-score"": 0.900761421319797, ""support"": 4226}, ""text"": {""precision"": 0.7330441640378549, ""recall"": 0.9465376782077393, ""f1-score"": 0.8262222222222222, ""support"": 1964}, ""accuracy"": 0.8736672051696285, ""macro avg"": {""precision"": 0.8521542659269734, ""recall"": 0.8931694543428663, ""f1-score"": 0.8634918217710096, ""support"": 6190}, ""weighted avg"": {""precision"": 0.8956804453249033, ""recall"": 0.8736672051696285, ""f1-score"": 0.877111181089161, ""support"": 6190}}",0.8634918217710096,0.8931694543428663,0.6094971830025315,0.6044825975084678,6189,"{""artifact"": {""precision"": 0.9649411120241029, ""recall"": 0.8392091472129586, ""f1-score"": 0.8976939737546185, ""support"": 4198}, ""text"": {""precision"": 0.7340425531914894, ""recall"": 0.9357106981416373, ""f1-score"": 0.8226981673658643, ""support"": 1991}, ""accuracy"": 0.8702536758765552, ""macro avg"": {""precision"": 0.8494918326077961, ""recall"": 0.8874599226772979, ""f1-score"": 0.8601960705602414, ""support"": 6189}, ""weighted avg"": {""precision"": 0.890661094147914, ""recall"": 0.8702536758765552, ""f1-score"": 0.8735678385922321, ""support"": 6189}}",0.8601960705602414,0.887459922677298,0.6018662599381059,0.5981098754098639
0,6250,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",1.5653807919006795,2.3789794921875,406,6250,8,6190,"{""artifact"": {""precision"": 0.9701810436634718, ""recall"": 0.8622811168954093, ""f1-score"": 0.91305437233776, ""support"": 4226}, ""text"": {""precision"": 0.7608874281018899, ""recall"": 0.9429735234215886, ""f1-score"": 0.8422010004547522, ""support"": 1964}, ""accuracy"": 0.8878836833602585, ""macro avg"": {""precision"": 0.8655342358826809, ""recall"": 0.9026273201584989, ""f1-score"": 0.8776276863962561, ""support"": 6190}, ""weighted avg"": {""precision"": 0.9037751210523333, ""recall"": 0.8878836833602585, ""f1-score"": 0.8905735932782726, ""support"": 6190}}",0.8776276863962561,0.902627320158499,0.5981016061268747,0.5983598034828901,6189,"{""artifact"": {""precision"": 0.9621736814064997, ""recall"": 0.8604097189137685, ""f1-score"": 0.908450704225352, ""support"": 4198}, ""text"": {""precision"": 0.7593429158110883, ""recall"": 0.928679055750879, ""f1-score"": 0.8355173971983733, ""support"": 1991}, ""accuracy"": 0.8823719502342866, ""macro avg"": {""precision"": 0.860758298608794, ""recall"": 0.8945443873323238, ""f1-score"": 0.8719840507118626, ""support"": 6189}, ""weighted avg"": {""precision"": 0.8969230667190762, ""recall"": 0.8823719502342866, ""f1-score"": 0.8849880746744204, ""support"": 6189}}",0.8719840507118626,0.8945443873323237,0.6048828249331564,0.600951197789982
0,6250,"{'charrep__repl_all_caps': True, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': True}",1.6741288919001818,2.515701171875,302,6250,9,6190,"{""artifact"": {""precision"": 0.9685381068619474, ""recall"": 0.8450070989115003, ""f1-score"": 0.902565398710982, ""support"": 4226}, ""text"": {""precision"": 0.7383140231721934, ""recall"": 0.9409368635437881, ""f1-score"": 0.8274009402283411, ""support"": 1964}, ""accuracy"": 0.8754442649434572, ""macro avg"": {""precision"": 0.8534260650170704, ""recall"": 0.8929719812276442, ""f1-score"": 0.8649831694696615, ""support"": 6190}, ""weighted avg"": {""precision"": 0.895491240889948, ""recall"": 0.8754442649434572, ""f1-score"": 0.8787167724654397, ""support"": 6190}}",0.8649831694696615,0.8929719812276443,0.5889056650921702,0.604333848785609,6189,"{""artifact"": {""precision"": 0.9633152173913043, ""recall"": 0.8444497379704621, ""f1-score"": 0.8999746128459001, ""support"": 4198}, ""text"": {""precision"": 0.739736946990833, ""recall"": 0.9321948769462581, ""f1-score"": 0.8248888888888888, ""support"": 1991}, ""accuracy"": 0.8726773307481015, ""macro avg"": {""precision"": 0.8515260821910686, ""recall"": 0.8883223074583602, ""f1-score"": 0.8624317508673944, ""support"": 6189}, ""weighted avg"": {""precision"": 0.8913901347661083, ""recall"": 0.8726773307481015, ""f1-score"": 0.8758195512206925, ""support"": 6189}}",0.8624317508673944,0.8883223074583602,0.5905225118622184,0.6033820477081463
