,train_samples,params,perf_train_runtime,model_size,seed,train_frac,index,man_validation_samples_cpp_researcher_1,classification_report_cpp_researcher_1,macro_f1_cpp_researcher_1,roc-auc_cpp_researcher_1,perf_predict_runtime_cpp_researcher_1,timeit_runtime_cpp_researcher_1,man_validation_samples_cpp_researcher_2,classification_report_cpp_researcher_2,macro_f1_cpp_researcher_2,roc-auc_cpp_researcher_2,perf_predict_runtime_cpp_researcher_2,timeit_runtime_cpp_researcher_2
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.126904011995066,3.164646484375,559,6250,0,5416,"{""artifact"": {""precision"": 0.9786396852164138, ""recall"": 0.9390507011866235, ""f1-score"": 0.9584365538122764, ""support"": 3708}, ""text"": {""precision"": 0.8783638320775027, ""recall"": 0.955503512880562, ""f1-score"": 0.9153112731351655, ""support"": 1708}, ""accuracy"": 0.9442392909896603, ""macro avg"": {""precision"": 0.9285017586469582, ""recall"": 0.9472771070335928, ""f1-score"": 0.936873913473721, ""support"": 5416}, ""weighted avg"": {""precision"": 0.947016502579549, ""recall"": 0.9442392909896603, ""f1-score"": 0.9448364837612231, ""support"": 5416}}",0.936873913473721,0.9472771070335927,0.44294436200289056,0.4442935958970338,5418,"{""artifact"": {""precision"": 0.9750070204998595, ""recall"": 0.933584296853993, ""f1-score"": 0.9538461538461539, ""support"": 3719}, ""text"": {""precision"": 0.8669897684437264, ""recall"": 0.9476162448499117, ""f1-score"": 0.9055118110236221, ""support"": 1699}, ""accuracy"": 0.937984496124031, ""macro avg"": {""precision"": 0.920998394471793, ""recall"": 0.9406002708519523, ""f1-score"": 0.929678982434888, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9411345008905257, ""recall"": 0.937984496124031, ""f1-score"": 0.938689260443518, ""support"": 5418}}",0.929678982434888,0.9406002708519524,0.45357674604747444,0.457935372000793
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.2118249419727363,3.1987998046875,134,6250,1,5416,"{""artifact"": {""precision"": 0.977916194790487, ""recall"": 0.9314994606256742, ""f1-score"": 0.9541436464088398, ""support"": 3708}, ""text"": {""precision"": 0.8651804670912951, ""recall"": 0.9543325526932084, ""f1-score"": 0.9075723830734966, ""support"": 1708}, ""accuracy"": 0.9387001477104875, ""macro avg"": {""precision"": 0.9215483309408911, ""recall"": 0.9429160066594413, ""f1-score"": 0.9308580147411682, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9423636425544789, ""recall"": 0.9387001477104875, ""f1-score"": 0.9394568447513866, ""support"": 5416}}",0.9308580147411682,0.9429160066594413,0.4537361440015957,0.450838907295838,5418,"{""artifact"": {""precision"": 0.97576099210823, ""recall"": 0.9308954019897822, ""f1-score"": 0.9528003302600798, ""support"": 3719}, ""text"": {""precision"": 0.8625668449197861, ""recall"": 0.9493819894055326, ""f1-score"": 0.9038946483608854, ""support"": 1699}, ""accuracy"": 0.9366925064599483, ""macro avg"": {""precision"": 0.919163918514008, ""recall"": 0.9401386956976574, ""f1-score"": 0.9283474893104826, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9402650792117431, ""recall"": 0.9366925064599483, ""f1-score"": 0.9374642738653343, ""support"": 5418}}",0.9283474893104826,0.9401386956976574,0.4986896839691326,0.4589556068996899
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.1968303559697233,3.2388408203125,295,6250,2,5416,"{""artifact"": {""precision"": 0.9788732394366197, ""recall"": 0.9371628910463862, ""f1-score"": 0.9575640672361532, ""support"": 3708}, ""text"": {""precision"": 0.87513397642015, ""recall"": 0.9560889929742389, ""f1-score"": 0.9138220481253497, ""support"": 1708}, ""accuracy"": 0.9431314623338257, ""macro avg"": {""precision"": 0.9270036079283849, ""recall"": 0.9466259420103125, ""f1-score"": 0.9356930576807514, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9461578293125188, ""recall"": 0.9431314623338257, ""f1-score"": 0.9437695013865866, ""support"": 5416}}",0.9356930576807514,0.9466259420103125,0.4542315909639001,0.4626359449990559,5418,"{""artifact"": {""precision"": 0.975835908963192, ""recall"": 0.9338531863404141, ""f1-score"": 0.9543830722726024, ""support"": 3719}, ""text"": {""precision"": 0.8676707907477138, ""recall"": 0.9493819894055326, ""f1-score"": 0.9066891512085441, ""support"": 1699}, ""accuracy"": 0.9387227759320783, ""macro avg"": {""precision"": 0.9217533498554529, ""recall"": 0.9416175878729733, ""f1-score"": 0.9305361117405733, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9419170208406196, ""recall"": 0.9387227759320783, ""f1-score"": 0.9394270051098421, ""support"": 5418}}",0.9305361117405733,0.9416175878729732,0.47188708500470966,0.4678014447039459
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.2982751219533384,3.17976953125,912,6250,3,5416,"{""artifact"": {""precision"": 0.981761185522941, ""recall"": 0.9290722761596548, ""f1-score"": 0.9546903145351253, ""support"": 3708}, ""text"": {""precision"": 0.8620870477189303, ""recall"": 0.9625292740046838, ""f1-score"": 0.9095435684647303, ""support"": 1708}, ""accuracy"": 0.9396233382570163, ""macro avg"": {""precision"": 0.9219241166209357, ""recall"": 0.9458007750821693, ""f1-score"": 0.9321169414999277, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9440205231578652, ""recall"": 0.9396233382570163, ""f1-score"": 0.9404527513356727, ""support"": 5416}}",0.9321169414999277,0.9458007750821693,0.5002245049690828,0.49070407429826446,5418,"{""artifact"": {""precision"": 0.9786689419795221, ""recall"": 0.9252487227749395, ""f1-score"": 0.9512093987560472, ""support"": 3719}, ""text"": {""precision"": 0.8538380651945321, ""recall"": 0.9558563861094762, ""f1-score"": 0.9019716745348515, ""support"": 1699}, ""accuracy"": 0.9348468069398302, ""macro avg"": {""precision"": 0.9162535035870272, ""recall"": 0.9405525544422079, ""f1-score"": 0.9265905366454493, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9395239328142033, ""recall"": 0.9348468069398302, ""f1-score"": 0.9357692190860931, ""support"": 5418}}",0.9265905366454493,0.940552554442208,0.5133194960071705,0.4876076788001228
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.2491402789601125,3.1701396484375,654,6250,4,5416,"{""artifact"": {""precision"": 0.9781125639567936, ""recall"": 0.9279935275080906, ""f1-score"": 0.9523941323000277, ""support"": 3708}, ""text"": {""precision"": 0.8593256059009484, ""recall"": 0.9549180327868853, ""f1-score"": 0.9046034387132558, ""support"": 1708}, ""accuracy"": 0.9364844903988183, ""macro avg"": {""precision"": 0.918719084928871, ""recall"": 0.9414557801474879, ""f1-score"": 0.9284987855066418, ""support"": 5416}, ""weighted avg"": {""precision"": 0.940651684274485, ""recall"": 0.9364844903988183, ""f1-score"": 0.9373227688129142, ""support"": 5416}}",0.9284987855066418,0.941455780147488,0.45627999398857355,0.4551471401005983,5418,"{""artifact"": {""precision"": 0.9747732426303855, ""recall"": 0.9247109438020973, ""f1-score"": 0.9490823789154132, ""support"": 3719}, ""text"": {""precision"": 0.8518518518518519, ""recall"": 0.9476162448499117, ""f1-score"": 0.8971858456394538, ""support"": 1699}, ""accuracy"": 0.9318936877076412, ""macro avg"": {""precision"": 0.9133125472411187, ""recall"": 0.9361635943260045, ""f1-score"": 0.9231341122774335, ""support"": 5418}, ""weighted avg"": {""precision"": 0.93622701839031, ""recall"": 0.9318936877076412, ""f1-score"": 0.93280843834032, ""support"": 5418}}",0.9231341122774335,0.9361635943260045,0.4499894439941272,0.4566399704024661
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.3133636229904369,3.21342578125,520,6250,5,5416,"{""artifact"": {""precision"": 0.9790410565604364, ""recall"": 0.9196332254584682, ""f1-score"": 0.9484077318870812, ""support"": 3708}, ""text"": {""precision"": 0.8458354888773927, ""recall"": 0.9572599531615925, ""f1-score"": 0.8981049162318044, ""support"": 1708}, ""accuracy"": 0.9314992614475628, ""macro avg"": {""precision"": 0.9124382727189145, ""recall"": 0.9384465893100303, ""f1-score"": 0.9232563240594428, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9370330968849122, ""recall"": 0.9314992614475628, ""f1-score"": 0.9325441408347893, ""support"": 5416}}",0.9232563240594428,0.9384465893100303,0.4471639080438763,0.44592699100030586,5418,"{""artifact"": {""precision"": 0.9759036144578314, ""recall"": 0.9147620328045173, ""f1-score"": 0.9443442054129078, ""support"": 3719}, ""text"": {""precision"": 0.8359213250517599, ""recall"": 0.9505591524426134, ""f1-score"": 0.8895621041035529, ""support"": 1699}, ""accuracy"": 0.9259874492432631, ""macro avg"": {""precision"": 0.9059124697547956, ""recall"": 0.9326605926235654, ""f1-score"": 0.9169531547582304, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9320073594373597, ""recall"": 0.9259874492432631, ""f1-score"": 0.9271653958661019, ""support"": 5418}}",0.9169531547582304,0.9326605926235654,0.4546370700118132,0.45680679350043646
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.23686635697959,3.2061689453125,230,6250,6,5416,"{""artifact"": {""precision"": 0.9768753525098702, ""recall"": 0.9341963322545846, ""f1-score"": 0.9550592776399228, ""support"": 3708}, ""text"": {""precision"": 0.8695187165775401, ""recall"": 0.9519906323185011, ""f1-score"": 0.9088876467300168, ""support"": 1708}, ""accuracy"": 0.939807976366322, ""macro avg"": {""precision"": 0.9231970345437052, ""recall"": 0.9430934822865429, ""f1-score"": 0.9319734621849698, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9430191608236774, ""recall"": 0.939807976366322, ""f1-score"": 0.9404985048197383, ""support"": 5416}}",0.9319734621849698,0.9430934822865428,0.5164833460003138,0.4702894968970213,5418,"{""artifact"": {""precision"": 0.9752182483807378, ""recall"": 0.9311642914762033, ""f1-score"": 0.9526822558459421, ""support"": 3719}, ""text"": {""precision"": 0.8628816282806642, ""recall"": 0.948204826368452, ""f1-score"": 0.9035333707234998, ""support"": 1699}, ""accuracy"": 0.9365079365079365, ""macro avg"": {""precision"": 0.9190499383307009, ""recall"": 0.9396845589223277, ""f1-score"": 0.9281078132847209, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9399912425575511, ""recall"": 0.9365079365079365, ""f1-score"": 0.937269934726889, ""support"": 5418}}",0.9281078132847209,0.9396845589223276,0.45512645499547943,0.45502595439902505
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.1747592999599874,3.236416015625,861,6250,7,5416,"{""artifact"": {""precision"": 0.9716874292185731, ""recall"": 0.9255663430420712, ""f1-score"": 0.9480662983425414, ""support"": 3708}, ""text"": {""precision"": 0.8535031847133758, ""recall"": 0.9414519906323185, ""f1-score"": 0.8953229398663698, ""support"": 1708}, ""accuracy"": 0.930576070901034, ""macro avg"": {""precision"": 0.9125953069659745, ""recall"": 0.9335091668371949, ""f1-score"": 0.9216946191044556, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9344166224211438, ""recall"": 0.930576070901034, ""f1-score"": 0.9314330530919319, ""support"": 5416}}",0.9216946191044556,0.933509166837195,0.4551911060116254,0.4499049759004265,5418,"{""artifact"": {""precision"": 0.9708710407239819, ""recall"": 0.9230976068835709, ""f1-score"": 0.9463818056512749, ""support"": 3719}, ""text"": {""precision"": 0.8480340063761955, ""recall"": 0.9393761035903473, ""f1-score"": 0.891371125383971, ""support"": 1699}, ""accuracy"": 0.928202288667405, ""macro avg"": {""precision"": 0.9094525235500888, ""recall"": 0.9312368552369591, ""f1-score"": 0.9188764655176229, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9323512693402815, ""recall"": 0.928202288667405, ""f1-score"": 0.9291313173208672, ""support"": 5418}}",0.9188764655176229,0.931236855236959,0.4524330160347745,0.4534074422030244
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.1488878540112637,3.1925419921875,155,6250,8,5416,"{""artifact"": {""precision"": 0.9740666856654318, ""recall"": 0.9217907227615966, ""f1-score"": 0.9472079811556048, ""support"": 3708}, ""text"": {""precision"": 0.8479286837965391, ""recall"": 0.9467213114754098, ""f1-score"": 0.8946058091286307, ""support"": 1708}, ""accuracy"": 0.9296528803545052, ""macro avg"": {""precision"": 0.9109976847309854, ""recall"": 0.9342560171185033, ""f1-score"": 0.9209068951421178, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9342875669076642, ""recall"": 0.9296528803545052, ""f1-score"": 0.9306192607305546, ""support"": 5416}}",0.9209068951421178,0.9342560171185033,0.4553213600302115,0.4500503859948367,5418,"{""artifact"": {""precision"": 0.9707053469852105, ""recall"": 0.9177198171551493, ""f1-score"": 0.9434692467173463, ""support"": 3719}, ""text"": {""precision"": 0.8391167192429022, ""recall"": 0.9393761035903473, ""f1-score"": 0.8864204387670092, ""support"": 1699}, ""accuracy"": 0.9245108896271687, ""macro avg"": {""precision"": 0.9049110331140564, ""recall"": 0.9285479603727482, ""f1-score"": 0.9149448427421778, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9294412128888313, ""recall"": 0.9245108896271687, ""f1-score"": 0.9255796334453598, ""support"": 5418}}",0.9149448427421778,0.9285479603727483,0.4494718550122343,0.4507679326052312
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.1956780399777927,3.163603515625,773,6250,9,5416,"{""artifact"": {""precision"": 0.9775217757797134, ""recall"": 0.9382416396979504, ""f1-score"": 0.9574790147240952, ""support"": 3708}, ""text"": {""precision"": 0.8766828217555197, ""recall"": 0.9531615925058547, ""f1-score"": 0.9133239831697054, ""support"": 1708}, ""accuracy"": 0.9429468242245199, ""macro avg"": {""precision"": 0.9271022987676165, ""recall"": 0.9457016161019025, ""f1-score"": 0.9354014989469004, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9457210125830143, ""recall"": 0.9429468242245199, ""f1-score"": 0.9435542004894392, ""support"": 5416}}",0.9354014989469004,0.9457016161019025,0.45219526201253757,0.45332827800302766,5418,"{""artifact"": {""precision"": 0.9744812114413909, ""recall"": 0.9343909653132563, ""f1-score"": 0.9540150995195608, ""support"": 3719}, ""text"": {""precision"": 0.8682505399568035, ""recall"": 0.9464390818128311, ""f1-score"": 0.9056603773584906, ""support"": 1699}, ""accuracy"": 0.9381690660760428, ""macro avg"": {""precision"": 0.9213658756990972, ""recall"": 0.9404150235630437, ""f1-score"": 0.9298377384390257, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9411689355365711, ""recall"": 0.9381690660760428, ""f1-score"": 0.938851815475327, ""support"": 5418}}",0.9298377384390257,0.9404150235630436,0.45592065097298473,0.4561252812971361
