,train_samples,params,perf_train_runtime,model_size,seed,train_frac,index,man_validation_samples_cpp_researcher_1,classification_report_cpp_researcher_1,macro_f1_cpp_researcher_1,roc-auc_cpp_researcher_1,perf_predict_runtime_cpp_researcher_1,timeit_runtime_cpp_researcher_1,man_validation_samples_cpp_researcher_2,classification_report_cpp_researcher_2,macro_f1_cpp_researcher_2,roc-auc_cpp_researcher_2,perf_predict_runtime_cpp_researcher_2,timeit_runtime_cpp_researcher_2
0,2436,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",0.9681173789995228,3.444541015625,855,0.01,0,5416,"{""artifact"": {""precision"": 0.9695259593679458, ""recall"": 0.8917726446924474, ""f1-score"": 0.9290252805191292, ""support"": 3853}, ""text"": {""precision"": 0.7772435897435898, ""recall"": 0.9309021113243762, ""f1-score"": 0.8471615720524018, ""support"": 1563}, ""accuracy"": 0.9030649926144756, ""macro avg"": {""precision"": 0.8733847745557678, ""recall"": 0.9113373780084117, ""f1-score"": 0.8880934262857656, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9140353124471797, ""recall"": 0.9030649926144756, ""f1-score"": 0.905400284888868, ""support"": 5416}}",0.8880934262857656,0.9113373780084117,0.5487733079989994,0.5664116439000282,5418,"{""artifact"": {""precision"": 0.9676420934158695, ""recall"": 0.882700205338809, ""f1-score"": 0.9232214765100671, ""support"": 3896}, ""text"": {""precision"": 0.7548283261802575, ""recall"": 0.9244415243101183, ""f1-score"": 0.8310691080921441, ""support"": 1522}, ""accuracy"": 0.8944259874492433, ""macro avg"": {""precision"": 0.8612352097980636, ""recall"": 0.9035708648244636, ""f1-score"": 0.8771452923011056, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9078594146169398, ""recall"": 0.8944259874492433, ""f1-score"": 0.8973344509042941, ""support"": 5418}}",0.8771452923011056,0.9035708648244636,0.549298791000183,0.5555561668001247
0,2436,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",0.9399910100000852,3.541025390625,136,0.01,1,5416,"{""artifact"": {""precision"": 0.9771651350598719, ""recall"": 0.9107189203218271, ""f1-score"": 0.9427727028479312, ""support"": 3853}, ""text"": {""precision"": 0.8115068493150684, ""recall"": 0.9475367882277671, ""f1-score"": 0.8742621015348289, ""support"": 1563}, ""accuracy"": 0.9213441654357459, ""macro avg"": {""precision"": 0.8943359921874702, ""recall"": 0.9291278542747972, ""f1-score"": 0.90851740219138, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9293579155954835, ""recall"": 0.9213441654357459, ""f1-score"": 0.9230012719298405, ""support"": 5416}}",0.90851740219138,0.9291278542747969,0.5460020589998749,0.5459417453999776,5418,"{""artifact"": {""precision"": 0.9752709085857183, ""recall"": 0.9009240246406571, ""f1-score"": 0.9366244162775184, ""support"": 3896}, ""text"": {""precision"": 0.7877954920285871, ""recall"": 0.9415243101182654, ""f1-score"": 0.8578269979048189, ""support"": 1522}, ""accuracy"": 0.912329272794389, ""macro avg"": {""precision"": 0.8815332003071528, ""recall"": 0.9212241673794612, ""f1-score"": 0.8972257070911687, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9226061643996802, ""recall"": 0.912329272794389, ""f1-score"": 0.9144890026999531, ""support"": 5418}}",0.8972257070911687,0.9212241673794613,0.5453176079990953,0.5455819398999665
0,2436,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",0.8797009810004965,3.427353515625,526,0.01,2,5416,"{""artifact"": {""precision"": 0.9736177378613527, ""recall"": 0.9003373994290164, ""f1-score"": 0.9355447680690399, ""support"": 3853}, ""text"": {""precision"": 0.7927684835402051, ""recall"": 0.9398592450415867, ""f1-score"": 0.8600702576112412, ""support"": 1563}, ""accuracy"": 0.9117429837518464, ""macro avg"": {""precision"": 0.8831931107007789, ""recall"": 0.9200983222353015, ""f1-score"": 0.8978075128401406, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9214265664241382, ""recall"": 0.9117429837518464, ""f1-score"": 0.9137636270340437, ""support"": 5416}}",0.8978075128401406,0.9200983222353015,0.5508783189998212,0.5435667331999866,5418,"{""artifact"": {""precision"": 0.9717166059927191, ""recall"": 0.8906570841889117, ""f1-score"": 0.9294227936252845, ""support"": 3896}, ""text"": {""precision"": 0.7693557119653492, ""recall"": 0.9336399474375822, ""f1-score"": 0.8435737607598695, ""support"": 1522}, ""accuracy"": 0.9027316352897748, ""macro avg"": {""precision"": 0.8705361589790341, ""recall"": 0.912148515813247, ""f1-score"": 0.8864982771925769, ""support"": 5418}, ""weighted avg"": {""precision"": 0.914870300952177, ""recall"": 0.9027316352897748, ""f1-score"": 0.9053064724696621, ""support"": 5418}}",0.8864982771925769,0.9121485158132469,0.5479185090007377,0.5429789808998976
0,2436,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",0.886939585001528,3.371259765625,864,0.01,3,5416,"{""artifact"": {""precision"": 0.9656434807096592, ""recall"": 0.8899558785362055, ""f1-score"": 0.9262560777957859, ""support"": 3853}, ""text"": {""precision"": 0.7726541554959786, ""recall"": 0.9219449776071658, ""f1-score"": 0.840723453908985, ""support"": 1563}, ""accuracy"": 0.8991875923190547, ""macro avg"": {""precision"": 0.8691488181028189, ""recall"": 0.9059504280716857, ""f1-score"": 0.8834897658523855, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9099488139243965, ""recall"": 0.8991875923190547, ""f1-score"": 0.9015722721947759, ""support"": 5416}}",0.8834897658523855,0.9059504280716858,0.5398995240011573,0.5449056954999832,5418,"{""artifact"": {""precision"": 0.962952568060623, ""recall"": 0.88064681724846, ""f1-score"": 0.9199624614559592, ""support"": 3896}, ""text"": {""precision"": 0.7493261455525606, ""recall"": 0.9132720105124835, ""f1-score"": 0.8232158720758069, ""support"": 1522}, ""accuracy"": 0.8898117386489479, ""macro avg"": {""precision"": 0.8561393568065918, ""recall"": 0.8969594138804717, ""f1-score"": 0.871589166765883, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9029416018263537, ""recall"": 0.8898117386489479, ""f1-score"": 0.892784848123255, ""support"": 5418}}",0.871589166765883,0.8969594138804716,0.5491275719996338,0.5431113991999155
0,2436,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",0.9113435560011567,3.429775390625,807,0.01,4,5416,"{""artifact"": {""precision"": 0.9678520625889047, ""recall"": 0.8829483519335583, ""f1-score"": 0.9234527687296417, ""support"": 3853}, ""text"": {""precision"": 0.7627564439768543, ""recall"": 0.927703134996801, ""f1-score"": 0.8371824480369514, ""support"": 1563}, ""accuracy"": 0.895864106351551, ""macro avg"": {""precision"": 0.8653042532828794, ""recall"": 0.9053257434651796, ""f1-score"": 0.8803176083832965, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9086636482811804, ""recall"": 0.895864106351551, ""f1-score"": 0.898556071675972, ""support"": 5416}}",0.8803176083832965,0.9053257434651796,0.5397900299994944,0.5616403095000351,5418,"{""artifact"": {""precision"": 0.9661931818181818, ""recall"": 0.872946611909651, ""f1-score"": 0.9172060409924487, ""support"": 3896}, ""text"": {""precision"": 0.7391991570073762, ""recall"": 0.9218134034165572, ""f1-score"": 0.8204678362573099, ""support"": 1522}, ""accuracy"": 0.8866740494647471, ""macro avg"": {""precision"": 0.852696169412779, ""recall"": 0.897380007663104, ""f1-score"": 0.8688369386248793, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9024270493408754, ""recall"": 0.8866740494647471, ""f1-score"": 0.8900307830362136, ""support"": 5418}}",0.8688369386248793,0.8973800076631041,0.5473217819999263,0.5615982590001295
0,4871,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.779850943999918,5.996591796875,399,0.02,0,5416,"{""artifact"": {""precision"": 0.9723899913718723, ""recall"": 0.8774980534648326, ""f1-score"": 0.9225102319236016, ""support"": 3853}, ""text"": {""precision"": 0.7565755544094894, ""recall"": 0.9385796545105566, ""f1-score"": 0.8378069674471731, ""support"": 1563}, ""accuracy"": 0.8951255539143279, ""macro avg"": {""precision"": 0.8644827728906809, ""recall"": 0.9080388539876946, ""f1-score"": 0.8801585996853873, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9101082400845376, ""recall"": 0.8951255539143279, ""f1-score"": 0.898065770628059, ""support"": 5416}}",0.8801585996853873,0.9080388539876946,0.5489720610003133,0.5608349060999899,5418,"{""artifact"": {""precision"": 0.9707652622527945, ""recall"": 0.86935318275154, ""f1-score"": 0.9172647257955314, ""support"": 3896}, ""text"": {""precision"": 0.736132711249352, ""recall"": 0.9329829172141918, ""f1-score"": 0.8229498696030136, ""support"": 1522}, ""accuracy"": 0.8872277593207826, ""macro avg"": {""precision"": 0.8534489867510733, ""recall"": 0.9011680499828659, ""f1-score"": 0.8701072976992725, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9048533496231821, ""recall"": 0.8872277593207826, ""f1-score"": 0.8907702239267585, ""support"": 5418}}",0.8701072976992725,0.9011680499828659,0.5503474170000118,0.5497268721001092
0,4871,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.575807380999322,5.828466796875,885,0.02,1,5416,"{""artifact"": {""precision"": 0.9705555555555555, ""recall"": 0.9068258499870231, ""f1-score"": 0.9376090165034214, ""support"": 3853}, ""text"": {""precision"": 0.8023127753303965, ""recall"": 0.9321817018554063, ""f1-score"": 0.8623853211009175, ""support"": 1563}, ""accuracy"": 0.9141432791728212, ""macro avg"": {""precision"": 0.8864341654429759, ""recall"": 0.9195037759212147, ""f1-score"": 0.8999971688021695, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9220024784706361, ""recall"": 0.9141432791728212, ""f1-score"": 0.9159002580259263, ""support"": 5416}}",0.8999971688021695,0.9195037759212146,0.5465047229990887,0.5569414798999788,5418,"{""artifact"": {""precision"": 0.9701162147205312, ""recall"": 0.8998973305954825, ""f1-score"": 0.9336884154460718, ""support"": 3896}, ""text"": {""precision"": 0.7838137472283814, ""recall"": 0.9290407358738502, ""f1-score"": 0.8502705953096813, ""support"": 1522}, ""accuracy"": 0.9080841638981174, ""macro avg"": {""precision"": 0.8769649809744563, ""recall"": 0.9144690332346663, ""f1-score"": 0.8919795053778765, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9177809700688051, ""recall"": 0.9080841638981174, ""f1-score"": 0.9102550595495074, ""support"": 5418}}",0.8919795053778765,0.9144690332346663,0.5518017299982603,0.5507384634998743
0,4871,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.6436307359999773,5.906826171875,544,0.02,2,5416,"{""artifact"": {""precision"": 0.975548060708263, ""recall"": 0.9008564754736569, ""f1-score"": 0.9367156928889488, ""support"": 3853}, ""text"": {""precision"": 0.7944025834230355, ""recall"": 0.944337811900192, ""f1-score"": 0.8629055831628178, ""support"": 1563}, ""accuracy"": 0.9134047267355982, ""macro avg"": {""precision"": 0.8849753220656493, ""recall"": 0.9225971436869245, ""f1-score"": 0.8998106380258833, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9232714024739923, ""recall"": 0.9134047267355982, ""f1-score"": 0.915414880203952, ""support"": 5416}}",0.8998106380258833,0.9225971436869245,0.5454353299992363,0.5557351417999599,5418,"{""artifact"": {""precision"": 0.9733595064498037, ""recall"": 0.8909137577002053, ""f1-score"": 0.9303135888501741, ""support"": 3896}, ""text"": {""precision"": 0.7705183585313174, ""recall"": 0.9375821287779238, ""f1-score"": 0.84588026081802, ""support"": 1522}, ""accuracy"": 0.9040236249538575, ""macro avg"": {""precision"": 0.8719389324905606, ""recall"": 0.9142479432390646, ""f1-score"": 0.8880969248340971, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9163782906631783, ""recall"": 0.9040236249538575, ""f1-score"": 0.9065949610788676, ""support"": 5418}}",0.8880969248340971,0.9142479432390646,0.5534470610000426,0.5432561780000469
0,4871,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.587937795000471,5.844013671875,919,0.02,3,5416,"{""artifact"": {""precision"": 0.9717434303475558, ""recall"": 0.8925512587594082, ""f1-score"": 0.9304653679653679, ""support"": 3853}, ""text"": {""precision"": 0.7794352690463505, ""recall"": 0.9360204734484965, ""f1-score"": 0.8505813953488373, ""support"": 1563}, ""accuracy"": 0.905096011816839, ""macro avg"": {""precision"": 0.8755893496969531, ""recall"": 0.9142858661039523, ""f1-score"": 0.8905233816571025, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9162453402231496, ""recall"": 0.905096011816839, ""f1-score"": 0.9074117030466756, ""support"": 5416}}",0.8905233816571025,0.9142858661039523,0.5402769930005888,0.5602216410999972,5418,"{""artifact"": {""precision"": 0.9703891708967851, ""recall"": 0.8832135523613963, ""f1-score"": 0.9247514109110454, ""support"": 3896}, ""text"": {""precision"": 0.7569444444444444, ""recall"": 0.931011826544021, ""f1-score"": 0.8350029463759576, ""support"": 1522}, ""accuracy"": 0.896640826873385, ""macro avg"": {""precision"": 0.8636668076706148, ""recall"": 0.9071126894527086, ""f1-score"": 0.8798771786435016, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9104292458948541, ""recall"": 0.896640826873385, ""f1-score"": 0.8995396790870507, ""support"": 5418}}",0.8798771786435016,0.9071126894527087,0.5825924100008706,0.5699271948000387
0,4871,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.9268439790012053,5.945888671875,619,0.02,4,5416,"{""artifact"": {""precision"": 0.9725792630676949, ""recall"": 0.883726966000519, ""f1-score"": 0.9260266521620887, ""support"": 3853}, ""text"": {""precision"": 0.7660574412532637, ""recall"": 0.9385796545105566, ""f1-score"": 0.8435882691201839, ""support"": 1563}, ""accuracy"": 0.8995568685376661, ""macro avg"": {""precision"": 0.8693183521604793, ""recall"": 0.9111533102555378, ""f1-score"": 0.8848074606411362, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9129792616836558, ""recall"": 0.8995568685376661, ""f1-score"": 0.9022358115611845, ""support"": 5416}}",0.8848074606411362,0.9111533102555379,0.5969060579991492,0.5944624305000616,5418,"{""artifact"": {""precision"": 0.9715343011670936, ""recall"": 0.8760266940451745, ""f1-score"": 0.9213119179376433, ""support"": 3896}, ""text"": {""precision"": 0.7464566929133858, ""recall"": 0.9342969776609724, ""f1-score"": 0.8298803618325065, ""support"": 1522}, ""accuracy"": 0.8923957179771134, ""macro avg"": {""precision"": 0.8589954970402397, ""recall"": 0.9051618358530735, ""f1-score"": 0.8755961398850749, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9083065197418179, ""recall"": 0.8923957179771134, ""f1-score"": 0.8956273796593084, ""support"": 5418}}",0.8755961398850749,0.9051618358530734,0.5522893739998835,0.5700929725999231
