,train_samples,params,perf_train_runtime,model_size,seed,train_frac,index,man_validation_samples_cpp_researcher_1,classification_report_cpp_researcher_1,macro_f1_cpp_researcher_1,roc-auc_cpp_researcher_1,perf_predict_runtime_cpp_researcher_1,timeit_runtime_cpp_researcher_1,man_validation_samples_cpp_researcher_2,classification_report_cpp_researcher_2,macro_f1_cpp_researcher_2,roc-auc_cpp_researcher_2,perf_predict_runtime_cpp_researcher_2,timeit_runtime_cpp_researcher_2
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.2401162220048718,6.5318544921875,371,6250,0,5416,"{""artifact"": {""precision"": 0.9764969222160045, ""recall"": 0.9412081984897519, ""f1-score"": 0.9585278769568801, ""support"": 3708}, ""text"": {""precision"": 0.8816503800217155, ""recall"": 0.9508196721311475, ""f1-score"": 0.9149295774647888, ""support"": 1708}, ""accuracy"": 0.9442392909896603, ""macro avg"": {""precision"": 0.92907365111886, ""recall"": 0.9460139353104497, ""f1-score"": 0.9367287272108344, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9465859373438026, ""recall"": 0.9442392909896603, ""f1-score"": 0.9447786347980006, ""support"": 5416}}",0.9367287272108344,0.9460139353104497,0.5648777280002832,0.5660657732019899,5418,"{""artifact"": {""precision"": 0.9728595411303861, ""recall"": 0.9349287442860984, ""f1-score"": 0.95351707116413, ""support"": 3719}, ""text"": {""precision"": 0.868763557483731, ""recall"": 0.9429075927015892, ""f1-score"": 0.9043183742591024, ""support"": 1699}, ""accuracy"": 0.9374307862679956, ""macro avg"": {""precision"": 0.9208115493070586, ""recall"": 0.9389181684938438, ""f1-score"": 0.9289177227116162, ""support"": 5418}, ""weighted avg"": {""precision"": 0.940216669920407, ""recall"": 0.9374307862679956, ""f1-score"": 0.938089129849689, ""support"": 5418}}",0.9289177227116162,0.9389181684938437,0.568683218996739,0.573985954001546
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.3021737149974797,6.5104755859375,841,6250,1,5416,"{""artifact"": {""precision"": 0.9809821175134829, ""recall"": 0.9320388349514563, ""f1-score"": 0.9558843866685105, ""support"": 3708}, ""text"": {""precision"": 0.866877971473851, ""recall"": 0.9607728337236534, ""f1-score"": 0.9114134962510414, ""support"": 1708}, ""accuracy"": 0.9411004431314623, ""macro avg"": {""precision"": 0.9239300444936669, ""recall"": 0.9464058343375549, ""f1-score"": 0.933648941459776, ""support"": 5416}, ""weighted avg"": {""precision"": 0.944998018282373, ""recall"": 0.9411004431314623, ""f1-score"": 0.9418599625856011, ""support"": 5416}}",0.933648941459776,0.9464058343375549,0.5620580300164875,0.5590301101008663,5418,"{""artifact"": {""precision"": 0.9773435287453979, ""recall"": 0.9279376176391503, ""f1-score"": 0.9520000000000001, ""support"": 3719}, ""text"": {""precision"": 0.8579756226815051, ""recall"": 0.9529134785167745, ""f1-score"": 0.9029559397657558, ""support"": 1699}, ""accuracy"": 0.9357696566998892, ""macro avg"": {""precision"": 0.9176595757134515, ""recall"": 0.9404255480779624, ""f1-score"": 0.9274779698828779, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9399116216943543, ""recall"": 0.9357696566998892, ""f1-score"": 0.9366205503252159, ""support"": 5418}}",0.9274779698828779,0.9404255480779624,0.5657045939879026,0.5648404181993101
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.354147464997368,6.7253017578125,148,6250,2,5416,"{""artifact"": {""precision"": 0.9784702549575071, ""recall"": 0.9314994606256742, ""f1-score"": 0.9544072948328267, ""support"": 3708}, ""text"": {""precision"": 0.865323435843054, ""recall"": 0.955503512880562, ""f1-score"": 0.9081803005008346, ""support"": 1708}, ""accuracy"": 0.939069423929099, ""macro avg"": {""precision"": 0.9218968454002805, ""recall"": 0.9435014867531182, ""f1-score"": 0.9312937976668307, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9427880601555341, ""recall"": 0.939069423929099, ""f1-score"": 0.9398290624991779, ""support"": 5416}}",0.9312937976668307,0.9435014867531182,0.5753054019878618,0.5563588182005332,5418,"{""artifact"": {""precision"": 0.9759819157954225, ""recall"": 0.9287442860984135, ""f1-score"": 0.9517773491319923, ""support"": 3719}, ""text"": {""precision"": 0.8589675359233635, ""recall"": 0.949970570924073, ""f1-score"": 0.90217998882057, ""support"": 1699}, ""accuracy"": 0.9354005167958657, ""macro avg"": {""precision"": 0.9174747258593929, ""recall"": 0.9393574285112433, ""f1-score"": 0.9269786689762811, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9392880377218477, ""recall"": 0.9354005167958657, ""f1-score"": 0.9362243932129988, ""support"": 5418}}",0.9269786689762811,0.9393574285112432,0.5857770509901457,0.5969915881985799
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.4118346479954198,6.6040498046875,735,6250,3,5416,"{""artifact"": {""precision"": 0.9764271513774496, ""recall"": 0.9271844660194175, ""f1-score"": 0.9511689030294647, ""support"": 3708}, ""text"": {""precision"": 0.8575197889182058, ""recall"": 0.9514051522248244, ""f1-score"": 0.9020260893699695, ""support"": 1708}, ""accuracy"": 0.9348227474150664, ""macro avg"": {""precision"": 0.9169734701478277, ""recall"": 0.9392948091221209, ""f1-score"": 0.9265974961997171, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9389283007348374, ""recall"": 0.9348227474150664, ""f1-score"": 0.9356711323997716, ""support"": 5416}}",0.9265974961997171,0.9392948091221209,0.5593471349857282,0.5701929910981562,5418,"{""artifact"": {""precision"": 0.9736693091732729, ""recall"": 0.9247109438020973, ""f1-score"": 0.948558819473176, ""support"": 3719}, ""text"": {""precision"": 0.8515376458112407, ""recall"": 0.9452619187757504, ""f1-score"": 0.895955369595537, ""support"": 1699}, ""accuracy"": 0.931155407899594, ""macro avg"": {""precision"": 0.9126034774922568, ""recall"": 0.9349864312889238, ""f1-score"": 0.9222570945343564, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9353707310905685, ""recall"": 0.931155407899594, ""f1-score"": 0.9320632009161238, ""support"": 5418}}",0.9222570945343564,0.9349864312889238,0.5732593930151779,0.5848412608989747
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.401573331997497,6.532865234375,756,6250,4,5416,"{""artifact"": {""precision"": 0.9782362916902204, ""recall"": 0.9333872707659115, ""f1-score"": 0.9552856748550925, ""support"": 3708}, ""text"": {""precision"": 0.8684771033013845, ""recall"": 0.9549180327868853, ""f1-score"": 0.909648633575014, ""support"": 1708}, ""accuracy"": 0.9401772525849336, ""macro avg"": {""precision"": 0.9233566974958025, ""recall"": 0.9441526517763984, ""f1-score"": 0.9324671542150533, ""support"": 5416}, ""weighted avg"": {""precision"": 0.943622426518852, ""recall"": 0.9401772525849336, ""f1-score"": 0.9408934912313158, ""support"": 5416}}",0.9324671542150533,0.9441526517763984,0.5488875290029682,0.5561615690996404,5418,"{""artifact"": {""precision"": 0.9755067567567568, ""recall"": 0.9317020704490454, ""f1-score"": 0.9531013615733736, ""support"": 3719}, ""text"": {""precision"": 0.8638799571275455, ""recall"": 0.9487934078869924, ""f1-score"": 0.9043478260869565, ""support"": 1699}, ""accuracy"": 0.9370616463639719, ""macro avg"": {""precision"": 0.9196933569421512, ""recall"": 0.9402477391680188, ""f1-score"": 0.928724593830165, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9405023395234547, ""recall"": 0.9370616463639719, ""f1-score"": 0.9378130159123504, ""support"": 5418}}",0.928724593830165,0.940247739168019,0.5693510769924615,0.5608908760012128
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.595988118002424,6.383853515625,597,6250,5,5416,"{""artifact"": {""precision"": 0.9754653130287648, ""recall"": 0.9328478964401294, ""f1-score"": 0.9536807278742763, ""support"": 3708}, ""text"": {""precision"": 0.8668449197860962, ""recall"": 0.9490632318501171, ""f1-score"": 0.9060927892677474, ""support"": 1708}, ""accuracy"": 0.9379615952732644, ""macro avg"": {""precision"": 0.9211551164074305, ""recall"": 0.9409555641451233, ""f1-score"": 0.9298867585710118, ""support"": 5416}, ""weighted avg"": {""precision"": 0.941210580447805, ""recall"": 0.9379615952732644, ""f1-score"": 0.9386733055810801, ""support"": 5416}}",0.9298867585710118,0.9409555641451233,0.5626510579895694,0.6027952778997132,5418,"{""artifact"": {""precision"": 0.9740845070422535, ""recall"": 0.9298198440440979, ""f1-score"": 0.9514376117760353, ""support"": 3719}, ""text"": {""precision"": 0.8602783725910065, ""recall"": 0.9458505002942907, ""f1-score"": 0.9010372862349313, ""support"": 1699}, ""accuracy"": 0.9348468069398302, ""macro avg"": {""precision"": 0.91718143981663, ""recall"": 0.9378351721691943, ""f1-score"": 0.9262374490054832, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9383966845186896, ""recall"": 0.9348468069398302, ""f1-score"": 0.9356328585286496, ""support"": 5418}}",0.9262374490054832,0.9378351721691944,0.5697970720066223,0.5836269021994667
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.28477614899748,6.4971044921875,108,6250,6,5416,"{""artifact"": {""precision"": 0.976068376068376, ""recall"": 0.9239482200647249, ""f1-score"": 0.9492934330839566, ""support"": 3708}, ""text"": {""precision"": 0.8520461699895068, ""recall"": 0.9508196721311475, ""f1-score"": 0.898727172108467, ""support"": 1708}, ""accuracy"": 0.9324224519940916, ""macro avg"": {""precision"": 0.9140572730289414, ""recall"": 0.9373839460979362, ""f1-score"": 0.9240103025962119, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9369564986712733, ""recall"": 0.9324224519940916, ""f1-score"": 0.9333467614173878, ""support"": 5416}}",0.9240103025962119,0.9373839460979362,0.5563394850178156,0.5528838939993875,5418,"{""artifact"": {""precision"": 0.9747159090909091, ""recall"": 0.9225598279107287, ""f1-score"": 0.9479209835612654, ""support"": 3719}, ""text"": {""precision"": 0.8482613277133825, ""recall"": 0.9476162448499117, ""f1-score"": 0.8951904364748402, ""support"": 1699}, ""accuracy"": 0.9304171280915466, ""macro avg"": {""precision"": 0.9114886184021458, ""recall"": 0.9350880363803202, ""f1-score"": 0.9215557100180528, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9350617315788349, ""recall"": 0.9304171280915466, ""f1-score"": 0.931385509308804, ""support"": 5418}}",0.9215557100180528,0.9350880363803201,0.5677751179900952,0.5608308138005669
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.3022870699933264,6.7325283203125,263,6250,7,5416,"{""artifact"": {""precision"": 0.9824561403508771, ""recall"": 0.9363538295577131, ""f1-score"": 0.9588511460922396, ""support"": 3708}, ""text"": {""precision"": 0.8746014877789585, ""recall"": 0.9637002341920374, ""f1-score"": 0.9169916434540389, ""support"": 1708}, ""accuracy"": 0.9449778434268833, ""macro avg"": {""precision"": 0.9285288140649178, ""recall"": 0.9500270318748752, ""f1-score"": 0.9379213947731393, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9484428931956266, ""recall"": 0.9449778434268833, ""f1-score"": 0.9456502541967362, ""support"": 5416}}",0.9379213947731393,0.9500270318748754,0.5611381360213272,0.5575061423005536,5418,"{""artifact"": {""precision"": 0.979131415679639, ""recall"": 0.933584296853993, ""f1-score"": 0.9558155540261528, ""support"": 3719}, ""text"": {""precision"": 0.8680555555555556, ""recall"": 0.9564449676280165, ""f1-score"": 0.9101092131055727, ""support"": 1699}, ""accuracy"": 0.9407530454042082, ""macro avg"": {""precision"": 0.9235934856175974, ""recall"": 0.9450146322410047, ""f1-score"": 0.9329623835658627, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9442997644520978, ""recall"": 0.9407530454042082, ""f1-score"": 0.9414827608877132, ""support"": 5418}}",0.9329623835658627,0.9450146322410047,0.5648013919999357,0.5623174006002956
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.2570626490050927,6.315341796875,777,6250,8,5416,"{""artifact"": {""precision"": 0.9765739385065886, ""recall"": 0.8994066882416397, ""f1-score"": 0.9364032008984979, ""support"": 3708}, ""text"": {""precision"": 0.8135932033983009, ""recall"": 0.9531615925058547, ""f1-score"": 0.87786465354543, ""support"": 1708}, ""accuracy"": 0.9163589364844904, ""macro avg"": {""precision"": 0.8950835709524447, ""recall"": 0.9262841403737472, ""f1-score"": 0.907133927221964, ""support"": 5416}, ""weighted avg"": {""precision"": 0.925176025736102, ""recall"": 0.9163589364844904, ""f1-score"": 0.9179423739267402, ""support"": 5416}}",0.907133927221964,0.9262841403737472,0.553305295004975,0.5533796709991293,5418,"{""artifact"": {""precision"": 0.9737226277372263, ""recall"": 0.8967464372143049, ""f1-score"": 0.9336506159014557, ""support"": 3719}, ""text"": {""precision"": 0.8073256397390868, ""recall"": 0.9470276633313714, ""f1-score"": 0.8716143011917661, ""support"": 1699}, ""accuracy"": 0.9125138427464009, ""macro avg"": {""precision"": 0.8905241337381565, ""recall"": 0.9218870502728382, ""f1-score"": 0.9026324585466109, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9215431366687805, ""recall"": 0.9125138427464009, ""f1-score"": 0.9141969985718575, ""support"": 5418}}",0.9026324585466109,0.9218870502728381,0.5639405190013349,0.5578311969991774
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.2563740290061105,6.5761005859375,827,6250,9,5416,"{""artifact"": {""precision"": 0.9757814700084483, ""recall"": 0.9344660194174758, ""f1-score"": 0.9546769527483124, ""support"": 3708}, ""text"": {""precision"": 0.8697050938337801, ""recall"": 0.949648711943794, ""f1-score"": 0.9079205149734118, ""support"": 1708}, ""accuracy"": 0.9392540620384048, ""macro avg"": {""precision"": 0.9227432819211142, ""recall"": 0.9420573656806348, ""f1-score"": 0.931298733860862, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9423290234600116, ""recall"": 0.9392540620384048, ""f1-score"": 0.9399317541294923, ""support"": 5416}}",0.931298733860862,0.9420573656806349,0.5517615560092963,0.5534004054992693,5418,"{""artifact"": {""precision"": 0.9728966685488425, ""recall"": 0.9265931702070449, ""f1-score"": 0.9491805536427489, ""support"": 3719}, ""text"": {""precision"": 0.8544776119402985, ""recall"": 0.9434961742201294, ""f1-score"": 0.8967832167832168, ""support"": 1699}, ""accuracy"": 0.9318936877076412, ""macro avg"": {""precision"": 0.9136871402445705, ""recall"": 0.9350446722135872, ""f1-score"": 0.9229818852129829, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9357623058360487, ""recall"": 0.9318936877076412, ""f1-score"": 0.9327495689021905, ""support"": 5418}}",0.9229818852129829,0.9350446722135872,0.5562524609849788,0.5581460408982821
0,12500,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",3.1192155689932406,11.411294921875,593,12500,0,5416,"{""artifact"": {""precision"": 0.9760967379077615, ""recall"": 0.936084142394822, ""f1-score"": 0.9556718061674009, ""support"": 3708}, ""text"": {""precision"": 0.8725806451612903, ""recall"": 0.9502341920374707, ""f1-score"": 0.9097533632286995, ""support"": 1708}, ""accuracy"": 0.9405465288035451, ""macro avg"": {""precision"": 0.924338691534526, ""recall"": 0.9431591672161463, ""f1-score"": 0.9327125846980502, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9434517071819541, ""recall"": 0.9405465288035451, ""f1-score"": 0.9411908791845165, ""support"": 5416}}",0.9327125846980502,0.9431591672161465,0.5557733740133699,0.5607424269022886,5418,"{""artifact"": {""precision"": 0.9738910724312184, ""recall"": 0.9327776283947298, ""f1-score"": 0.9528910863892323, ""support"": 3719}, ""text"": {""precision"": 0.865301724137931, ""recall"": 0.9452619187757504, ""f1-score"": 0.9035161744022503, ""support"": 1699}, ""accuracy"": 0.9366925064599483, ""macro avg"": {""precision"": 0.9195963982845747, ""recall"": 0.9390197735852401, ""f1-score"": 0.9282036303957413, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9398391523960957, ""recall"": 0.9366925064599483, ""f1-score"": 0.9374078867831263, ""support"": 5418}}",0.9282036303957413,0.9390197735852401,0.5738019650161732,0.5655433879990597
0,12500,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",3.0205783230194356,11.2133056640625,425,12500,1,5416,"{""artifact"": {""precision"": 0.9784253292238723, ""recall"": 0.941747572815534, ""f1-score"": 0.9597361550089323, ""support"": 3708}, ""text"": {""precision"": 0.8830536004331349, ""recall"": 0.9549180327868853, ""f1-score"": 0.9175808720112518, ""support"": 1708}, ""accuracy"": 0.9459010339734121, ""macro avg"": {""precision"": 0.9307394648285036, ""recall"": 0.9483328028012097, ""f1-score"": 0.938658513510092, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9483487205136472, ""recall"": 0.9459010339734121, ""f1-score"": 0.9464419852600331, ""support"": 5416}}",0.938658513510092,0.9483328028012097,0.5580950489966199,0.5600238576997072,5418,"{""artifact"": {""precision"": 0.9748110831234257, ""recall"": 0.9365420812046249, ""f1-score"": 0.9552934722984092, ""support"": 3719}, ""text"": {""precision"": 0.8720867208672086, ""recall"": 0.9470276633313714, ""f1-score"": 0.9080135440180587, ""support"": 1699}, ""accuracy"": 0.9398301956441492, ""macro avg"": {""precision"": 0.9234489019953172, ""recall"": 0.9417848722679982, ""f1-score"": 0.931653508158234, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9425983309135119, ""recall"": 0.9398301956441492, ""f1-score"": 0.9404672267929984, ""support"": 5418}}",0.931653508158234,0.9417848722679982,0.5769165230158251,0.5646094566007378
0,12500,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",2.967915390006965,11.0677509765625,220,12500,2,5416,"{""artifact"": {""precision"": 0.9754052543320291, ""recall"": 0.9412081984897519, ""f1-score"": 0.9580016469942355, ""support"": 3708}, ""text"": {""precision"": 0.8813928182807399, ""recall"": 0.9484777517564403, ""f1-score"": 0.9137055837563453, ""support"": 1708}, ""accuracy"": 0.9435007385524372, ""macro avg"": {""precision"": 0.9283990363063845, ""recall"": 0.9448429751230961, ""f1-score"": 0.9358536153752903, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9457573147501233, ""recall"": 0.9435007385524372, ""f1-score"": 0.9440323567412229, ""support"": 5416}}",0.9358536153752903,0.9448429751230961,0.5640018440026324,0.5620982616004767,5418,"{""artifact"": {""precision"": 0.9735449735449735, ""recall"": 0.9400376445280989, ""f1-score"": 0.9564979480164157, ""support"": 3719}, ""text"": {""precision"": 0.8779419813902573, ""recall"": 0.9440847557386698, ""f1-score"": 0.9098128190584232, ""support"": 1699}, ""accuracy"": 0.9413067552602437, ""macro avg"": {""precision"": 0.9257434774676154, ""recall"": 0.9420612001333843, ""f1-score"": 0.9331553835374194, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9435653715385387, ""recall"": 0.9413067552602437, ""f1-score"": 0.9418582222689759, ""support"": 5418}}",0.9331553835374194,0.9420612001333843,0.5642448080179747,0.5669471313012764
