,train_samples,params,perf_train_runtime,model_size,seed,train_frac,index,man_validation_samples_python_researcher_1,classification_report_python_researcher_1,macro_f1_python_researcher_1,roc-auc_python_researcher_1,perf_predict_runtime_python_researcher_1,timeit_runtime_python_researcher_1,man_validation_samples_python_researcher_2,classification_report_python_researcher_2,macro_f1_python_researcher_2,roc-auc_python_researcher_2,perf_predict_runtime_python_researcher_2,timeit_runtime_python_researcher_2
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.18676744698314,4.5902529296875,572,6250,0,10901,"{""artifact"": {""precision"": 0.9829258298046715, ""recall"": 0.8626228722128986, ""f1-score"": 0.9188533486560684, ""support"": 8342}, ""text"": {""precision"": 0.6798882681564246, ""recall"": 0.9511527940601797, ""f1-score"": 0.7929630232936961, ""support"": 2559}, ""accuracy"": 0.8834051921842033, ""macro avg"": {""precision"": 0.8314070489805481, ""recall"": 0.9068878331365391, ""f1-score"": 0.8559081859748823, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9117880332485883, ""recall"": 0.8834051921842033, ""f1-score"": 0.8893007073752399, ""support"": 10901}}",0.8559081859748823,0.9068878331365392,0.8073706669965759,0.7977162480994593,10983,"{""artifact"": {""precision"": 0.9810913019989195, ""recall"": 0.8619912187017919, ""f1-score"": 0.91769313372497, ""support"": 8427}, ""text"": {""precision"": 0.6750488963397597, ""recall"": 0.945226917057903, ""f1-score"": 0.7876120619396902, ""support"": 2556}, ""accuracy"": 0.8813621050714741, ""macro avg"": {""precision"": 0.8280700991693396, ""recall"": 0.9036090678798474, ""f1-score"": 0.85265259783233, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9098681035226551, ""recall"": 0.8813621050714741, ""f1-score"": 0.8874202374777538, ""support"": 10983}}",0.85265259783233,0.9036090678798474,0.8014230990083888,0.8022799007012509
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.2061239830218256,4.7359765625,431,6250,1,10901,"{""artifact"": {""precision"": 0.9860342920353983, ""recall"": 0.8548309757851834, ""f1-score"": 0.9157570309490176, ""support"": 8342}, ""text"": {""precision"": 0.6699373126192423, ""recall"": 0.9605314576006252, ""f1-score"": 0.7893384714193962, ""support"": 2559}, ""accuracy"": 0.8796440693514357, ""macro avg"": {""precision"": 0.8279858023273203, ""recall"": 0.9076812166929042, ""f1-score"": 0.8525477511842069, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9118308088388158, ""recall"": 0.8796440693514357, ""f1-score"": 0.8860803871698872, ""support"": 10901}}",0.8525477511842069,0.9076812166929042,0.7986057379748672,0.8036798159009777,10983,"{""artifact"": {""precision"": 0.9835908655818406, ""recall"": 0.8535659190696571, ""f1-score"": 0.913977128335451, ""support"": 8427}, ""text"": {""precision"": 0.6637602179836513, ""recall"": 0.9530516431924883, ""f1-score"": 0.7825248955991005, ""support"": 2556}, ""accuracy"": 0.8767185650550852, ""macro avg"": {""precision"": 0.8236755417827459, ""recall"": 0.9033087811310727, ""f1-score"": 0.8482510119672757, ""support"": 10983}, ""weighted avg"": {""precision"": 0.909158821945223, ""recall"": 0.8767185650550852, ""f1-score"": 0.8833851309873574, ""support"": 10983}}",0.8482510119672757,0.9033087811310726,0.7978651919984259,0.7930832170997746
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.1756081969942898,4.7133486328125,261,6250,2,10901,"{""artifact"": {""precision"": 0.9857281418872108, ""recall"": 0.8527930951810118, ""f1-score"": 0.9144546564689249, ""support"": 8342}, ""text"": {""precision"": 0.6666666666666666, ""recall"": 0.9597499023055881, ""f1-score"": 0.786801217363447, ""support"": 2559}, ""accuracy"": 0.8779011099899092, ""macro avg"": {""precision"": 0.8261974042769387, ""recall"": 0.9062714987432999, ""f1-score"": 0.850627936916186, ""support"": 10901}, ""weighted avg"": {""precision"": 0.910828745952033, ""recall"": 0.8779011099899092, ""f1-score"": 0.884488125813855, ""support"": 10901}}",0.850627936916186,0.9062714987432999,0.7755572429741733,0.7881595184036996,10983,"{""artifact"": {""precision"": 0.9827231591937474, ""recall"": 0.8504805980776077, ""f1-score"": 0.9118320610687022, ""support"": 8427}, ""text"": {""precision"": 0.6585365853658537, ""recall"": 0.9507042253521126, ""f1-score"": 0.7780979827089337, ""support"": 2556}, ""accuracy"": 0.8738049713193117, ""macro avg"": {""precision"": 0.8206298722798006, ""recall"": 0.9005924117148602, ""f1-score"": 0.844965021888818, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9072773900319433, ""recall"": 0.8738049713193117, ""f1-score"": 0.8807090250778465, ""support"": 10983}}",0.844965021888818,0.90059241171486,0.7925089400378056,0.790470421203645
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.139433923002798,4.748181640625,943,6250,3,10901,"{""artifact"": {""precision"": 0.9843191196698762, ""recall"": 0.8578278590266123, ""f1-score"": 0.9167307199590059, ""support"": 8342}, ""text"": {""precision"": 0.6733682181217295, ""recall"": 0.9554513481828839, ""f1-score"": 0.7899838449111469, ""support"": 2559}, ""accuracy"": 0.8807448857902944, ""macro avg"": {""precision"": 0.8288436688958029, ""recall"": 0.9066396036047482, ""f1-score"": 0.8533572824350764, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9113236736500884, ""recall"": 0.8807448857902944, ""f1-score"": 0.8869770044056189, ""support"": 10901}}",0.8533572824350764,0.906639603604748,0.8006209579762071,0.7898660322010983,10983,"{""artifact"": {""precision"": 0.9805548001087844, ""recall"": 0.8557019105256912, ""f1-score"": 0.913883784297573, ""support"": 8427}, ""text"": {""precision"": 0.6649214659685864, ""recall"": 0.9440532081377152, ""f1-score"": 0.7802748585286985, ""support"": 2556}, ""accuracy"": 0.8762633160338705, ""macro avg"": {""precision"": 0.8227381330386854, ""recall"": 0.8998775593317032, ""f1-score"": 0.8470793214131358, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9070995691097544, ""recall"": 0.8762633160338705, ""f1-score"": 0.8827898742306292, ""support"": 10983}}",0.8470793214131358,0.8998775593317032,0.7920129420235753,0.7952844791987446
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.160608320031315,4.7345810546875,620,6250,4,10901,"{""artifact"": {""precision"": 0.9842345457059881, ""recall"": 0.8531527211699832, ""f1-score"": 0.9140178514094909, ""support"": 8342}, ""text"": {""precision"": 0.6662125340599455, ""recall"": 0.9554513481828839, ""f1-score"": 0.7850377267619201, ""support"": 2559}, ""accuracy"": 0.8771672323640033, ""macro avg"": {""precision"": 0.8252235398829668, ""recall"": 0.9043020346764336, ""f1-score"": 0.8495277890857055, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9095791629152146, ""recall"": 0.8771672323640033, ""f1-score"": 0.8837398825100199, ""support"": 10901}}",0.8495277890857055,0.9043020346764336,0.7981916730059311,0.7903406508965418,10983,"{""artifact"": {""precision"": 0.981392803393077, ""recall"": 0.8511925952296191, ""f1-score"": 0.9116675139806812, ""support"": 8427}, ""text"": {""precision"": 0.6586826347305389, ""recall"": 0.94679186228482, ""f1-score"": 0.7768860353130016, ""support"": 2556}, ""accuracy"": 0.87344077210234, ""macro avg"": {""precision"": 0.820037719061808, ""recall"": 0.8989922287572196, ""f1-score"": 0.8442767746468414, ""support"": 10983}, ""weighted avg"": {""precision"": 0.906290628112967, ""recall"": 0.87344077210234, ""f1-score"": 0.8803007235341194, ""support"": 10983}}",0.8442767746468414,0.8989922287572196,0.7961574460496195,0.791819888498867
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.1225274790194817,4.8033125,614,6250,5,10901,"{""artifact"": {""precision"": 0.9838866509237394, ""recall"": 0.8490769599616399, ""f1-score"": 0.911524354932115, ""support"": 8342}, ""text"": {""precision"": 0.6599135602377093, ""recall"": 0.9546697928878468, ""f1-score"": 0.7803865197252835, ""support"": 2559}, ""accuracy"": 0.8738647830474269, ""macro avg"": {""precision"": 0.8219001055807243, ""recall"": 0.9018733764247433, ""f1-score"": 0.8459554373286993, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9078342576510533, ""recall"": 0.8738647830474269, ""f1-score"": 0.8807398654087426, ""support"": 10901}}",0.8459554373286993,0.9018733764247434,0.797229231975507,0.7966903652995825,10983,"{""artifact"": {""precision"": 0.9814636825484003, ""recall"": 0.8482259404295717, ""f1-score"": 0.9099936346276257, ""support"": 8427}, ""text"": {""precision"": 0.6543243243243243, ""recall"": 0.9471830985915493, ""f1-score"": 0.7739769820971867, ""support"": 2556}, ""accuracy"": 0.8712555768005099, ""macro avg"": {""precision"": 0.8178940034363623, ""recall"": 0.8977045195105604, ""f1-score"": 0.8419853083624063, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9053307316587765, ""recall"": 0.8712555768005099, ""f1-score"": 0.8783393904440873, ""support"": 10983}}",0.8419853083624063,0.8977045195105604,0.8027363260043785,0.797859704104485
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.356269701034762,4.9111767578125,888,6250,6,10901,"{""artifact"": {""precision"": 0.9834574028122415, ""recall"": 0.8551906017741548, ""f1-score"": 0.9148499615285971, ""support"": 8342}, ""text"": {""precision"": 0.6687688511105018, ""recall"": 0.9531066822977726, ""f1-score"": 0.7860135352884305, ""support"": 2559}, ""accuracy"": 0.8781763140996239, ""macro avg"": {""precision"": 0.8261131269613716, ""recall"": 0.9041486420359637, ""f1-score"": 0.8504317484085138, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9095845467619019, ""recall"": 0.8781763140996239, ""f1-score"": 0.8846057257017385, ""support"": 10901}}",0.8504317484085138,0.9041486420359637,0.7875599099788815,0.7955490825988818,10983,"{""artifact"": {""precision"": 0.9821428571428571, ""recall"": 0.8549899133736798, ""f1-score"": 0.9141660851360782, ""support"": 8427}, ""text"": {""precision"": 0.6649300795174116, ""recall"": 0.9487480438184663, ""f1-score"": 0.7818797356118007, ""support"": 2556}, ""accuracy"": 0.8768096148593281, ""macro avg"": {""precision"": 0.8235364683301343, ""recall"": 0.9018689785960731, ""f1-score"": 0.8480229103739394, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9083200528443376, ""recall"": 0.8768096148593281, ""f1-score"": 0.8833799693768091, ""support"": 10983}}",0.8480229103739394,0.9018689785960731,0.7962510910001583,0.7950533278984949
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.1505026810336858,4.7098955078125,494,6250,7,10901,"{""artifact"": {""precision"": 0.9835385253838705, ""recall"": 0.8523135938623831, ""f1-score"": 0.9132361441140581, ""support"": 8342}, ""text"": {""precision"": 0.664488017429194, ""recall"": 0.9534974599452911, ""f1-score"": 0.7831808698443267, ""support"": 2559}, ""accuracy"": 0.8760664159251444, ""macro avg"": {""precision"": 0.8240132714065322, ""recall"": 0.9029055269038371, ""f1-score"": 0.8482085069791924, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9086417040045458, ""recall"": 0.8760664159251444, ""f1-score"": 0.882705784802413, ""support"": 10901}}",0.8482085069791924,0.9029055269038372,0.8020826919819228,0.7915429709013552,10983,"{""artifact"": {""precision"": 0.9811294954191166, ""recall"": 0.8514299276136229, ""f1-score"": 0.9116899618805591, ""support"": 8427}, ""text"": {""precision"": 0.6588555858310626, ""recall"": 0.9460093896713615, ""f1-score"": 0.776742691937038, ""support"": 2556}, ""accuracy"": 0.87344077210234, ""macro avg"": {""precision"": 0.8199925406250896, ""recall"": 0.8987196586424921, ""f1-score"": 0.8442163269087986, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9061288477903207, ""recall"": 0.87344077210234, ""f1-score"": 0.880284587941231, ""support"": 10983}}",0.8442163269087986,0.8987196586424923,0.7882539270212874,0.7960690692998469
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.1604976920061745,4.6827958984375,890,6250,8,10901,"{""artifact"": {""precision"": 0.985718209283164, ""recall"": 0.8604651162790697, ""f1-score"": 0.9188428059395802, ""support"": 8342}, ""text"": {""precision"": 0.6783641890024869, ""recall"": 0.9593591246580696, ""f1-score"": 0.7947555843314988, ""support"": 2559}, ""accuracy"": 0.883680396293918, ""macro avg"": {""precision"": 0.8320411991428254, ""recall"": 0.9099121204685696, ""f1-score"": 0.8567991951355396, ""support"": 10901}, ""weighted avg"": {""precision"": 0.913567127923816, ""recall"": 0.883680396293918, ""f1-score"": 0.8897134416523516, ""support"": 10901}}",0.8567991951355396,0.9099121204685697,0.7830831829924136,0.7812155065999832,10983,"{""artifact"": {""precision"": 0.983016304347826, ""recall"": 0.8585498991337368, ""f1-score"": 0.9165769303857604, ""support"": 8427}, ""text"": {""precision"": 0.6709908915263594, ""recall"": 0.951095461658842, ""f1-score"": 0.7868587150024275, ""support"": 2556}, ""accuracy"": 0.8800874078120732, ""macro avg"": {""precision"": 0.8270035979370927, ""recall"": 0.9048226803962893, ""f1-score"": 0.851717822694094, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9104007207029503, ""recall"": 0.8800874078120732, ""f1-score"": 0.8863884792777026, ""support"": 10983}}",0.851717822694094,0.9048226803962893,0.7921757949516177,0.7891965573013294
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.1819695470039733,4.7819013671875,516,6250,9,10901,"{""artifact"": {""precision"": 0.9829553264604811, ""recall"": 0.8572284823783265, ""f1-score"": 0.9157968880066595, ""support"": 8342}, ""text"": {""precision"": 0.6715388858246001, ""recall"": 0.9515435717076983, ""f1-score"": 0.7873888439773646, ""support"": 2559}, ""accuracy"": 0.879368865241721, ""macro avg"": {""precision"": 0.8272471061425406, ""recall"": 0.9043860270430124, ""f1-score"": 0.851592865992012, ""support"": 10901}, ""weighted avg"": {""precision"": 0.909850595556232, ""recall"": 0.879368865241721, ""f1-score"": 0.8856532145206523, ""support"": 10901}}",0.851592865992012,0.9043860270430124,0.7982700780266896,0.789076063799439,10983,"{""artifact"": {""precision"": 0.9804321239298818, ""recall"": 0.8561765752936988, ""f1-score"": 0.9141011022424934, ""support"": 8427}, ""text"": {""precision"": 0.6655629139072847, ""recall"": 0.9436619718309859, ""f1-score"": 0.7805825242718446, ""support"": 2556}, ""accuracy"": 0.8765364654465992, ""macro avg"": {""precision"": 0.8229975189185832, ""recall"": 0.8999192735623424, ""f1-score"": 0.8473418132571691, ""support"": 10983}, ""weighted avg"": {""precision"": 0.907154722416838, ""recall"": 0.8765364654465992, ""f1-score"": 0.8830282182132685, ""support"": 10983}}",0.8473418132571691,0.8999192735623425,0.7977205800125375,0.7923661315988284
