,train_samples,params,perf_train_runtime,model_size,seed,train_frac,index,man_validation_samples_python_researcher_1,classification_report_python_researcher_1,macro_f1_python_researcher_1,roc-auc_python_researcher_1,perf_predict_runtime_python_researcher_1,timeit_runtime_python_researcher_1,man_validation_samples_python_researcher_2,classification_report_python_researcher_2,macro_f1_python_researcher_2,roc-auc_python_researcher_2,perf_predict_runtime_python_researcher_2,timeit_runtime_python_researcher_2
0,43817,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",14.565319314948283,21.109775390625,352,0.0125,0,10901,"{""artifact"": {""precision"": 0.9859577368779823, ""recall"": 0.8669383840805562, ""f1-score"": 0.9226255023282516, ""support"": 8342}, ""text"": {""precision"": 0.6887268648345485, ""recall"": 0.9597499023055881, ""f1-score"": 0.8019591836734693, ""support"": 2559}, ""accuracy"": 0.8887258049720209, ""macro avg"": {""precision"": 0.8373423008562654, ""recall"": 0.9133441431930722, ""f1-score"": 0.8622923430008604, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9161830555130481, ""recall"": 0.8887258049720209, ""f1-score"": 0.8942991919496086, ""support"": 10901}}",0.8622923430008604,0.9133441431930721,0.8053759200265631,0.8031275865039789,10983,"{""artifact"": {""precision"": 0.9828725556304787, ""recall"": 0.8648392073098374, ""f1-score"": 0.9200858477464966, ""support"": 8427}, ""text"": {""precision"": 0.6807735426008968, ""recall"": 0.9503129890453834, ""f1-score"": 0.7932723709993469, ""support"": 2556}, ""accuracy"": 0.8847309478284622, ""macro avg"": {""precision"": 0.8318230491156877, ""recall"": 0.9075760981776104, ""f1-score"": 0.8566791093729218, ""support"": 10983}, ""weighted avg"": {""precision"": 0.912567076498765, ""recall"": 0.8847309478284622, ""f1-score"": 0.8905733969984575, ""support"": 10983}}",0.8566791093729218,0.9075760981776104,0.8187131820013747,0.8165245784039143
0,43817,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",14.498514574021101,21.2486884765625,766,0.0125,1,10901,"{""artifact"": {""precision"": 0.9862304021813224, ""recall"": 0.8671781347398705, ""f1-score"": 0.9228806531861964, ""support"": 8342}, ""text"": {""precision"": 0.6892877173303421, ""recall"": 0.9605314576006252, ""f1-score"": 0.8026122448979591, ""support"": 2559}, ""accuracy"": 0.8890927437849738, ""macro avg"": {""precision"": 0.8377590597558322, ""recall"": 0.9138547961702479, ""f1-score"": 0.8627464490420778, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9165233725020581, ""recall"": 0.8890927437849738, ""f1-score"": 0.8946477519102035, ""support"": 10901}}",0.8627464490420778,0.9138547961702479,0.8007213459932245,0.8035453584976494,10983,"{""artifact"": {""precision"": 0.9836883256942572, ""recall"": 0.8659072030378545, ""f1-score"": 0.9210476491006627, ""support"": 8427}, ""text"": {""precision"": 0.6830294530154277, ""recall"": 0.952660406885759, ""f1-score"": 0.7956216304525404, ""support"": 2556}, ""accuracy"": 0.886096694892106, ""macro avg"": {""precision"": 0.8333588893548425, ""recall"": 0.9092838049618068, ""f1-score"": 0.8583346397766016, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9137180007769223, ""recall"": 0.886096694892106, ""f1-score"": 0.8918580921795483, ""support"": 10983}}",0.8583346397766016,0.9092838049618068,0.8093806270044297,0.8045245442015585
0,43817,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",15.27759208099451,21.4223408203125,915,0.0125,2,10901,"{""artifact"": {""precision"": 0.9853896103896104, ""recall"": 0.8731719012227284, ""f1-score"": 0.9258929706368375, ""support"": 8342}, ""text"": {""precision"": 0.6984895981761186, ""recall"": 0.9577960140679953, ""f1-score"": 0.8078444297956493, ""support"": 2559}, ""accuracy"": 0.893037336024218, ""macro avg"": {""precision"": 0.8419396042828644, ""recall"": 0.9154839576453618, ""f1-score"": 0.8668687002162434, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9180400891296961, ""recall"": 0.893037336024218, ""f1-score"": 0.8981811812585602, ""support"": 10901}}",0.8668687002162434,0.9154839576453618,0.7991659290273674,0.8031357505999039,10983,"{""artifact"": {""precision"": 0.9811396468699839, ""recall"": 0.8704165183339266, ""f1-score"": 0.9224674589700056, ""support"": 8427}, ""text"": {""precision"": 0.688622754491018, ""recall"": 0.9448356807511737, ""f1-score"": 0.7966353290450272, ""support"": 2556}, ""accuracy"": 0.8877355913684786, ""macro avg"": {""precision"": 0.8348812006805009, ""recall"": 0.9076260995425502, ""f1-score"": 0.8595513940075163, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9130641504736772, ""recall"": 0.8877355913684786, ""f1-score"": 0.8931833904925182, ""support"": 10983}}",0.8595513940075163,0.9076260995425502,0.8121451520128176,0.8049217266030609
0,43817,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",15.841661875019781,21.5214814453125,605,0.0125,3,10901,"{""artifact"": {""precision"": 0.9867468233365214, ""recall"": 0.8657396307839846, ""f1-score"": 0.9222910414405211, ""support"": 8342}, ""text"": {""precision"": 0.6873255164712451, ""recall"": 0.9620945681906995, ""f1-score"": 0.8018238071975248, ""support"": 2559}, ""accuracy"": 0.888358866159068, ""macro avg"": {""precision"": 0.8370361699038833, ""recall"": 0.913917099487342, ""f1-score"": 0.8620574243190229, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9164579393563139, ""recall"": 0.888358866159068, ""f1-score"": 0.8940114659494809, ""support"": 10901}}",0.8620574243190229,0.913917099487342,0.8081370460567996,0.8057343452004716,10983,"{""artifact"": {""precision"": 0.984195596379846, ""recall"": 0.8646018749258336, ""f1-score"": 0.9205306380290587, ""support"": 8427}, ""text"": {""precision"": 0.6812849162011173, ""recall"": 0.954225352112676, ""f1-score"": 0.7949804432855279, ""support"": 2556}, ""accuracy"": 0.8854593462624055, ""macro avg"": {""precision"": 0.8327402562904817, ""recall"": 0.9094136135192548, ""f1-score"": 0.8577555406572932, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9137012233909696, ""recall"": 0.8854593462624055, ""f1-score"": 0.8913121824372837, ""support"": 10983}}",0.8577555406572932,0.9094136135192548,0.8078711290145293,0.8070217393978965
0,43817,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",17.438476365001407,21.1462041015625,730,0.0125,4,10901,"{""artifact"": {""precision"": 0.9873054873054873, ""recall"": 0.8670582594102134, ""f1-score"": 0.9232831248404392, ""support"": 8342}, ""text"": {""precision"": 0.6897902097902098, ""recall"": 0.9636576787807737, ""f1-score"": 0.8040430388001304, ""support"": 2559}, ""accuracy"": 0.8897348867076414, ""macro avg"": {""precision"": 0.8385478485478486, ""recall"": 0.9153579690954936, ""f1-score"": 0.8636630818202848, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9174640420104139, ""recall"": 0.8897348867076414, ""f1-score"": 0.8952916212924023, ""support"": 10901}}",0.8636630818202848,0.9153579690954936,0.8104017950245179,0.8074297010025475,10983,"{""artifact"": {""precision"": 0.9840734242137941, ""recall"": 0.8651952058858431, ""f1-score"": 0.920813336701187, ""support"": 8427}, ""text"": {""precision"": 0.6821488528259653, ""recall"": 0.9538341158059468, ""f1-score"": 0.795432300163132, ""support"": 2556}, ""accuracy"": 0.8858235454793773, ""macro avg"": {""precision"": 0.8331111385198797, ""recall"": 0.9095146608458949, ""f1-score"": 0.8581228184321595, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9138085417165446, ""recall"": 0.8858235454793773, ""f1-score"": 0.8916342481651524, ""support"": 10983}}",0.8581228184321595,0.9095146608458948,0.8124037419911474,0.8117774234968238
0,43817,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",16.1229469650425,21.8485703125,692,0.0125,5,10901,"{""artifact"": {""precision"": 0.9858906525573192, ""recall"": 0.8711340206185567, ""f1-score"": 0.9249665881753962, ""support"": 8342}, ""text"": {""precision"": 0.6954674220963173, ""recall"": 0.9593591246580696, ""f1-score"": 0.8063721464936772, ""support"": 2559}, ""accuracy"": 0.8918447848821209, ""macro avg"": {""precision"": 0.8406790373268183, ""recall"": 0.9152465726383132, ""f1-score"": 0.8656693673345367, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9177140589650153, ""recall"": 0.8918447848821209, ""f1-score"": 0.8971266490630653, ""support"": 10901}}",0.8656693673345367,0.9152465726383132,0.8193800250301138,0.8140690928034019,10983,"{""artifact"": {""precision"": 0.9824279007377599, ""recall"": 0.8691111902219057, ""f1-score"": 0.9223019770809722, ""support"": 8427}, ""text"": {""precision"": 0.687358276643991, ""recall"": 0.9487480438184663, ""f1-score"": 0.7971729125575279, ""support"": 2556}, ""accuracy"": 0.8876445415642357, ""macro avg"": {""precision"": 0.8348930886908754, ""recall"": 0.908929617020186, ""f1-score"": 0.8597374448192501, ""support"": 10983}, ""weighted avg"": {""precision"": 0.913758324193676, ""recall"": 0.8876445415642357, ""f1-score"": 0.8931815283035959, ""support"": 10983}}",0.8597374448192501,0.908929617020186,0.8193961760262027,0.8157693393994123
0,43817,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",14.67767142795492,21.4019365234375,305,0.0125,6,10901,"{""artifact"": {""precision"": 0.9863778776733415, ""recall"": 0.8680172620474707, ""f1-score"": 0.9234202639801059, ""support"": 8342}, ""text"": {""precision"": 0.6907303370786517, ""recall"": 0.9609222352481438, ""f1-score"": 0.8037260990357901, ""support"": 2559}, ""accuracy"": 0.8898266214108798, ""macro avg"": {""precision"": 0.8385541073759966, ""recall"": 0.9144697486478073, ""f1-score"": 0.8635731815079479, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9169748819498471, ""recall"": 0.8898266214108798, ""f1-score"": 0.8953221658154874, ""support"": 10901}}",0.8635731815079479,0.9144697486478072,0.823560388002079,0.8159808039024938,10983,"{""artifact"": {""precision"": 0.9824845055241175, ""recall"": 0.865313872077845, ""f1-score"": 0.9201842387532336, ""support"": 8427}, ""text"": {""precision"": 0.6812693063746139, ""recall"": 0.9491392801251957, ""f1-score"": 0.7931992806931503, ""support"": 2556}, ""accuracy"": 0.8848219976327051, ""macro avg"": {""precision"": 0.8318769059493657, ""recall"": 0.9072265761015204, ""f1-score"": 0.856691759723192, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9123847104748475, ""recall"": 0.8848219976327051, ""f1-score"": 0.890631880308221, ""support"": 10983}}",0.856691759723192,0.9072265761015204,0.814466807001736,0.8182710230990778
0,43817,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",16.644101159996353,21.5742421875,136,0.0125,7,10901,"{""artifact"": {""precision"": 0.9865735032196191, ""recall"": 0.8632222488611844, ""f1-score"": 0.9207851160411739, ""support"": 8342}, ""text"": {""precision"": 0.6832315380344253, ""recall"": 0.9617037905431809, ""f1-score"": 0.7988962830709299, ""support"": 2559}, ""accuracy"": 0.8863407026878268, ""macro avg"": {""precision"": 0.8349025206270222, ""recall"": 0.9124630197021826, ""f1-score"": 0.8598406995560519, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9153642482055002, ""recall"": 0.8863407026878268, ""f1-score"": 0.8921718215204093, ""support"": 10901}}",0.8598406995560519,0.9124630197021826,0.8101028249948286,0.8098952483967878,10983,"{""artifact"": {""precision"": 0.9828006500541712, ""recall"": 0.8611605553577786, ""f1-score"": 0.9179685029409904, ""support"": 8427}, ""text"": {""precision"": 0.6749096971380939, ""recall"": 0.9503129890453834, ""f1-score"": 0.7892770105605199, ""support"": 2556}, ""accuracy"": 0.8819084038969316, ""macro avg"": {""precision"": 0.8288551735961325, ""recall"": 0.905736772201581, ""f1-score"": 0.8536227567507552, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9111472515607273, ""recall"": 0.8819084038969316, ""f1-score"": 0.88801899419798, ""support"": 10983}}",0.8536227567507552,0.905736772201581,0.8230935169849545,0.8141933840990532
0,43817,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",14.748798531014472,21.3191328125,201,0.0125,8,10901,"{""artifact"": {""precision"": 0.9860541427399507, ""recall"": 0.864540877487413, ""f1-score"": 0.9213081246806336, ""support"": 8342}, ""text"": {""precision"": 0.6849735154725397, ""recall"": 0.9601406799531067, ""f1-score"": 0.7995444191343964, ""support"": 2559}, ""accuracy"": 0.8869828456104945, ""macro avg"": {""precision"": 0.8355138291062452, ""recall"": 0.9123407787202599, ""f1-score"": 0.8604262719075151, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9153757347794603, ""recall"": 0.8869828456104945, ""f1-score"": 0.8927242037107391, ""support"": 10901}}",0.8604262719075151,0.9123407787202599,0.8172579720267095,0.8114956596982665,10983,"{""artifact"": {""precision"": 0.982022168153555, ""recall"": 0.8621098848937938, ""f1-score"": 0.9181674565560822, ""support"": 8427}, ""text"": {""precision"": 0.6758716875871688, ""recall"": 0.9479655712050078, ""f1-score"": 0.7891222927861913, ""support"": 2556}, ""accuracy"": 0.8820905035054175, ""macro avg"": {""precision"": 0.8289469278703618, ""recall"": 0.9050377280494009, ""f1-score"": 0.8536448746711367, ""support"": 10983}, ""weighted avg"": {""precision"": 0.910773818128272, ""recall"": 0.8820905035054175, ""f1-score"": 0.888135640240336, ""support"": 10983}}",0.8536448746711367,0.9050377280494007,0.8110972269787453,0.8165679706027731
0,43817,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",14.93973461794667,21.4175166015625,143,0.0125,9,10901,"{""artifact"": {""precision"": 0.9861814201669175, ""recall"": 0.8640613761687844, ""f1-score"": 0.9210913040700274, ""support"": 8342}, ""text"": {""precision"": 0.6842984409799554, ""recall"": 0.9605314576006252, ""f1-score"": 0.7992196390830758, ""support"": 2559}, ""accuracy"": 0.8867076415007797, ""macro avg"": {""precision"": 0.8352399305734364, ""recall"": 0.9122964168847048, ""f1-score"": 0.8601554715765516, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9153146608109469, ""recall"": 0.8867076415007797, ""f1-score"": 0.8924820397179855, ""support"": 10901}}",0.8601554715765516,0.9122964168847048,0.8028465730021708,0.8058094438980333,10983,"{""artifact"": {""precision"": 0.983497903422156, ""recall"": 0.8628218820458051, ""f1-score"": 0.9192161820480403, ""support"": 8427}, ""text"": {""precision"": 0.6779944289693594, ""recall"": 0.9522691705790297, ""f1-score"": 0.7920598763423365, ""support"": 2556}, ""accuracy"": 0.8836383501775471, ""macro avg"": {""precision"": 0.8307461661957577, ""recall"": 0.9075455263124175, ""f1-score"": 0.8556380291951884, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9124001267945179, ""recall"": 0.8836383501775471, ""f1-score"": 0.8896239470135526, ""support"": 10983}}",0.8556380291951884,0.9075455263124175,0.8207511400105432,0.8105216230964288
