,train_samples,params,perf_train_runtime,model_size,seed,train_frac,index,man_validation_samples_python_researcher_1,classification_report_python_researcher_1,macro_f1_python_researcher_1,roc-auc_python_researcher_1,perf_predict_runtime_python_researcher_1,timeit_runtime_python_researcher_1,man_validation_samples_python_researcher_2,classification_report_python_researcher_2,macro_f1_python_researcher_2,roc-auc_python_researcher_2,perf_predict_runtime_python_researcher_2,timeit_runtime_python_researcher_2
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.0941116759786382,2.2920927734375,439,6250,0,10901,"{""artifact"": {""precision"": 0.9785169785169785, ""recall"": 0.8463198273795253, ""f1-score"": 0.9076300057851772, ""support"": 8342}, ""text"": {""precision"": 0.652197504069452, ""recall"": 0.9394294646346228, ""f1-score"": 0.7698959167333866, ""support"": 2559}, ""accuracy"": 0.8681772314466563, ""macro avg"": {""precision"": 0.8153572412932153, ""recall"": 0.892874646007074, ""f1-score"": 0.838762961259282, ""support"": 10901}, ""weighted avg"": {""precision"": 0.901913773754918, ""recall"": 0.8681772314466563, ""f1-score"": 0.8752970515714782, ""support"": 10901}}",0.838762961259282,0.892874646007074,0.6453763690078631,0.6332070145988837,10983,"{""artifact"": {""precision"": 0.9762883771929824, ""recall"": 0.8452592856295241, ""f1-score"": 0.9060611842523693, ""support"": 8427}, ""text"": {""precision"": 0.6463249254136154, ""recall"": 0.9323161189358372, ""f1-score"": 0.7634150248278071, ""support"": 2556}, ""accuracy"": 0.8655194391332058, ""macro avg"": {""precision"": 0.8113066513032989, ""recall"": 0.8887877022826807, ""f1-score"": 0.8347381045400881, ""support"": 10983}, ""weighted avg"": {""precision"": 0.8994981939326654, ""recall"": 0.8655194391332058, ""f1-score"": 0.872864099349412, ""support"": 10983}}",0.8347381045400881,0.8887877022826808,0.630674410960637,0.6322512834100052
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.0768653370905668,2.3556826171875,223,6250,1,10901,"{""artifact"": {""precision"": 0.9827892364431089, ""recall"": 0.8625029968832414, ""f1-score"": 0.9187256591968332, ""support"": 8342}, ""text"": {""precision"": 0.679608938547486, ""recall"": 0.9507620164126612, ""f1-score"": 0.7926372373350709, ""support"": 2559}, ""accuracy"": 0.8832217227777268, ""macro avg"": {""precision"": 0.8311990874952975, ""recall"": 0.9066325066479513, ""f1-score"": 0.855681448265952, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9116179326806194, ""recall"": 0.8832217227777268, ""f1-score"": 0.8891265149399531, ""support"": 10901}}",0.855681448265952,0.9066325066479513,0.6674334780545905,0.6409499548957683,10983,"{""artifact"": {""precision"": 0.9801458670988655, ""recall"": 0.8611605553577786, ""f1-score"": 0.9168087928747395, ""support"": 8427}, ""text"": {""precision"": 0.6730930427493713, ""recall"": 0.9424882629107981, ""f1-score"": 0.7853300733496333, ""support"": 2556}, ""accuracy"": 0.8800874078120732, ""macro avg"": {""precision"": 0.8266194549241184, ""recall"": 0.9018244091342884, ""f1-score"": 0.8510694331121864, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9086875206509635, ""recall"": 0.8800874078120732, ""f1-score"": 0.8862106314337698, ""support"": 10983}}",0.8510694331121864,0.9018244091342883,0.6376641890965402,0.6384999108035118
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.075871548964642,2.2867998046875,188,6250,2,10901,"{""artifact"": {""precision"": 0.9833748960931006, ""recall"": 0.8508750899064973, ""f1-score"": 0.9123393316195374, ""support"": 8342}, ""text"": {""precision"": 0.6622318761878903, ""recall"": 0.9531066822977726, ""f1-score"": 0.781480294777315, ""support"": 2559}, ""accuracy"": 0.8748738647830474, ""macro avg"": {""precision"": 0.8228033861404954, ""recall"": 0.901990886102135, ""f1-score"": 0.8469098131984262, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9079868594049587, ""recall"": 0.8748738647830474, ""f1-score"": 0.8816202897628961, ""support"": 10901}}",0.8469098131984262,0.9019908861021348,0.6348558639874682,0.6370015612919815,10983,"{""artifact"": {""precision"": 0.9801397068894672, ""recall"": 0.8491752699655868, ""f1-score"": 0.9099694811800612, ""support"": 8427}, ""text"": {""precision"": 0.6548071700162955, ""recall"": 0.9432707355242567, ""f1-score"": 0.7730041680025649, ""support"": 2556}, ""accuracy"": 0.871073477192024, ""macro avg"": {""precision"": 0.8174734384528813, ""recall"": 0.8962230027449217, ""f1-score"": 0.841486824591313, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9044272454264947, ""recall"": 0.871073477192024, ""f1-score"": 0.8780944615604963, ""support"": 10983}}",0.841486824591313,0.8962230027449217,0.6280775819905102,0.630364079400897
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.1507255830802023,2.3337939453125,613,6250,3,10901,"{""artifact"": {""precision"": 0.9828860898138007, ""recall"": 0.8605849916087269, ""f1-score"": 0.9176786399079637, ""support"": 8342}, ""text"": {""precision"": 0.6766750069502363, ""recall"": 0.9511527940601797, ""f1-score"": 0.7907732293697205, ""support"": 2559}, ""accuracy"": 0.8818457022291533, ""macro avg"": {""precision"": 0.8297805483820184, ""recall"": 0.9058688928344534, ""f1-score"": 0.8542259346388421, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9110033119908613, ""recall"": 0.8818457022291533, ""f1-score"": 0.8878877082900053, ""support"": 10901}}",0.8542259346388421,0.9058688928344534,0.6276738870656118,0.6265789172961377,10983,"{""artifact"": {""precision"": 0.9807718348002709, ""recall"": 0.859499228669752, ""f1-score"": 0.9161396407791551, ""support"": 8427}, ""text"": {""precision"": 0.6709282934963868, ""recall"": 0.9444444444444444, ""f1-score"": 0.7845303867403315, ""support"": 2556}, ""accuracy"": 0.8792679595738869, ""macro avg"": {""precision"": 0.8258500641483288, ""recall"": 0.9019718365570982, ""f1-score"": 0.8503350137597433, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9086640234943683, ""recall"": 0.8792679595738869, ""f1-score"": 0.8855111009154354, ""support"": 10983}}",0.8503350137597433,0.9019718365570983,0.622099146945402,0.6282982881995849
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.0882487269118428,2.31398046875,388,6250,4,10901,"{""artifact"": {""precision"": 0.9827207899067472, ""recall"": 0.8590266123231839, ""f1-score"": 0.9167199692976846, ""support"": 8342}, ""text"": {""precision"": 0.6741479634247715, ""recall"": 0.9507620164126612, ""f1-score"": 0.7889105058365758, ""support"": 2559}, ""accuracy"": 0.880561416383818, ""macro avg"": {""precision"": 0.8284343766657594, ""recall"": 0.9048943143679226, ""f1-score"": 0.8528152375671303, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9102835948817608, ""recall"": 0.880561416383818, ""f1-score"": 0.8867168120646806, ""support"": 10901}}",0.8528152375671303,0.9048943143679224,0.6385947309900075,0.6361251916037872,10983,"{""artifact"": {""precision"": 0.9793842397938424, ""recall"": 0.8568885724457103, ""f1-score"": 0.9140506329113924, ""support"": 8427}, ""text"": {""precision"": 0.6659279778393352, ""recall"": 0.9405320813771518, ""f1-score"": 0.7797599740512489, ""support"": 2556}, ""accuracy"": 0.8763543658381134, ""macro avg"": {""precision"": 0.8226561088165888, ""recall"": 0.898710326911431, ""f1-score"": 0.8469053034813206, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9064356642174315, ""recall"": 0.8763543658381134, ""f1-score"": 0.8827980676699714, ""support"": 10983}}",0.8469053034813206,0.898710326911431,0.629152423935011,0.6328104637097567
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.1203705270309001,2.328779296875,452,6250,5,10901,"{""artifact"": {""precision"": 0.9826455315660017, ""recall"": 0.8620234955646128, ""f1-score"": 0.9183908045977012, ""support"": 8342}, ""text"": {""precision"": 0.6787608149595311, ""recall"": 0.9503712387651426, ""f1-score"": 0.791924454575057, ""support"": 2559}, ""accuracy"": 0.8827630492615356, ""macro avg"": {""precision"": 0.8307031732627663, ""recall"": 0.9061973671648778, ""f1-score"": 0.8551576295863791, ""support"": 10901}, ""weighted avg"": {""precision"": 0.911308866141182, ""recall"": 0.8827630492615356, ""f1-score"": 0.888702942043078, ""support"": 10901}}",0.8551576295863791,0.9061973671648776,0.6445937450043857,0.6456451456993818,10983,"{""artifact"": {""precision"": 0.9797242497972425, ""recall"": 0.8600925596297615, ""f1-score"": 0.9160189573459716, ""support"": 8427}, ""text"": {""precision"": 0.6711297071129707, ""recall"": 0.9413145539906104, ""f1-score"": 0.7835857352222766, ""support"": 2556}, ""accuracy"": 0.8789948101611581, ""macro avg"": {""precision"": 0.8254269784551066, ""recall"": 0.900703556810186, ""f1-score"": 0.8498023462841241, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9079071095713481, ""recall"": 0.8789948101611581, ""f1-score"": 0.8851986609107386, ""support"": 10983}}",0.8498023462841241,0.900703556810186,0.6476245661033317,0.6474260548944585
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.0917690129717812,2.3796162109375,710,6250,6,10901,"{""artifact"": {""precision"": 0.9832578564567037, ""recall"": 0.8589067369935267, ""f1-score"": 0.9168852773689935, ""support"": 8342}, ""text"": {""precision"": 0.6743220807969009, ""recall"": 0.9523251270027354, ""f1-score"": 0.7895674712457476, ""support"": 2559}, ""accuracy"": 0.8808366204935327, ""macro avg"": {""precision"": 0.8287899686268023, ""recall"": 0.9056159319981311, ""f1-score"": 0.8532263743073705, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9107354594368491, ""recall"": 0.8808366204935327, ""f1-score"": 0.8869975362563078, ""support"": 10901}}",0.8532263743073705,0.9056159319981311,0.6318485479569063,0.6290609200950712,10983,"{""artifact"": {""precision"": 0.9809963350074657, ""recall"": 0.8576005695977216, ""f1-score"": 0.9151576548056224, ""support"": 8427}, ""text"": {""precision"": 0.668141592920354, ""recall"": 0.945226917057903, ""f1-score"": 0.7828904731043423, ""support"": 2556}, ""accuracy"": 0.877993262314486, ""macro avg"": {""precision"": 0.8245689639639099, ""recall"": 0.9014137433278122, ""f1-score"": 0.8490240639549824, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9081877471193972, ""recall"": 0.877993262314486, ""f1-score"": 0.8843759998453683, ""support"": 10983}}",0.8490240639549824,0.9014137433278122,0.6416766960173845,0.6401031595072709
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.0405793159734458,2.296623046875,266,6250,7,10901,"{""artifact"": {""precision"": 0.9827184199698258, ""recall"": 0.8589067369935267, ""f1-score"": 0.9166506748544744, ""support"": 8342}, ""text"": {""precision"": 0.6739612188365651, ""recall"": 0.9507620164126612, ""f1-score"": 0.7887826227913763, ""support"": 2559}, ""accuracy"": 0.8804696816805798, ""macro avg"": {""precision"": 0.8283398194031955, ""recall"": 0.904834376703094, ""f1-score"": 0.8527166488229254, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9102379431603574, ""recall"": 0.8804696816805798, ""f1-score"": 0.8866337639995557, ""support"": 10901}}",0.8527166488229254,0.904834376703094,0.6408500600373372,0.6380400593974628,10983,"{""artifact"": {""precision"": 0.9808813559322034, ""recall"": 0.8584312329417348, ""f1-score"": 0.915580306290343, ""support"": 8427}, ""text"": {""precision"": 0.6693458980044346, ""recall"": 0.9448356807511737, ""f1-score"": 0.7835820895522388, ""support"": 2556}, ""accuracy"": 0.8785395611399436, ""macro avg"": {""precision"": 0.825113626968319, ""recall"": 0.9016334568464544, ""f1-score"": 0.8495811979212909, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9083797962068664, ""recall"": 0.8785395611399436, ""f1-score"": 0.884861245743808, ""support"": 10983}}",0.8495811979212909,0.9016334568464544,0.6467924689641222,0.6392161339055746
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.3903289679437876,2.2997314453125,372,6250,8,10901,"{""artifact"": {""precision"": 0.9832659322270255, ""recall"": 0.8452409494126109, ""f1-score"": 0.9090440275897634, ""support"": 8342}, ""text"": {""precision"": 0.6538873994638069, ""recall"": 0.9531066822977726, ""f1-score"": 0.7756400063603117, ""support"": 2559}, ""accuracy"": 0.8705623337308503, ""macro avg"": {""precision"": 0.8185766658454162, ""recall"": 0.8991738158551917, ""f1-score"": 0.8423420169750375, ""support"": 10901}, ""weighted avg"": {""precision"": 0.905944616261419, ""recall"": 0.8705623337308503, ""f1-score"": 0.877727552924488, ""support"": 10901}}",0.8423420169750375,0.8991738158551916,0.6428155680187047,0.6398905306938104,10983,"{""artifact"": {""precision"": 0.9811138682106424, ""recall"": 0.8445472884775127, ""f1-score"": 0.9077227217651935, ""support"": 8427}, ""text"": {""precision"": 0.6486993832126575, ""recall"": 0.9464006259780907, ""f1-score"": 0.769769291964996, ""support"": 2556}, ""accuracy"": 0.8682509332604935, ""macro avg"": {""precision"": 0.81490662571165, ""recall"": 0.8954739572278017, ""f1-score"": 0.8387460068650947, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9037532724121493, ""recall"": 0.8682509332604935, ""f1-score"": 0.8756177443847597, ""support"": 10983}}",0.8387460068650947,0.8954739572278018,0.650828039040789,0.6453538798028603
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.0479521000524983,2.330435546875,270,6250,9,10901,"{""artifact"": {""precision"": 0.9856745479833101, ""recall"": 0.8495564612802685, ""f1-score"": 0.9125676023693021, ""support"": 8342}, ""text"": {""precision"": 0.6618162220425762, ""recall"": 0.9597499023055881, ""f1-score"": 0.7834130781499202, ""support"": 2559}, ""accuracy"": 0.8754242730024768, ""macro avg"": {""precision"": 0.8237453850129431, ""recall"": 0.9046531817929283, ""f1-score"": 0.8479903402596112, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9096490956319352, ""recall"": 0.8754242730024768, ""f1-score"": 0.8822486933263337, ""support"": 10901}}",0.8479903402596112,0.9046531817929282,0.6369553830008954,0.6324805264011957,10983,"{""artifact"": {""precision"": 0.9822656035193841, ""recall"": 0.8478699418535659, ""f1-score"": 0.9101331125406025, ""support"": 8427}, ""text"": {""precision"": 0.6543542733890536, ""recall"": 0.9495305164319249, ""f1-score"": 0.774780526735834, ""support"": 2556}, ""accuracy"": 0.8715287262132386, ""macro avg"": {""precision"": 0.8183099384542188, ""recall"": 0.8987002291427454, ""f1-score"": 0.8424568196382183, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9059529967805035, ""recall"": 0.8715287262132386, ""f1-score"": 0.8786334121566465, ""support"": 10983}}",0.8424568196382183,0.8987002291427455,0.6383500319207087,0.643239849305246
