,train_samples,params,perf_train_runtime,model_size,seed,train_frac,index,man_validation_samples_cpp_researcher_1,classification_report_cpp_researcher_1,macro_f1_cpp_researcher_1,roc-auc_cpp_researcher_1,perf_predict_runtime_cpp_researcher_1,timeit_runtime_cpp_researcher_1,man_validation_samples_cpp_researcher_2,classification_report_cpp_researcher_2,macro_f1_cpp_researcher_2,roc-auc_cpp_researcher_2,perf_predict_runtime_cpp_researcher_2,timeit_runtime_cpp_researcher_2
0,2436,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.8712786460000643,85.96330078125,781,0.01,0,5416,"{""artifact"": {""precision"": 0.9674340258281864, ""recall"": 0.8943680249156502, ""f1-score"": 0.9294672960215778, ""support"": 3853}, ""text"": {""precision"": 0.7804746494066882, ""recall"": 0.925783749200256, ""f1-score"": 0.8469417617793386, ""support"": 1563}, ""accuracy"": 0.9034342688330872, ""macro avg"": {""precision"": 0.8739543376174372, ""recall"": 0.9100758870579531, ""f1-score"": 0.8882045289004582, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9134795381349069, ""recall"": 0.9034342688330872, ""f1-score"": 0.9056513045111236, ""support"": 5416}}",0.8882045289004582,0.9100758870579531,0.6975992679999763,0.7185828630999822,5418,"{""artifact"": {""precision"": 0.9653824678950307, ""recall"": 0.8875770020533881, ""f1-score"": 0.9248462155656593, ""support"": 3896}, ""text"": {""precision"": 0.761437908496732, ""recall"": 0.9185282522996058, ""f1-score"": 0.8326384752829065, ""support"": 1522}, ""accuracy"": 0.8962716869693614, ""macro avg"": {""precision"": 0.8634101881958813, ""recall"": 0.9030526271764969, ""f1-score"": 0.8787423454242829, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9080912867573027, ""recall"": 0.8962716869693614, ""f1-score"": 0.8989436351466209, ""support"": 5418}}",0.8787423454242829,0.903052627176497,0.7010371030009992,0.6976940482998544
1,2436,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.6252803389998007,83.71041015625,545,0.01,1,5416,"{""artifact"": {""precision"": 0.9705634987384356, ""recall"": 0.8985206332727744, ""f1-score"": 0.9331536388140163, ""support"": 3853}, ""text"": {""precision"": 0.7885343428880476, ""recall"": 0.9328214971209213, ""f1-score"": 0.8546307151230949, ""support"": 1563}, ""accuracy"": 0.9084194977843427, ""macro avg"": {""precision"": 0.8795489208132417, ""recall"": 0.9156710651968478, ""f1-score"": 0.8938921769685555, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9180318202683182, ""recall"": 0.9084194977843427, ""f1-score"": 0.9104927581402885, ""support"": 5416}}",0.8938921769685555,0.9156710651968479,0.7115060289997928,0.7257529567001256,5418,"{""artifact"": {""precision"": 0.9679576483700195, ""recall"": 0.8916837782340863, ""f1-score"": 0.9282565130260522, ""support"": 3896}, ""text"": {""precision"": 0.7692728266812466, ""recall"": 0.9244415243101183, ""f1-score"": 0.8397493285586393, ""support"": 1522}, ""accuracy"": 0.9008859357696567, ""macro avg"": {""precision"": 0.8686152375256331, ""recall"": 0.9080626512721023, ""f1-score"": 0.8840029207923457, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9121440089070604, ""recall"": 0.9008859357696567, ""f1-score"": 0.9033934759718988, ""support"": 5418}}",0.8840029207923457,0.9080626512721024,0.800183768998977,0.8076537990000361
2,2436,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",2.1549147339992487,80.165263671875,152,0.01,2,5416,"{""artifact"": {""precision"": 0.9701744513224536, ""recall"": 0.8948871009602907, ""f1-score"": 0.9310112056163089, ""support"": 3853}, ""text"": {""precision"": 0.7824919441460795, ""recall"": 0.9321817018554063, ""f1-score"": 0.8508029197080291, ""support"": 1563}, ""accuracy"": 0.9056499261447563, ""macro avg"": {""precision"": 0.8763331977342665, ""recall"": 0.9135344014078485, ""f1-score"": 0.890907062662169, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9160112757839246, ""recall"": 0.9056499261447563, ""f1-score"": 0.9078639473307399, ""support"": 5416}}",0.890907062662169,0.9135344014078484,0.6788873429995874,0.7020460289999392,5418,"{""artifact"": {""precision"": 0.9685746352413019, ""recall"": 0.8860369609856262, ""f1-score"": 0.9254691689008043, ""support"": 3896}, ""text"": {""precision"": 0.7605177993527508, ""recall"": 0.926412614980289, ""f1-score"": 0.8353080568720379, ""support"": 1522}, ""accuracy"": 0.8973791066814323, ""macro avg"": {""precision"": 0.8645462172970264, ""recall"": 0.9062247879829577, ""f1-score"": 0.8803886128864211, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9101282520330378, ""recall"": 0.8973791066814323, ""f1-score"": 0.9001415180134321, ""support"": 5418}}",0.8803886128864211,0.9062247879829576,0.7086854199988011,0.6990865395999208
3,2436,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.7650012989997776,80.15830078125,112,0.01,3,5416,"{""artifact"": {""precision"": 0.9710391822827938, ""recall"": 0.8876200363353232, ""f1-score"": 0.9274576271186441, ""support"": 3853}, ""text"": {""precision"": 0.7713833157338965, ""recall"": 0.9347408829174664, ""f1-score"": 0.8452415389065664, ""support"": 1563}, ""accuracy"": 0.901218611521418, ""macro avg"": {""precision"": 0.8712112490083452, ""recall"": 0.9111804596263948, ""f1-score"": 0.8863495830126052, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9134206225678886, ""recall"": 0.901218611521418, ""f1-score"": 0.903730938441488, ""support"": 5416}}",0.8863495830126052,0.9111804596263948,0.6789603330016689,0.6837372431999029,5418,"{""artifact"": {""precision"": 0.9700395703787451, ""recall"": 0.8809034907597536, ""f1-score"": 0.9233252623083132, ""support"": 3896}, ""text"": {""precision"": 0.7531914893617021, ""recall"": 0.9303547963206308, ""f1-score"": 0.8324514991181658, ""support"": 1522}, ""accuracy"": 0.8947951273532669, ""macro avg"": {""precision"": 0.8616155298702236, ""recall"": 0.9056291435401922, ""f1-score"": 0.8778883807132396, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9091235904400334, ""recall"": 0.8947951273532669, ""f1-score"": 0.8977974166871608, ""support"": 5418}}",0.8778883807132396,0.9056291435401922,0.7332274290001806,0.6980438773998685
4,2436,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.999231632998999,84.483876953125,963,0.01,4,5416,"{""artifact"": {""precision"": 0.9725908828620888, ""recall"": 0.8749026732416298, ""f1-score"": 0.9211640934553901, ""support"": 3853}, ""text"": {""precision"": 0.7528205128205128, ""recall"": 0.9392194497760716, ""f1-score"": 0.8357529177341302, ""support"": 1563}, ""accuracy"": 0.893463810930576, ""macro avg"": {""precision"": 0.8627056978413008, ""recall"": 0.9070610615088508, ""f1-score"": 0.8784585055947601, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9091674913600608, ""recall"": 0.893463810930576, ""f1-score"": 0.8965153365033351, ""support"": 5416}}",0.8784585055947601,0.9070610615088507,0.6981004690005648,0.7140636041000107,5418,"{""artifact"": {""precision"": 0.9706980752657283, ""recall"": 0.867299794661191, ""f1-score"": 0.9160905517147893, ""support"": 3896}, ""text"": {""precision"": 0.73309241094476, ""recall"": 0.9329829172141918, ""f1-score"": 0.8210465452442903, ""support"": 1522}, ""accuracy"": 0.8857511997046881, ""macro avg"": {""precision"": 0.8518952431052441, ""recall"": 0.9001413559376914, ""f1-score"": 0.8685685484795398, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9039509691201923, ""recall"": 0.8857511997046881, ""f1-score"": 0.8893912202551917, ""support"": 5418}}",0.8685685484795398,0.9001413559376914,0.7879672519993619,0.7620167977000165
5,4871,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",6.360792669000148,158.170126953125,765,0.02,0,5416,"{""artifact"": {""precision"": 0.9716981132075472, ""recall"": 0.9089021541655853, ""f1-score"": 0.9392517098028699, ""support"": 3853}, ""text"": {""precision"": 0.8062913907284768, ""recall"": 0.9347408829174664, ""f1-score"": 0.8657777777777778, ""support"": 1563}, ""accuracy"": 0.9163589364844904, ""macro avg"": {""precision"": 0.8889947519680119, ""recall"": 0.9218215185415258, ""f1-score"": 0.9025147437903238, ""support"": 5416}, ""weighted avg"": {""precision"": 0.923963492226235, ""recall"": 0.9163589364844904, ""f1-score"": 0.9180479144270909, ""support"": 5416}}",0.9025147437903238,0.9218215185415258,0.771715791999668,0.7704168016000039,5418,"{""artifact"": {""precision"": 0.9695796460176991, ""recall"": 0.8998973305954825, ""f1-score"": 0.9334398296059638, ""support"": 3896}, ""text"": {""precision"": 0.7835738068812431, ""recall"": 0.9277266754270697, ""f1-score"": 0.8495788206979543, ""support"": 1522}, ""accuracy"": 0.9077150239940938, ""macro avg"": {""precision"": 0.876576726449471, ""recall"": 0.9138120030112761, ""f1-score"": 0.891509325151959, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9173277288590268, ""recall"": 0.9077150239940938, ""f1-score"": 0.9098819751286678, ""support"": 5418}}",0.891509325151959,0.9138120030112761,0.7275748979991477,0.7611880274998839
6,4871,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",4.637590172998898,157.21525390625,928,0.02,1,5416,"{""artifact"": {""precision"": 0.968236277514628, ""recall"": 0.9018946275629379, ""f1-score"": 0.9338887395861328, ""support"": 3853}, ""text"": {""precision"": 0.7931034482758621, ""recall"": 0.927063339731286, ""f1-score"": 0.8548672566371681, ""support"": 1563}, ""accuracy"": 0.9091580502215657, ""macro avg"": {""precision"": 0.8806698628952451, ""recall"": 0.9144789836471119, ""f1-score"": 0.8943779981116504, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9176948055611216, ""recall"": 0.9091580502215657, ""f1-score"": 0.9110839800127887, ""support"": 5416}}",0.8943779981116504,0.9144789836471119,0.8136978380007349,0.7917589376000251,5418,"{""artifact"": {""precision"": 0.9663702056698166, ""recall"": 0.8924537987679672, ""f1-score"": 0.9279423538831064, ""support"": 3896}, ""text"": {""precision"": 0.7697802197802198, ""recall"": 0.9204993429697766, ""f1-score"": 0.8384201077199283, ""support"": 1522}, ""accuracy"": 0.9003322259136213, ""macro avg"": {""precision"": 0.8680752127250182, ""recall"": 0.9064765708688719, ""f1-score"": 0.8831812308015173, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9111450379835918, ""recall"": 0.9003322259136213, ""f1-score"": 0.902794170298692, ""support"": 5418}}",0.8831812308015173,0.9064765708688718,0.7329019409989996,0.764859640800023
7,4871,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",5.161357660001158,157.42482421875,689,0.02,2,5416,"{""artifact"": {""precision"": 0.9678429140580534, ""recall"": 0.882688813911238, ""f1-score"": 0.9233066377087009, ""support"": 3853}, ""text"": {""precision"": 0.7623554153522608, ""recall"": 0.927703134996801, ""f1-score"": 0.8369408369408369, ""support"": 1563}, ""accuracy"": 0.8956794682422452, ""macro avg"": {""precision"": 0.8650991647051571, ""recall"": 0.9051959744540194, ""f1-score"": 0.8801237373247689, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9085414073229806, ""recall"": 0.8956794682422452, ""f1-score"": 0.8983823861207815, ""support"": 5416}}",0.8801237373247689,0.9051959744540194,0.7216543590002402,0.7561629542999071,5418,"{""artifact"": {""precision"": 0.9652050919377652, ""recall"": 0.8757700205338809, ""f1-score"": 0.9183151661956668, ""support"": 3896}, ""text"": {""precision"": 0.742963356346256, ""recall"": 0.919185282522996, ""f1-score"": 0.8217327459618209, ""support"": 1522}, ""accuracy"": 0.8879660391288299, ""macro avg"": {""precision"": 0.8540842241420106, ""recall"": 0.8974776515284384, ""f1-score"": 0.8700239560787438, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9027739510056358, ""recall"": 0.8879660391288299, ""f1-score"": 0.891183670515358, ""support"": 5418}}",0.8700239560787438,0.8974776515284385,0.7317855710007279,0.730970647399954
8,4871,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",4.6797420070015505,157.897265625,179,0.02,3,5416,"{""artifact"": {""precision"": 0.9710870169585766, ""recall"": 0.9065663119647028, ""f1-score"": 0.9377181208053691, ""support"": 3853}, ""text"": {""precision"": 0.8020890599230346, ""recall"": 0.9334612923864364, ""f1-score"": 0.8628030751034891, ""support"": 1563}, ""accuracy"": 0.914327917282127, ""macro avg"": {""precision"": 0.8865880384408056, ""recall"": 0.9200138021755696, ""f1-score"": 0.9002605979544291, ""support"": 5416}, ""weighted avg"": {""precision"": 0.922316003877603, ""recall"": 0.914327917282127, ""f1-score"": 0.9160984353489365, ""support"": 5416}}",0.9002605979544291,0.9200138021755695,0.7137711499999568,0.7292180644999462,5418,"{""artifact"": {""precision"": 0.9703683190252008, ""recall"": 0.8993839835728953, ""f1-score"": 0.9335287065405623, ""support"": 3896}, ""text"": {""precision"": 0.7830658550083011, ""recall"": 0.9296977660972404, ""f1-score"": 0.850105136677681, ""support"": 1522}, ""accuracy"": 0.9078995939461055, ""macro avg"": {""precision"": 0.8767170870167509, ""recall"": 0.9145408748350679, ""f1-score"": 0.8918169216091216, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9177521598827642, ""recall"": 0.9078995939461055, ""f1-score"": 0.9100937354568958, ""support"": 5418}}",0.8918169216091216,0.9145408748350677,0.7309980530008033,0.7288986915000351
9,4871,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",5.1769746580012,154.842880859375,382,0.02,4,5416,"{""artifact"": {""precision"": 0.972785337406276, ""recall"": 0.9091616921879055, ""f1-score"": 0.9398980413200966, ""support"": 3853}, ""text"": {""precision"": 0.8071625344352618, ""recall"": 0.9373000639795266, ""f1-score"": 0.867377146240379, ""support"": 1563}, ""accuracy"": 0.9172821270310192, ""macro avg"": {""precision"": 0.8899739359207689, ""recall"": 0.9232308780837161, ""f1-score"": 0.9036375937802378, ""support"": 5416}, ""weighted avg"": {""precision"": 0.9249883578930383, ""recall"": 0.9172821270310192, ""f1-score"": 0.9189692822710569, ""support"": 5416}}",0.9036375937802378,0.9232308780837161,0.7338338480003586,0.7554861994000021,5418,"{""artifact"": {""precision"": 0.9706858407079646, ""recall"": 0.9009240246406571, ""f1-score"": 0.9345047923322684, ""support"": 3896}, ""text"": {""precision"": 0.7857935627081021, ""recall"": 0.9303547963206308, ""f1-score"": 0.851985559566787, ""support"": 1522}, ""accuracy"": 0.9091915836101883, ""macro avg"": {""precision"": 0.8782397017080333, ""recall"": 0.915639410480644, ""f1-score"": 0.8932451759495277, ""support"": 5418}, ""weighted avg"": {""precision"": 0.9187467400959693, ""recall"": 0.9091915836101883, ""f1-score"": 0.911323863526609, ""support"": 5418}}",0.8932451759495277,0.915639410480644,0.7357512369999313,0.7558076884000912
