,test,stat,p,h0,x_label,y_label
0,shapiro_stat,0.8303424119949341,1.216355484486334e-22,Multi language - that the data was drawn from normal distribution,Multi language,C++
1,dagostino_stat,3056.218857042031,0.0,Multi language - that the data was drawn from normal distribution,Multi language,C++
0,shapiro_stat,0.9622164368629456,4.934307962223272e-10,C++ - that the data was drawn from normal distribution,Multi language,C++
1,dagostino_stat,56.3317152428925,5.857650516702112e-13,C++ - that the data was drawn from normal distribution,Multi language,C++
0,t_test_one_sided,1.6530843825276682,0.04931527350543861,Multi language is not greater than C++,Multi language,C++
0,wilcoxon,71806.0,0.002253071337374022,Multi language is not greater than C++,Multi language,C++
0,shapiro_stat,0.8303424119949341,1.216355484486334e-22,Multi language - that the data was drawn from normal distribution,Multi language,Java
1,dagostino_stat,3056.218857042031,0.0,Multi language - that the data was drawn from normal distribution,Multi language,Java
0,shapiro_stat,0.9343506693840027,5.052156813018481e-14,Java - that the data was drawn from normal distribution,Multi language,Java
1,dagostino_stat,313.12790620613896,1.0119035100565197e-68,Java - that the data was drawn from normal distribution,Multi language,Java
0,t_test_one_sided,9.878925592566306,2.863785689883108e-22,Multi language is not greater than Java,Multi language,Java
0,wilcoxon,118708.0,9.749844240260222e-68,Multi language is not greater than Java,Multi language,Java
0,shapiro_stat,0.8303424119949341,1.216355484486334e-22,Multi language - that the data was drawn from normal distribution,Multi language,JavaScript
1,dagostino_stat,3056.218857042031,0.0,Multi language - that the data was drawn from normal distribution,Multi language,JavaScript
0,shapiro_stat,0.9179490804672241,7.581076168032812e-16,JavaScript - that the data was drawn from normal distribution,Multi language,JavaScript
1,dagostino_stat,854.6934911101315,2.544875531736457e-186,JavaScript - that the data was drawn from normal distribution,Multi language,JavaScript
0,t_test_one_sided,4.826762262512921,8.042032562905683e-07,Multi language is not greater than JavaScript,Multi language,JavaScript
0,wilcoxon,105055.0,1.1566284295721207e-39,Multi language is not greater than JavaScript,Multi language,JavaScript
0,shapiro_stat,0.8303424119949341,1.216355484486334e-22,Multi language - that the data was drawn from normal distribution,Multi language,PHP
1,dagostino_stat,3056.218857042031,0.0,Multi language - that the data was drawn from normal distribution,Multi language,PHP
0,shapiro_stat,0.8786652684211731,2.4164522877269924e-19,PHP - that the data was drawn from normal distribution,Multi language,PHP
1,dagostino_stat,56.677376731402546,4.927924193110289e-13,PHP - that the data was drawn from normal distribution,Multi language,PHP
0,t_test_one_sided,23.743877383173327,3.762328105599774e-99,Multi language is not greater than PHP,Multi language,PHP
0,wilcoxon,120612.0,2.8879172376582126e-72,Multi language is not greater than PHP,Multi language,PHP
0,shapiro_stat,0.8303424119949341,1.216355484486334e-22,Multi language - that the data was drawn from normal distribution,Multi language,Python
1,dagostino_stat,3056.218857042031,0.0,Multi language - that the data was drawn from normal distribution,Multi language,Python
0,shapiro_stat,0.9644757509231567,1.2359429035768699e-09,Python - that the data was drawn from normal distribution,Multi language,Python
1,dagostino_stat,17.994452923052677,0.00012375256103140577,Python - that the data was drawn from normal distribution,Multi language,Python
0,t_test_one_sided,11.901553790617697,1.2962964605462334e-30,Multi language is not greater than Python,Multi language,Python
0,wilcoxon,110087.0,4.109300932151353e-49,Multi language is not greater than Python,Multi language,Python
